hspace,tphi_50us_02
0,0.0
2,2e-05
3,1.9999422047917413e-05
4,2.9812548092876014e-09
8,1.2222223848130242e-06
9,1.143720076127134e-06
10,2.577107839967948e-08
11,6.103511544649843e-08
15,8.412188637288798e-08
16,5.176362487299039e-07
18,6.754968647112649e-07
19,1.0819353481739347e-06
20,7.969007318585153e-08
23,3.116864390551472e-05
24,2.9563255930416126e-05
25,1.5224522017824278e-06
28,8.643628898717134e-09
31,3.3083411108577176e-07
33,6.520177619666722e-08
35,2.0698134921058794e-07
37,1.7926863208300274e-06
39,7.091051574650779e-07
40,8.298124331170578e-07
42,2.5637749964693477e-08
43,4.691496814240937e-07
46,3.0419931339350465e-07
47,2.666847539319293e-07
49,5.901412200681511e-07
51,5.713181312043958e-07
53,3.2668597400442604e-07
55,2.663290123212405e-07
56,1.1829877823446212e-07
57,4.260537376662633e-07
60,4.228593258582883e-06
62,3.805214862688497e-06
64,2.387341718672612e-07
66,3.014586875231948e-06
67,2.967387138402144e-06
69,2.3449506381610068e-07
70,1.144082904780719e-06
73,1.1330460991706774e-06
76,2.503134814343436e-08
77,5.308423930802909e-07
79,1.0652896778373408e-07
81,6.148590925539676e-09
83,3.5997863536271533e-07
85,1.1018655364578913e-07
86,2.444712822534822e-07
88,9.234626755769036e-07
91,1.6785521205553743e-07
92,2.443361508071138e-07
95,5.982858222951485e-07
96,8.123082372201479e-08
98,1.5940189835580272e-07
100,1.0485852484380654e-07
101,2.8986039013040553e-08
102,1.846333519443898e-05
104,2.706933636800829e-06
106,7.616944183283043e-07
108,1.5859178593088538e-05
110,5.731843957973457e-07
112,3.3919598788255753e-07
113,4.853019590104821e-07
116,6.532496939855893e-07
118,4.20459877402935e-07
120,7.35719350145767e-09
121,9.430162981416456e-08
123,1.269086262962777e-06
126,5.889850884333891e-07
128,2.886115351806155e-08
130,2.5124199051134933e-07
132,1.0098336925707495e-07
133,4.701573760113468e-07
136,3.0328699436808146e-07
137,2.0860794981055502e-06
139,9.327052384165394e-07
141,4.4026215336757903e-07
143,1.7731983552041234e-07
145,4.951736252842474e-07
146,3.799341479282561e-07
148,1.2438959439035802e-07
151,2.6775910305337264e-07
153,4.847187277869351e-07
154,4.2985670566013515e-07
156,5.883031955850401e-07
158,3.946526476938768e-07
159,6.856211340964715e-07
162,4.671690957606176e-07
164,2.9997114305322164e-07
166,3.905446803946788e-08
167,1.0485821740383945e-07
169,1.0060713417862921e-07
170,4.6667254789699075e-07
173,4.057611859576159e-07
174,1.747071355612507e-07
176,9.369109470551097e-07
179,1.5506880751863471e-06
181,1.3431460261737038e-06
183,2.127799234504353e-07
185,1.757267614249149e-07
186,2.6386285508172763e-07
188,2.1212857404683778e-08
190,1.8544496335433114e-07
192,1.9776910367635396e-07
194,5.761236442247587e-08
196,7.482958180843816e-07
198,7.094153213158323e-07
200,4.6150478667345683e-07
202,3.7190886844210707e-07
205,1.3028229263984546e-07
206,2.8969021361862245e-08
208,1.0122202819758412e-07
209,1.8473089666694367e-08
212,1.930446933975544e-06
213,1.6802987748818564e-06
216,6.89389970150583e-07
218,4.894084264345749e-07
220,3.8654373225160435e-08
222,3.67166795842835e-08
223,4.6194112599159465e-07
226,2.101971486913878e-07
227,2.1125871769224515e-07
229,1.1895994126422171e-07
230,1.4489067388826947e-08
232,7.43747668271835e-07
234,1.4800891165006976e-07
237,1.666172429767221e-07
239,9.149698441823121e-08
241,1.1263299411622496e-07
242,1.312498649029147e-07
245,1.5538686810853013e-07
246,2.569342780439943e-07
248,1.6961362073764547e-07
250,3.299950824933448e-07
252,2.242310942849843e-07
253,1.5561791319535738e-08
255,6.144447567510504e-08
257,3.026588046855975e-07
259,1.97012848306694e-07
262,4.719533564161707e-07
264,4.2962577059127525e-08
265,8.54394072646601e-09
267,4.617433743292091e-07
269,3.557890391528088e-07
271,2.2520556465895645e-07
273,8.129667444427803e-09
275,8.602077026418328e-07
277,4.3604658560110544e-07
279,2.1373953866010368e-07
281,1.246204338312251e-06
282,5.803009293380453e-07
283,7.382684437570241e-08
