hspace,derivative,tphi_50us_02,t1_50us_49
0.0,0.0,0.0,3.2130857598951405e-35
2.0,1.81610897,2e-05,9.826523146548449e-33
3.0,1.81605649,1.9999422061111236e-05,1.1200298950682558e-09
4.0,0.00027071415,2.981254478358752e-09,1.157625042349286e-34
8.0,0.110984452,1.2222223867987394e-06,4.6591153384079027e-32
9.0,0.103856014,1.1437200709382545e-06,6.948122595437315e-06
10.0,0.0023401545,2.5771080245256426e-08,0.0013825535459581887
11.0,0.00554232091,6.103511409890785e-08,1.570365995068692e-30
15.0,0.00763872599,8.412189043920642e-08,5.797665775388436e-05
16.0,0.047004192,5.176362517498056e-07,1.2488067956887695e-31
18.0,0.0613387958,6.754968651468089e-07,1.912164990232547e-33
19.0,0.0982456242,1.0819353444413637e-06,2.958426422195364e-07
20.0,0.00723629288,7.969007366336614e-08,1.5623823550458456e-05
23.0,2.83028269,3.1168643916779954e-05,2.231419149521923e-31
24.0,2.68450471,2.956325588766846e-05,3.983987386593973e-07
25.0,0.138246955,1.52245220175307e-06,1.4345759366801143e-32
28.0,0.000784888634,8.643629286187603e-09,3.4182598541747785e-07
31.0,0.0300415399,3.308341117879067e-07,5.569645955903888e-33
33.0,0.00592067644,6.520177519964565e-08,2.1551972136439297e-33
35.0,0.0187950341,2.0698134760052424e-07,7.076010709217194e-07
37.0,0.162785686,1.792686327627136e-06,6.692446428325564e-35
39.0,0.0643906118,7.09105156834284e-07,2.3239649820588188e-07
40.0,0.0753514901,8.29812432455526e-07,8.567282922964921e-33
42.0,0.00232804703,2.5637746065424702e-08,3.8068560649900444e-33
43.0,0.0426013473,4.691496821360891e-07,1.0744942634347172e-07
46.0,0.0276229551,3.041993135466976e-07,8.057911017897745e-34
47.0,0.0242164289,2.6668475625666893e-07,1.901781692135384e-33
49.0,0.0535880382,5.901412204356879e-07,9.174210297105967e-09
51.0,0.0518787992,5.713181318629796e-07,2.0586300096588006e-32
53.0,0.0296648664,3.266859741351313e-07,2.9969700878385527e-06
55.0,0.0241841255,2.6632901328602545e-07,1.47670592796422e-06
56.0,0.0107421734,1.1829877587136197e-07,4.9180051028811846e-33
57.0,0.0386880008,4.260537383943431e-07,3.324814655655584e-07
60.0,0.383979307,4.228593254511595e-06,1.3910048926895598e-07
62.0,0.345534242,3.805214859987174e-06,1.1513933134782283e-31
64.0,0.021678363,2.387341658248624e-07,5.319414382251663e-35
66.0,0.273740913,3.0145868725046823e-06,3.098694397359597e-06
67.0,0.26945492,2.967387138669328e-06,5.399718460511206e-31
69.0,0.0212934297,2.344950666699257e-07,2.8324917026243367e-06
70.0,0.103888961,1.144082901589325e-06,1.0257156852646051e-09
73.0,0.102886759,1.1330460968980293e-06,2.119225219765335e-33
76.0,0.00227298258,2.5031345778772298e-08,4.379518337953896e-34
77.0,0.0482033814,5.308423910267895e-07,2.2635731742160876e-09
79.0,0.00967341081,1.0652896901885794e-07,1.9820496743373805e-33
81.0,0.000558325645,6.148591898645818e-09,5.026375139170098e-07
83.0,0.0326880213,3.599786338812038e-07,2.594842953226793e-32
85.0,0.0100055394,1.1018655339827984e-07,2.4381260909874665e-34
86.0,0.0221993244,2.444712819187276e-07,5.7796353517634844e-08
88.0,0.0838554423,9.234626741588089e-07,5.994726736954285e-33
91.0,0.0152421675,1.678552086001756e-07,3.110916394600949e-08
92.0,0.0221870538,2.443361512607914e-07,1.2108639900226517e-33
95.0,0.0543276122,5.982858198206025e-07,3.105318361602865e-09
96.0,0.00737620122,8.123082195888278e-08,6.638713084376776e-34
98.0,0.0144745611,1.5940190086721504e-07,1.5984058849773648e-33
100.0,0.00952172541,1.04858525201822e-07,2.5873085444069397e-08
101.0,0.00263209027,2.8986038982011083e-08,6.94087048466876e-07
102.0,1.67657143,1.846333515989407e-05,3.7786561381979804e-33
104.0,0.245804323,2.7069336373576747e-06,6.591258364556435e-09
