hspace,derivative,dephase_50us,decay_50us
0.0,0.0,0.0,9.24878833e-35
2.0,1.81610897,1e-05,6.25e-07
3.0,1.81605649,0.000772721076,3.22397851e-09
4.0,0.00027071415,1.15187237e-07,3.33219521e-34
8.0,0.110984452,4.72232145e-05,1.34111489e-31
9.0,0.103856014,4.41901071e-05,2e-05
10.0,0.0023401545,9.95721616e-07,0.00397964638
11.0,0.00554232091,2.3582241e-06,4.52025989e-30
15.0,0.00763872599,3.2502318e-06,0.000166884383
16.0,0.047004192,2e-05,3.59465965e-31
18.0,0.0613387958,2.60992874e-05,5.50411989e-33
19.0,0.0982456242,4.18029201e-05,8.51575769e-07
20.0,0.00723629288,3.07899895e-06,4.49727918e-05
23.0,2.83028269,0.0012042682,6.42308514e-31
24.0,2.68450471,0.00114224055,1.14678097e-06
25.0,0.138246955,5.8823245e-05,4.12939155e-32
28.0,0.000784888634,3.33965377e-07,9.83937692e-07
31.0,0.0300415399,1.27824939e-05,1.60320889e-32
33.0,0.00592067644,2.51921209e-06,6.20368217e-33
35.0,0.0187950341,7.99717357e-06,2.03681228e-06
37.0,0.162785686,6.92643269e-05,1.92640424e-34
39.0,0.0643906118,2.73978167e-05,6.68947604e-07
40.0,0.0753514901,3.20616043e-05,2.46607132e-32
42.0,0.00232804703,9.9056996e-07,1.09579416e-32
43.0,0.0426013473,1.81266162e-05,3.09290531e-07
46.0,0.0276229551,1.17534007e-05,2.31944987e-33
47.0,0.0242164289,1.03039443e-05,5.47423183e-33
49.0,0.0535880382,2.28013868e-05,2.64077387e-08
51.0,0.0518787992,2.20741159e-05,5.92571585e-32
53.0,0.0296648664,1.26222216e-05,8.62670469e-06
55.0,0.0241841255,1.02901994e-05,4.25066169e-06
56.0,0.0107421734,4.57072995e-06,1.41563567e-32
57.0,0.0386880008,1.64615108e-05,9.57039721e-07
60.0,0.383979307,0.000163380878,4.00397337e-07
62.0,0.345534242,0.000147022734,3.31425733e-31
64.0,0.021678363,9.22401262e-06,1.53118035e-34
66.0,0.273740913,0.000116475106,8.91951561e-06
67.0,0.26945492,0.000114651442,1.55429568e-30
69.0,0.0212934297,9.06022582e-06,8.1532577e-06
70.0,0.103888961,4.42041259e-05,2.95249737e-09
73.0,0.102886759,4.3777695e-05,6.10013767e-33
76.0,0.00227298258,9.67140369e-07,1.26063358e-33
77.0,0.0482033814,2.05102479e-05,6.51563971e-09
79.0,0.00967341081,4.11597792e-06,5.70528124e-33
81.0,0.000558325645,2.37564192e-07,1.44682972e-06
83.0,0.0326880213,1.39085558e-05,7.46919162e-32
85.0,0.0100055394,4.25729663e-06,7.01808599e-34
86.0,0.0221993244,9.44567855e-06,1.66365382e-07
88.0,0.0838554423,3.56799846e-05,1.72556735e-32
91.0,0.0152421675,6.48545028e-06,8.95469633e-08
92.0,0.0221870538,9.44045748e-06,3.48544221e-33
95.0,0.0543276122,2.31160711e-05,8.93858253e-09
96.0,0.00737620122,3.1385291e-06,1.91093723e-33
98.0,0.0144745611,6.15883839e-06,4.60097203e-33
100.0,0.00952172541,4.05143669e-06,7.44750401e-08
101.0,0.00263209027,1.11993852e-06,1.9979125e-06
102.0,1.67657143,0.000713371024,1.08767688e-32
104.0,0.245804323,0.000104588256,1.89727751e-08
106.0,0.0691660031,2.94297169e-05,5.04318502e-34
108.0,1.44009982,0.000612753782,5.54645679e-08
110.0,0.0520482662,2.21462231e-05,3.5648674e-10
112.0,0.0308008437,1.31055731e-05,2.02884052e-33
113.0,0.0440680618,1.87506943e-05,2.99769129e-07
116.0,0.0593186315,2.52397197e-05,1.10254049e-08
118.0,0.038180048,1.624538e-05,3.42681149e-37
120.0,0.000668073319,2.84261165e-07,7.62991727e-34
121.0,0.00856310187,3.64354816e-06,1.7655289e-34
123.0,0.115239947,4.90339019e-05,1.73277117e-33
126.0,0.053483055,2.27567171e-05,4.37201133e-08
128.0,0.00262074996,1.11511329e-06,9.8965156e-35
130.0,0.0228141417,9.7072796e-06,7.92357043e-09
132.0,0.00916984014,3.90171163e-06,1.26008157e-35
133.0,0.0426928514,1.81655506e-05,1.24780359e-33
136.0,0.0275401116,1.17181513e-05,2.91768416e-10
137.0,0.189427384,8.06002086e-05,5.68376771e-33
139.0,0.0846947175,3.60370911e-05,3.81787628e-08
141.0,0.0399782022,1.70104837e-05,7.96824088e-10
143.0,0.0161016072,6.85113668e-06,8.46978645e-33
145.0,0.0449644632,1.91321077e-05,6.8004379e-08
146.0,0.0345000907,1.46795804e-05,2.83711984e-07
148.0,0.0112952528,4.80606189e-06,3.19283013e-10
151.0,0.0243139857,1.03454542e-05,5.20878006e-34
153.0,0.0440151015,1.872816e-05,1.10473934e-07
154.0,0.039033331,1.66084468e-05,2.91318889e-33
156.0,0.0534211356,2.27303708e-05,1.99000115e-34
158.0,0.0358366107,1.52482616e-05,3.96114178e-33
159.0,0.0622581346,2.64904605e-05,1.2355685e-08
162.0,0.0424214994,1.8050092e-05,1.27970074e-33
164.0,0.0272390142,1.15900361e-05,9.13148602e-09
166.0,0.00354635856,1.50895416e-06,6.3896408e-35
167.0,0.00952169736,4.05142476e-06,1.36355015e-09
169.0,0.00913567625,3.88717511e-06,1.56698627e-10
170.0,0.04237641,1.80309067e-05,6.89383776e-34
173.0,0.0368453265,1.5677464e-05,1.30538165e-08
174.0,0.0158643597,6.7501893e-06,8.40787165e-33
176.0,0.0850766188,3.61995878e-05,7.51445151e-35
179.0,0.140810926,5.99141991e-05,3.1203288e-36
181.0,0.121964977,5.18953616e-05,3.19730036e-09
183.0,0.0193215762,8.22121406e-06,1.3828172e-09
185.0,0.0159569473,6.78958477e-06,4.36391267e-09
186.0,0.023960185,1.01949141e-05,1.54942662e-32
188.0,0.00192624299,8.19604766e-07,9.07284626e-33
190.0,0.0168394132,7.16506868e-06,9.31040079e-12
192.0,0.0179585121,7.64123851e-06,1.8275785e-33
194.0,0.00523151659,2.22597873e-06,5.9963832e-08
196.0,0.0679493374,2.8912033e-05,2.43955705e-33
198.0,0.0644187765,2.74098006e-05,2.79843913e-09
200.0,0.0419071492,1.78312391e-05,2.14343515e-09
202.0,0.0337713518,1.43695064e-05,1.36797982e-34
205.0,0.0118303418,5.03373903e-06,1.95731623e-08
206.0,0.00263054491,1.11928098e-06,6.254374e-36
208.0,0.00919151145,3.91093265e-06,2.9392839e-34
209.0,0.00167745738,7.13747991e-07,4.7291067e-12
212.0,0.1752951,7.4587007e-05,1.30166175e-09
213.0,0.152580284,6.49219899e-05,2.68851771e-33
216.0,0.0626003653,2.66360776e-05,1.02438519e-10
218.0,0.0444409517,1.89093567e-05,2.11796898e-34
220.0,0.0035100276,1.49349556e-06,1.66309378e-34
222.0,0.00333407468,1.41862865e-06,1.04588252e-35
223.0,0.0419467711,1.78480979e-05,3.38588971e-09
226.0,0.0190870464,8.12142304e-06,5.80036445e-34
227.0,0.0191834429,8.16243917e-06,2.55423887e-11
