hspace,derivative,tphi_1e6,t1_50us_27,t1_50us_07,tphi_50us_02,tphi_50us_07,t1_50us_47
0.0,0.0,0.0,1.3989391063558351e-32,1.8665870886240552e-31,0.0,0.0,1.2783165528517439e-34
1.0,7.28722229e-05,3.2055576249638964e-10,0.0009344290374023394,0.012467970682399,8.02509365944049e-10,8.003446121443709e-06,8.538585421979753e-06
2.0,1.81610897,7.988835422980938e-06,4.8903846890650184e-33,6.525179600413314e-32,2e-05,0.19946050379184507,4.468714663448986e-35
4.0,0.000270714136,1.190837507497405e-09,3.546325354777209e-33,4.731817910595683e-32,2.9812543241829817e-09,2.9732124471657705e-05,3.2405459124083124e-35
5.0,0.564294834,2.482262151298305e-06,1.2233986066011452e-07,1.632365578278076e-06,6.214327921082841e-06,0.06197564889334564,1.1179119108535453e-09
7.0,0.000182102114,8.010443442294728e-10,1.498927229146384e-06,2e-05,2.005409554251582e-09,2e-05,1.3696832691519883e-08
8.0,0.110984452,4.88206674920904e-07,4.107536675780825e-35,5.480635211517246e-34,1.2222223867987394e-06,0.012189254650827394,3.75336717677022e-37
11.0,0.00554232116,2.4379975177670537e-08,1.6348973520177955e-35,2.181423247543304e-34,6.10351168520466e-08,0.0006087047578151674,1.49392946254963e-37
12.0,0.227480513,1.0006582260822576e-06,5.919690447219424e-11,7.898569499722275e-10,2.5051416710969717e-06,0.024983840989347333,5.409269247001895e-13
16.0,0.047004192,2.0676554120989626e-07,7.77662853546573e-34,1.0376258946065584e-32,5.176362517498056e-07,0.005162399377746928,7.106094137407335e-36
17.0,6.02801027e-05,2.651646061473332e-10,1.0038277096331068e-08,1.3393948553523462e-07,6.638379491072059e-10,6.620472588253424e-06,9.172733620821779e-11
18.0,0.0613387959,2.698216646597577e-07,1.5504999138818556e-34,2.068812793219911e-33,6.754968662480644e-07,0.006736747262582576,1.4168091349404517e-36
21.0,0.0330405922,1.4534141823198405e-07,3.0005106614495944e-08,4.0035441389083845e-07,3.638613403247494e-07,0.0036287983125775254,2.741793712187158e-10
23.0,2.83028269,1.2450058330432552e-05,9.628958727258962e-35,1.284780013335605e-33,3.1168643916779954e-05,0.3108456709074779,8.798708444033232e-37
25.0,0.138246955,6.081310039580124e-07,2.0012178153841806e-34,2.6702000957362605e-33,1.52245220175307e-06,0.015183454158033556,1.8286641982089968e-36
27.0,0.0452390528,1.990009154080358e-07,4.006817233258708e-07,5.346246509299227e-06,4.981975591475659e-07,0.004968536806772052,3.661332198274685e-09
30.0,0.242832766,1.068190860200003e-06,3.9667090581059144e-10,5.292730668939672e-09,2.6742092023255633e-06,0.02666995573703225,3.62468232268714e-12
31.0,0.0300415399,1.3214896356908324e-07,3.913206099389008e-34,5.2213423351012426e-33,3.308341117879067e-07,0.003299416930437173,3.575792619451573e-36
