tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_2000,f_500
19.00623,0.248493,0.216342,0.446771,0.482078,-0.69799437,-0.69857276
29.548086,0.21911,0.197031,0.396681,0.414846,-0.87096678,-0.87085311
40.141878,0.212774,0.163809,0.382631,0.397143,-0.92302102,-0.92181733
49.968364,0.21394,0.152888,0.355466,0.375973,-1.21570777,-1.22092878
60.002304,0.213692,0.143295,0.35721,0.376591,-1.4432126,-1.45247284
70.126289,0.215227,0.134547,0.34898,0.371879,-1.70404973,-1.70938966
80.021881,0.221393,0.121476,0.346693,0.375188,-1.73159258,-1.72989333
90.292422,0.215877,0.118339,0.344084,0.368744,-1.74892515,-1.74797677
100.02177,0.20378,0.113027,0.343598,0.3569,-1.91102841,-1.91247467
110.097338, 0.204955, 0.108112, 0.342285, 0.356904,-2.03447117,-2.03030064
120.7903,0.206081,0.104591,0.340124,0.35662,-2.17092861,-2.17647998
130.894161,0.207009,0.101125,0.338412,0.356524,-2.20480105,-2.20771715
140.077366,0.207119,0.09866,0.338056,0.356764,-2.25763086,-2.26428577
150.425935,0.207456,0.094651,0.339048,0.357853,-2.26809909,-2.27508341
159.936512, 0.211394, 0.093445, 0.334238, 0.360446,-2.63921728,-2.63841314
169.931574, 0.205527, 0.090469, 0.335435, 0.354256,-2.6397959 ,-2.62923232
180.06197, 0.203381, 0.086796, 0.338764, 0.353566,-2.47666261,-2.46056479
189.952779, 0.206865, 0.085337, 0.330766, 0.353514,-2.73200819,-2.71478145
200.79232,0.209731,0.082311,0.331483,0.357393,-2.62727653,-2.63603203
