tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_160,f_500,f_noise_9_2us,f_noise_100_5us,f_noise_100_50us,f_ideal_160
20.000087,0.249753,0.216297,0.43883,0.490612,-0.60545478,-0.6055423,-0.59758156,-0.60425164,-0.60833566,-0.60543872
30.002512,0.222626,0.201971,0.389445,0.425332,-0.75217198,-0.76525799,-0.73322254,-0.74835644,-0.75781498,-0.75216502
40.006173,0.223179,0.160035,0.358809,0.386917,-0.88531515,-0.88474928,-0.84273894,-0.87079396,-0.88882348,-0.88531733
50.000191,0.215248,0.148153,0.354356,0.376483,-1.12280153,-1.1334168,-1.01996437,-1.07839415,-1.11845133,-1.12280287
60.000967,0.213711,0.14419,0.358967,0.378127,-1.48689033,-1.49204455,-1.23236049,-1.36549354,-1.47353892,-1.48691618
70.001044,0.209788,0.131851,0.353189,0.36997,-1.63810902,-1.63799544,-1.27592642,-1.45631262,-1.62236967,-1.63816143
80.007155,0.210573,0.122946,0.355789,0.37113,-1.69969617,-1.66787651,-1.2654506,-1.47264594,-1.67950195,-1.69969521
90.009744,0.219753,0.113433,0.351332,0.376525,-1.74070637,-1.67037989,-1.23471532,-1.46424301,-1.7066934,-1.74075134
100.001683,0.212233,0.113924,0.340021,0.36258,-1.84508541,-1.86196374,-1.24033634,-1.49836107,-1.80547675,-1.84497786
110.009928,0.211658,0.106989,0.341806,0.362874,-1.90494694,-1.86068873,-1.22382072,-1.50106695,-1.85726244,-1.90482151
120.004766,0.209273,0.104767,0.341188,0.360503,-2.07228644,-2.06179127,-1.21946014,-1.52567158,-1.97449032,-2.07223404
130.002315,0.201238,0.098495,0.3428,0.353056,-2.19249114,-2.21145488,-1.21295564,-1.53925372,-2.07329532,-2.19235225
140.008725,0.211735,0.099358,0.338134,0.362321,-2.27983622,-2.26683617,-1.18279244,-1.52290761,-2.13093263,-2.27990349
150.002399,0.205268,0.094552,0.339607,0.355509,-2.45674669,-2.46696647,-1.1725075,-1.52592803,-2.22613884,-2.45649266
160.000656,0.209132,0.090941,0.337889,0.359183,-2.53445195,-2.50729402,-1.14645657,-1.50549892,-2.25560873,-2.53430458
170.00663,0.212306,0.087921,0.33633,0.362475,-2.45502121,-2.45816475,-1.11683009,-1.47139337,-2.19418047,-2.45509559
180.006237,0.21108,0.084566,0.335734,0.36059,-2.64062685,-2.65158035,-1.10173482,-1.46529082,-2.272309,-2.64076878
190.009275,0.209698,0.083495,0.335382,0.359146,-2.62079998,-2.59798972,-1.08176992,-1.44505075,-2.25446807,-2.62086952
200.005395,0.208582,0.081626,0.335171,0.357777,-2.67318758,-2.66638193,-1.0637866,-1.4277073,-2.25202494,-2.67313777
