tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_160_old,f_500_old,f_noise_9_2us,f_noise_100_5us,f_noise_100_50us,f_ideal_160,f_1000,f_truc140_ideal,f_truc140_170us,f_truc140_30us,f_truc140_3us,f_500,f_400,f_300,f_160_charge,f_160_low
20.000087,0.249753,0.216297,0.43883,0.490612,-0.60545478,-0.6055423,-0.59758156,-0.60425164,-0.60833566,-0.60543872,-0.60573238,-0.60091121,-0.60338412,-0.60238359,-0.59171153,-0.60552711,-0.60809938,-0.60544786,-0.60544248,-0.50134985
30.002512,0.222626,0.201971,0.389445,0.425332,-0.75217198,-0.76525799,-0.73322254,-0.74835644,-0.75781498,-0.75216502,-0.76483793,-0.77102965,-0.77617943,-0.773874,-0.7500017,-0.76523532,-0.76676511,-0.75222673,-0.75216249,-0.54043465
40.006173,0.223179,0.160035,0.358809,0.386917,-0.88531515,-0.88474928,-0.84273894,-0.87079396,-0.88882348,-0.88531733,-0.88461226,-0.89534681,-0.90030223,-0.89618669,-0.85442286,-0.88474355,-0.88814738,-0.88544703,-0.88531374,-0.94827225
50.000191,0.215248,0.148153,0.354356,0.376483,-1.12280153,-1.1334168,-1.01996437,-1.07839415,-1.11845133,-1.12280287,-1.13349498,-1.1373669,-1.13697407,-1.1275069,-1.03739816,-1.13343481,-1.13419601,-1.12290861,-1.1228024,-1.11976513
60.000967,0.213711,0.14419,0.358967,0.378127,-1.48689033,-1.49204455,-1.23236049,-1.36549354,-1.47353892,-1.48691618,-1.4857358,-1.46633629,-1.4630289,-1.437234,-1.229683,-1.49203413,-1.48332407,-1.4871225,-1.48689852,-1.43926914
70.001044,0.209788,0.131851,0.353189,0.36997,-1.63810902,-1.63799544,-1.27592642,-1.45631262,-1.62236967,-1.63816143,-1.64014573,-1.64055757,-1.63645618,-1.59260229,-1.28835042,-1.638037,-1.64086144,-1.63860925,-1.63813838,-1.46935816
80.007155,0.210573,0.122946,0.355789,0.37113,-1.69969617,-1.66787651,-1.2654506,-1.47264594,-1.67950195,-1.69969521,-1.66438386,-1.66328542,-1.65690125,-1.6041504,-1.26116399,-1.66789474,-1.67480834,-1.70017334,-1.69965814,-1.4591688
90.009744,0.219753,0.113433,0.351332,0.376525,-1.74070637,-1.67037989,-1.23471532,-1.46424301,-1.7066934,-1.74075134,-1.67137555,-1.65491738,-1.64977937,-1.59340614,-1.23606557,-1.67040377,-1.6901517,-1.74112361,-1.74070436,-1.46076082
100.001683,0.212233,0.113924,0.340021,0.36258,-1.84508541,-1.86196374,-1.24033634,-1.49836107,-1.80547675,-1.84497786,-1.86366205,-1.89393989,-1.88691985,-1.78706821,-1.28873878,-1.86201592,-1.88573355,-1.84579733,-1.84498623,-2.06936498
110.009928,0.211658,0.106989,0.341806,0.362874,-1.90494694,-1.86068873,-1.22382072,-1.50106695,-1.85726244,-1.90482151,-1.86454742,-1.90551337,-1.90347208,-1.78943631,-1.25896405,-1.86066221,-1.87704948,-1.90589708,-1.90484224,-2.03014261
120.004766,0.209273,0.104767,0.341188,0.360503,-2.07228644,-2.06179127,-1.21946014,-1.52567158,-1.97449032,-2.07223404,-2.06302516,-2.10064564,-2.04000815,-1.87888959,-1.25472298,-2.06150579,-2.10891625,-2.07292412,-2.07221141,-2.10451408
130.002315,0.201238,0.098495,0.3428,0.353056,-2.19249114,-2.21145488,-1.21295564,-1.53925372,-2.07329532,-2.19235225,-2.21305768,-2.25080955,-2.17785482,-1.95249053,-1.23960646,-2.21126743,-2.22871839,-2.19331957,-2.19230701,-2.09584403
140.008725,0.211735,0.099358,0.338134,0.362321,-2.27983622,-2.26683617,-1.18279244,-1.52290761,-2.13093263,-2.27990349,-2.27705484,-2.28806233,-2.24970016,-1.98796543,-1.22964912,-2.26708318,-2.24724905,-2.28075922,-2.27985879,-2.19687702
150.002399,0.205268,0.094552,0.339607,0.355509,-2.45674669,-2.46696647,-1.1725075,-1.52592803,-2.22613884,-2.45649266,-2.4801947,-2.53889879,-2.47099332,-2.06883788,-1.21492042,-2.46637769,-2.47040345,-2.45770573,-2.45625606,-2.38387512
160.000656,0.209132,0.090941,0.337889,0.359183,-2.53445195,-2.50729402,-1.14645657,-1.50549892,-2.25560873,-2.53430458,-2.51295646,-2.58417118,-2.51253441,-2.07387359,-1.19613811,-2.50711823,-2.51825209,-2.53486887,-2.53412235,-2.3870789
170.00663,0.212306,0.087921,0.33633,0.362475,-2.45502121,-2.45816475,-1.11683009,-1.47139337,-2.19418047,-2.45509559,-2.47258492,-2.47913096,-2.3745061,-2.00360152,-1.17142441,-2.45800435,-2.47521546,-2.45565384,-2.45496043,-2.47564596
180.006237,0.21108,0.084566,0.335734,0.36059,-2.64062685,-2.65158035,-1.10173482,-1.46529082,-2.272309,-2.64076878,-2.67951331,-2.67945245,-2.50589513,-2.0442748,-1.15531171,-2.65164835,-2.64849426,-2.64115903,-2.64058676,-2.57391663
190.009275,0.209698,0.083495,0.335382,0.359146,-2.62079998,-2.59798972,-1.08176992,-1.44505075,-2.25446807,-2.62086952,-2.61589449,-2.66930745,-2.6339854,-2.06039418,-1.13836138,-2.59794313,-2.60477058,-2.62115533,-2.62047831,-2.73838005
200.005395,0.208582,0.081626,0.335171,0.357777,-2.67318758,-2.66638193,-1.0637866,-1.4277073,-2.25202494,-2.67313777,-2.70884029,-2.73651652,-2.62132412,-2.03062573,-1.11749146,-2.66621768,-2.66696317,-2.67388591,-2.67264059,-2.72059991
