tg,fidelity_truc44,fidelity_truc159,drive_amp_1,drive_amp_2,detune_1,detune_2,alpha_1
20.0,-1.15198607,-0.41491778,0.190148, 0.239561, 0.313038, 0.365646,4.796162
25.0,-1.37961,None,0.23101084,0.20039386,0.33722851,0.37962558,-2.86130222
30.0,-1.84743699,-0.39115529,0.2175,0.203959,0.337102,0.373006,-1.174895
35.0,-2.16509408,-0.44038518,0.23764,0.174945,0.323456,0.383149,0.0
40.0,-2.47505088,-0.49319902,0.200482,0.19496,0.32393,0.35147,-0.669793
45.0,-2.83542358,-0.7046881,0.191874,0.192933,0.313069,0.337813,-0.150269
50.0,-3.13497888,-0.34119455,0.230436,0.151213,0.30049,0.363023,-0.291039
55.0,-3.50886212,-0.51465127,0.22955,0.145247,0.309312,0.366394,-0.156088
75.0,-5.13540299,-0.71111018,0.189034,0.151048,0.313905,0.329774,-0.240104
100.0,-7.47884222,-0.57660742,0.207451,0.120926,0.286883,0.329423,-0.216436
