tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_157,f_500,f_noise_9_2us,f_noise_100_5us,f_noise_100_50us,f_78
10.108462,0.41212,0.073451,-0.084451,-0.044706,-0.47696986,-0.47690041,-0.4893542,-0.49043552,-0.49097649,-0.49106338
15.074864,0.303821,0.065666,-0.036206,-0.016563,-0.89064728,-0.88968175,-0.8697587,-0.87545253,-0.87820262,-0.87886701
20.041257,0.241329,0.059044,-0.019402,-0.009802,-1.93960191,-1.94061827,-1.78460297,-1.86037882,-1.90039629,-1.90979518
25.020473,0.180208,0.046132,-0.003789,0.001544,-2.79132286,-2.79402547,-2.19435821,-2.47981846,-2.71475159,-2.76983321
30.008342,0.14538,0.037985,0.000555,0.004004,-3.36356863,-3.36851619,-2.23755025,-2.64420844,-3.14516863,-3.3454916
34.999249,0.121737,0.032287,0.001883,0.004348,-3.77287748,-3.76816792,-2.21144315,-2.66082441,-3.33990355,-3.75506826
39.991616,0.105045,0.028058,0.002171,0.003988,-4.12046443,-4.10981216,-2.17561369,-2.64434502,-3.43459991,-4.10364512
45.572873,0.091013,0.02446,0.002106,0.003479,-4.51950259,-4.45607022,-2.13356316,-2.6119878,-3.46413965,-4.45734599
50.273181,0.081831,0.022089,0.001944,0.003051,-4.79275327,-4.69949487,-2.09905283,-2.58065478,-3.44716019,-4.71187178
55.267933,0.073988,0.020007,0.001756,0.002668,-5.03756419,-4.9279625,-2.06397498,-2.54659665,-3.41043845,-4.96272102
59.087483,0.068953,0.018674,0.001617,0.002406,-5.20966847,-5.0858031,-2.0387107,-2.52150793,-3.37892593,-5.14100914
64.670376,0.062708,0.017016,0.001421,0.002077,-5.38282733,-5.26410971,-2.00388641,-2.48657987,-3.33419397,-5.3185885
69.959457,0.05777,0.0157,0.001257,0.001811,-5.57571362,-5.43543827,-1.97320785,-2.45576106,-3.2956525,-5.49548181
79.950621,0.050323,0.013699,0.001008,0.001432,-5.85005343,-5.59073615,-1.92038374,-2.40265777,-3.23168844,-5.77271629
89.941952,0.044576,0.012149,0.000826,0.001154,-6.03155556,-5.71746902,-1.87299296,-2.35494076,-3.176579,-6.06311963
99.933664,0.040022,0.010918,0.000683,0.000949,-6.16117582,-5.75940432,-1.83027034,-2.31190736,-3.12829474,-6.26650625
109.925465,0.036325,0.009915,0.000575,0.000792,-6.26185552,-5.78602054,-1.79138948,-2.27271155,-3.08514771,-6.50034135
119.917464,0.033248,0.00908,0.000489,0.000672,-6.30436179,-5.83271472,-1.75561814,-2.2365946,-3.04615488,-6.83467853
