tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_78,f_157,f_1000
10.108462,0.41212,0.073451,-0.084451,-0.044706,-0.49103759,-0.47694734,-0.47686812
15.074864,0.303821,0.065666,-0.036206,-0.016563,-0.8788078,-0.89060935,-0.88962612
20.041257,0.241329,0.059044,-0.019402,-0.009802,-1.90924179,-1.93922102,-1.94022331
25.020473,0.180208,0.046132,-0.003789,0.001544,-2.76941902,-2.79089299,-2.79269348
30.008342,0.14538,0.037985,0.000555,0.004004,-3.34189186,-3.36316343,-3.36449106
34.999249,0.121737,0.032287,0.001883,0.004348,-3.75311857,-3.77220792,-3.77334562
39.991616,0.105045,0.028058,0.002171,0.003988,-4.10128083,-4.11980061,-4.12096826
45.572873,0.091013,0.02446,0.002106,0.003479,-4.45780289,-4.4762031,-4.47746815
50.273181,0.081831,0.022089,0.001944,0.003051,-4.71422591,-4.7325719,-4.73396832
55.267933,0.073988,0.020007,0.001756,0.002668,-4.96815777,-4.98751986,-4.9891304
59.087483,0.068953,0.018674,0.001617,0.002406,-5.14842003,-5.16852067,-5.17041638
64.670376,0.062708,0.017016,0.001421,0.002077,-5.38401892,-5.40505619,-5.40724858
69.959457,0.05777,0.0157,0.001257,0.001811,-5.59316236,-5.61573001,-5.61852311
79.950621,0.050323,0.013699,0.001008,0.001432,-5.91840715,-5.9415777,-5.94525035
89.941952,0.044576,0.012149,0.000826,0.001154,-6.21972852,-6.24336804,-6.24630048
99.933664,0.040022,0.010918,0.000683,0.000949,-6.51136824,-6.53647123,-6.53793423
109.925465,0.036325,0.009915,0.000575,0.000792,-6.60906436,-6.62435798,-6.62172115
119.917464,0.033248,0.00908,0.000489,0.000672,-6.93997441,-6.96014099,-6.94395875
