tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_157_old,f_500_old,f_noise_9_2us,f_noise_100_5us,f_noise_100_50us,f_78,f_noise_170us,f_noise_30us,f_noise_3us,f_1000,f_500,f_400,f_300,f_157,f_157_low
10.108462,0.41212,0.073451,-0.084451,-0.044706,-0.47696986,-0.47690041,-0.4893542,-0.49043552,-0.49097649,-0.49106338,-0.4910491,-0.49098444,-0.49027669,-0.47690778,-0.47689341,-0.47691593,-0.47697241,-0.47696652,-0.48575115
15.074864,0.303821,0.065666,-0.036206,-0.016563,-0.89064728,-0.88968175,-0.8697587,-0.87545253,-0.87820262,-0.87886701,-0.8785584,-0.87820854,-0.87439825,-0.88967142,-0.88967102,-0.88963375,-0.89065543,-0.89064548,-0.87068271
20.041257,0.241329,0.059044,-0.019402,-0.009802,-1.93960191,-1.94061827,-1.78460297,-1.86037882,-1.90039629,-1.90979518,-1.90602301,-1.89995031,-1.83876572,-1.94105253,-1.94064542,-1.94068701,-1.93966673,-1.93961572,-1.92619015
25.020473,0.180208,0.046132,-0.003789,0.001544,-2.79132286,-2.79402547,-2.19435821,-2.47981846,-2.71475159,-2.76983321,-2.75954824,-2.70770868,-2.36021921,-2.7915991,-2.79402042,-2.79276201,-2.79134763,-2.79134247,-2.77080137
30.008342,0.14538,0.037985,0.000555,0.004004,-3.36356863,-3.36851619,-2.23755025,-2.64420844,-3.14516863,-3.3454916,-3.30063515,-3.11662866,-2.43900179,-3.36071498,-3.36821927,-3.37158321,-3.3637766,-3.36361584,-3.34942711
34.999249,0.121737,0.032287,0.001883,0.004348,-3.77287748,-3.76816792,-2.21144315,-2.66082441,-3.33990355,-3.75506826,-3.66770664,-3.28236095,-2.41312927,-3.76567425,-3.76721305,-3.78644773,-3.77568001,-3.77288521,-3.74802483
39.991616,0.105045,0.028058,0.002171,0.003988,-4.12046443,-4.10981216,-2.17561369,-2.64434502,-3.43459991,-4.10364512,-4.00649078,-3.34820122,-2.37111198,-4.10398802,-4.1098571,-4.11177501,-4.15570894,-4.12103362,-4.09504265
45.572873,0.091013,0.02446,0.002106,0.003479,-4.51950259,-4.45607022,-2.13356316,-2.6119878,-3.46413965,-4.45734599,-4.35779121,-3.35470819,-2.32171153,-4.43301117,-4.45569368,-4.45961533,-4.52527091,-4.51484754,-4.44896302
50.273181,0.081831,0.022089,0.001944,0.003051,-4.79275327,-4.69949487,-2.09905283,-2.58065478,-3.44716019,-4.71187178,-4.50196133,-3.3279818,-2.28137269,-4.65943093,-4.69784438,-4.70477029,-4.76446528,-4.79504814,-4.70211766
55.267933,0.073988,0.020007,0.001756,0.002668,-5.03756419,-4.9279625,-2.06397498,-2.54659665,-3.41043845,-4.96272102,-4.45461836,-3.28679382,-2.24090606,-4.86397919,-4.92944714,-4.94202144,-4.9717514,-5.04123371,-5.06001351
59.087483,0.068953,0.018674,0.001617,0.002406,-5.20966847,-5.0858031,-2.0387107,-2.52150793,-3.37892593,-5.14100914,-4.36594137,-3.25375529,-2.2120084,-5.0006441,-5.08304542,-5.1013376,-5.13582517,-5.20625562,-5.2965243
64.670376,0.062708,0.017016,0.001421,0.002077,-5.38282733,-5.26410971,-2.00388641,-2.48657987,-3.33419397,-5.3185885,-4.24410039,-3.20795654,-2.17285751,-5.14003508,-5.27176226,-5.29664817,-5.33812969,-5.38637204,-5.65421942
69.959457,0.05777,0.0157,0.001257,0.001811,-5.57571362,-5.43543827,-1.97320785,-2.45576106,-3.2956525,-5.49548181,-4.15416884,-3.16866762,-2.13880323,-5.23427656,-5.41727203,-5.44706918,-5.50214861,-5.56990202,-5.95050729
79.950621,0.050323,0.013699,0.001008,0.001432,-5.85005343,-5.59073615,-1.92038374,-2.40265777,-3.23168844,-5.77271629,-4.02853024,-3.10359494,-2.08108053,-5.35640611,-5.58886679,-5.63867052,-5.71978418,-5.82655436,-6.16746135
89.941952,0.044576,0.012149,0.000826,0.001154,-6.03155556,-5.71746902,-1.87299296,-2.35494076,-3.176579,-6.06311963,-3.93703939,-3.04777287,-2.03032096,-5.40224981,-5.69372349,-5.75923981,-5.87250579,-6.02689688,-6.25982835
99.933664,0.040022,0.010918,0.000683,0.000949,-6.16117582,-5.75940432,-1.83027034,-2.31190736,-3.12829474,-6.26650625,-3.86553686,-2.99885727,-1.98502038,-5.4493152,-5.77072241,-5.83651922,-5.97335746,-6.17091418,-6.31857531
109.925465,0.036325,0.009915,0.000575,0.000792,-6.26185552,-5.78602054,-1.79138948,-2.27271155,-3.08514771,-6.50034135,-3.80611164,-2.95516377,-1.94410727,-5.47211226,-5.77765556,-5.85963776,-5.9836053,-6.20216701,-6.27851279
119.917464,0.033248,0.00908,0.000489,0.000672,-6.30436179,-5.83271472,-1.75561814,-2.2365946,-3.04615488,-6.83467853,-3.75608442,-2.91580062,-1.90684293,-5.44998341,-5.8049486,-5.90147587,-6.03994527,-6.30470028,-6.3550478
