tg,fidelity_truc29,fidelity_truc100,drive_amp_1,drive_amp_2,detune_1,detune_2
20.0,-1.768745,-1.291915,0.241468,0.055373,-0.005532,-0.002452
24.0,-1.26583,-0.912229,0.299927,0.070807,-0.048199,-0.021008
28.0,-1.881923,-1.662145,0.160349,0.041168,0.00061,0.009831
32.0,-2.130024,-1.478222,0.292883,0.043112,-0.024177,-0.027849
36.0,-2.087947,-1.175574,0.233482,0.058083,-0.032886,-0.019327
40.0,-2.788397,-1.569847,0.21946,0.044389,-0.021569,-0.018956
44.0,-2.81632,-0.7981,0.188538,0.084579,-0.294621,-0.278465
48.0,-3.071458,-2.113408,0.143613,0.091827,-0.28851,-0.260946
52.0,-3.42087,-1.426514,0.169985,0.081969,-0.290432,-0.272508
56.0,-3.472128,-2.26666,0.130811,0.088227,-0.27679,-0.249256
60.0,-3.580545,-2.140774,0.150418,0.078897,-0.273496,-0.2543
64.0,-3.015598,-0.872873,0.256689,0.059966,0.079619,0.091536
68.0,-3.807869,-2.582661,0.169744,0.042379,0.049307,0.054785
72.0,-3.188824,-2.208428,0.208881,0.028646,0.046928,0.060565
76.0,-4.204314,-2.356036,0.183545,0.036978,0.056284,0.064081
80.0,-4.657873,-2.694133,0.149099,0.055076,0.058246,0.060781
