tg,fidelity_truc44,fidelity_truc157,drive_amp_1,drive_amp_2,detune_1,detune_2
20.0,-1.643835,-1.63312234,0.247986,0.058597,-0.019272,-0.016288
25.0,-2.17368,-2.36741531,0.179494,0.046241,-0.003228,-0.000476
30.0,-2.876481,-3.07440094,0.144862,0.038029,0.000865,0.003487
35.0,-3.688729,-3.79677893,0.121768,0.032286,0.001859,0.004392
40.0,-3.301470,-3.302673,0.105147,0.028068,0.001898,0.00438
45.0,-2.453880,-1.532119,0.154128,0.091293,-0.295173,-0.270381
50.0,-3.77945,-2.803664,0.10746657,0.10323223,-0.30225871,-0.25967603
55.0,-3.052643,-1.884744,0.157689,0.052548,0.034872,0.037391
60.0,-3.409958,-3.348597, 0.081606,0.106285,-0.299703,-0.247238
65.0,-3.36216,-2.18657946,0.139866,0.041224,0.035288,0.0378
70.0,-3.442062,-2.453763,0.069316, 0.109747, -0.311983, -0.252449
80.0,-3.907725,-3.11743643,0.143017,0.046456,0.050847,0.053381
