tg,fidelity_truc44,fidelity_truc157,drive_amp_1,drive_amp_2,detune_1,detune_2,alpha_1
20.0,-1.90948993,-1.77483102,0.255803, 0.061427, -0.019026, -0.016471, -0.796633
25.0,-2.39060325,-2.74259622,0.180076,0.046489,-0.001969,0.000558,-0.456989
30.0,-3.04592397,-3.38380716,0.145273,0.038032,0.001225,0.003802,-0.197349
35.0,-3.6942727,-3.8160674,0.121786,0.032309,0.001749,0.004298,0.034297
40.0,-4.18834914,-4.15541487,0.104973,0.028038,0.001553,0.004085,0.293085
45.0,-2.53906696,-1.6748997,0.142452,0.09527,-0.295287,-0.270487,-2.695948
50.0,-3.95269743,-2.80211276,0.107944,0.102948,-0.302573,-0.260036,0.480914
55.0,-3.09301089,-1.85978927,0.15699,0.052882,0.034587,0.037111,0.19262
60.0,-3.47138429,-3.39387099,0.083077,0.105381,-0.299595,-0.247099,2.153895
65.0,-3.41975456,-2.14954546,0.139047,0.041524,0.034993,0.037541,0.285252
70.0,-3.57482957,-3.49050223,0.070324,0.108729,-0.311743,-0.252152,3.914143
80.0,-3.90947332,-3.11440461,0.143444,0.046188,0.05098,0.053516,-0.135294
