tg,fidelity_truc40,drive_amp_1,drive_amp_2,detune_1,detune_2
20.0,-0.468314,0.280467,0.116939,-0.002484,0.099633
24.0,-0.583184,0.276085,0.10138,-0.010268,0.099998
28.0,-0.678531,0.257038,0.114229,0.004616,0.086106
32.0,-0.856951,0.268841,0.081022,-0.020671,0.099992
36.0,-1.119862,0.226343,0.177677,-0.045376,-0.00394
40.0,-1.4295,0.224343,0.15341,-0.058639,-0.006108
44.0,-1.546196,0.204501,0.134096,-0.068385,-0.029449
48.0,-1.523358,0.201627,0.109492,-0.08323,-0.034902
52.0,-1.3898,0.277931,0.17364,-0.059155,-0.002789
56.0,-1.621031,0.214788,0.220521,-0.029654,-0.002067
60.0,-1.502802,0.173995,0.19214,-0.058973,-0.039767
64.0,-1.519565,0.16972,0.158177,-0.076691,-0.04915
68.0,-1.60574,0.162253,0.152582,-0.074195,-0.054036
72.0,-1.67753,0.163559,0.129156,-0.086087,-0.05855
76.0,-1.861733,0.160014,0.12313,-0.08301,-0.062032
80.0,-2.199433,0.228702,0.077929,-0.0283,0.061729
