tg,0,2,9,33,other
0.0,1.0,0.0,0.0,0.0,0.0
0.33377345751107534,0.9999999994189894,2.69823313999378e-25,3.5452038202414897e-12,5.740907618034004e-20,5.774663854063861e-10
0.6675469150221507,0.9999999984795604,1.1964569201149638e-22,3.1604919885123066e-11,2.488125738798242e-18,1.4888357366610206e-09
1.001320372533226,0.9999999992373381,2.8105197306398373e-21,1.1493696786746959e-10,1.3467609998199584e-17,6.477256298691612e-10
1.3350938300443014,0.9999999989894985,2.4033144792567706e-20,2.8588654272372236e-10,3.70046916924437e-17,7.246165489563514e-10
1.6688672875553767,0.9999999953073565,1.2908330272968742e-19,6.118655920201158e-10,1.2213413457816649e-16,4.080777941362177e-09
2.002640745066452,0.9999999868871375,5.548161321090651e-19,1.19084110786111e-09,3.0408534576662275e-16,1.1922021132233147e-08
2.3364142025775276,0.9999999667454615,2.0629326545620356e-18,2.645129016854437e-09,8.037719862856353e-16,3.060940948687749e-08
2.6701876600886028,0.9999999489811069,6.791208848850288e-18,5.7878593828096625e-09,3.603088764329812e-15,4.523103106761862e-08
3.003961117599678,0.9999999698872353,1.8520134047305002e-17,9.347830676404072e-09,7.218531285139101e-15,2.0764927693520594e-08
3.3377345751107534,0.9999999748365269,4.205117100023414e-17,1.3141875758817296e-08,1.1760218251672846e-14,1.2021585214255882e-08
3.671508032621829,0.9999999711089813,8.609071717864206e-17,1.781942719020409e-08,1.9770479287883415e-14,1.1071572220985558e-08
4.005281490132904,0.9999999590055263,1.66060279714714e-16,2.369026897247344e-08,3.054762918334879e-14,1.7304174176254844e-08
4.339054947643979,0.9999999325016351,3.061544094696362e-16,3.140055648274354e-08,4.1829212388372727e-14,3.609776815534067e-08
4.672828405155055,0.999999841245564,5.63214678718767e-16,4.28646329307115e-08,5.471524416521197e-14,1.1588974827404004e-07
5.00660186266613,0.9999997720822624,1.0435701914198815e-15,6.458790107610655e-08,1.1618709781343797e-13,1.6332972009365843e-07
5.3403753201772055,0.9999998008540129,1.8369666971051417e-15,8.9078316761936e-08,2.0562454534099523e-13,1.1006746535339939e-07
5.674148777688281,0.9999998415152843,2.9751369665086442e-15,1.0928473809166108e-07,2.932030628319083e-13,4.9199682493329255e-08
