tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_charge_truc_220,f_real_truc_3000
29.994376,0.099205,0.057109,-0.028523,-0.027362,-0.31068877,-0.32833681
40.003004,0.096609,0.049579,-0.028325,-0.026694,-0.40474121,-0.41740435
50.009627,0.086208,0.045334,-0.026182,-0.024551,-0.51823626,-0.5124982
59.995626,0.077544,0.041816,-0.024491,-0.02316,-0.6446964,-0.61008111
70.001584,0.070142,0.037217,-0.020717,-0.019962,-0.76613139,-0.71840679
79.999318,0.064654,0.035147,-0.019493,-0.019465,-0.86050692,-0.81112185
90.004152,0.05837,0.033131,-0.016679,-0.016419,-0.91361973,-0.89528593
99.993121,0.054087,0.03088,-0.01407,-0.013906,-0.99664636,-0.99478335
110.006914,0.04942,0.029523,-0.012467,-0.012274,-1.13881309,-1.1443369
120.002847,0.046972,0.028541,-0.012215,-0.011723,-1.32069038,-1.3316159
130.008905,0.044967,0.027755,-0.011844,-0.011358,-1.51728106,-1.53783981
140.001622,0.043144,0.027082,-0.011653,-0.011332,-1.68652002,-1.72152977
150.007858,0.039792,0.025436,-0.010327,-0.00999,-1.80155982,-1.84669134
159.993478,0.037136,0.023904,-0.00912,-0.008799,-1.93258945,-1.98018016
169.994539,0.035013,0.022727,-0.008229,-0.007889,-2.11311135,-2.15821035
179.994327,0.032879,0.021406,-0.007326,-0.006974,-2.29405267,-2.32411072
190.005655,0.031012,0.020307,-0.006613,-0.006325,-2.45017713,-2.46897464
199.99683,0.029348,0.019253,-0.005939,-0.005642,-2.62227087,-2.62138232
209.999963,0.027811,0.018316,-0.005361,-0.005105,-2.77203902,-2.76466267
220.001258,0.026491,0.017488,-0.004918,-0.004691,-2.85829946,-2.86716674
229.990815,0.025142,0.016545,-0.00441,-0.004176,-2.9397797,-2.95596933
240.00977,0.024099,0.015795,-0.003997,-0.003807,-3.03897836,-3.04714782
249.998675,0.02298,0.015082,-0.003623,-0.003456,-3.11522451,-3.12024819
260.001744,0.021969,0.014451,-0.003319,-0.003154,-3.17030381,-3.17525242
269.992401,0.021155,0.013872,-0.003069,-0.002914,-3.22274601,-3.2393424
279.998122,0.020361,0.013365,-0.00284,-0.002704,-3.28600784,-3.30177149
289.999552,0.019624,0.012863,-0.002621,-0.0025,-3.33893628,-3.34705194
300.007623,0.018925,0.012408,-0.002449,-0.002338,-3.36039663,-3.39340243
309.995594,0.018283,0.011979,-0.002273,-0.002166,-3.42799141,-3.44540104
320.004107,0.017647,0.01159,-0.002118,-0.002025,-3.47259813,-3.48632581
330.006586,0.017119,0.011225,-0.002,-0.001905,-3.49048036,-3.52628415
340.000951,0.016589,0.010887,-0.001872,-0.001781,-3.54636302,-3.5632347
350.00857,0.016105,0.010552,-0.001759,-0.001678,-3.5828143,-3.60754821
