tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_200_select,f_1000_False,f_truc110_ideal,f_truc110_170us,f_truc110_30us,f_truc110_3us
30.016865,0.119046,0.056799,-0.032063,-0.030732,-0.32771536,-0.34054968,-0.33459521,-0.33462568,-0.33455696,-0.33386244
40.016766,0.104833,0.049914,-0.030496,-0.028693,-0.40479492,-0.41997718,-0.41726832,-0.41730378,-0.41715523,-0.415659
50.008813,0.090273,0.046546,-0.027498,-0.025767,-0.50248238,-0.50564597,-0.50384835,-0.50387591,-0.50360602,-0.50076075
60.024831,0.074075,0.039782,-0.020488,-0.019859,-0.61223336,-0.5939843,-0.6187361,-0.61874912,-0.61827326,-0.61266715
69.994995,0.065867,0.034625,-0.016253,-0.015833,-0.7107132,-0.68709508,-0.71460473,-0.71441306,-0.71360372,-0.70451341
80.005168,0.061271,0.032441,-0.015181,-0.014477,-0.80872123,-0.78070633,-0.80506117,-0.80501265,-0.80374221,-0.79028775
90.004882,0.057133,0.030909,-0.013363,-0.01325,-0.89987692,-0.87685505,-0.8878994,-0.88778315,-0.88593046,-0.8672338
100.006167,0.053076,0.029316,-0.01188,-0.01157,-1.00746973,-0.99119013,-0.99644971,-0.99626745,-0.99347607,-0.96618269
110.008706,0.049616,0.028206,-0.01119,-0.010777,-1.16106707,-1.14375368,-1.14865398,-1.14713894,-1.14258346,-1.09931156
119.999923,0.046969,0.027146,-0.010649,-0.010409,-1.35282295,-1.32503677,-1.33083181,-1.33107376,-1.32027945,-1.24822082
129.995414,0.044102,0.026819,-0.010756,-0.010313,-1.58074169,-1.52064501,-1.52765589,-1.52044528,-1.50563976,-1.39281989
140.005331,0.041394,0.025794,-0.010206,-0.009612,-1.77567846,-1.70110197,-1.70064316,-1.69573721,-1.67124937,-1.50208234
149.996866,0.039078,0.024359,-0.009107,-0.008681,-1.84956121,-1.91027038,-1.84350299,-1.84979165,-1.81829787,-1.57871225
160.000133,0.036595,0.022959,-0.008237,-0.007826,-2.00077611,-2.05780752,-2.07880109,-2.06772623,-2.01742264,-1.68035308
169.993992,0.034622,0.02211,-0.007681,-0.007266,-2.20239633,-2.25166149,-2.27285841,-2.25546,-2.17590113,-1.73089226
179.996641,0.032821,0.02095,-0.006902,-0.006534,-2.39116377,-2.40898086,-2.43016406,-2.40261036,-2.28952363,-1.75112556
189.997344,0.030915,0.019755,-0.006194,-0.005848,-2.52671861,-2.53251749,-2.559748,-2.52107117,-2.37182427,-1.756333
200.001513,0.029121,0.018721,-0.005572,-0.005265,-2.65070337,-2.64483378,-2.6736226,-2.62218171,-2.43191869,-1.75332546
209.996351,0.02774,0.017771,-0.005024,-0.004777,-2.76713919,-2.76168067,-2.78525417,-2.71718386,-2.48175774,-1.74581363
219.997562,0.026349,0.016887,-0.00455,-0.004302,-2.84964821,-2.84286097,-2.86702638,-2.79447264,-2.51157853,-1.73430151
230.001715,0.025067,0.016064,-0.00409,-0.003877,-2.92073169,-2.91236387,-2.92928646,-2.83387231,-2.52261034,-1.71995833
239.989977,0.023957,0.015387,-0.003744,-0.003546,-2.99583451,-2.98764623,-2.99885625,-2.88386487,-2.53625982,-1.70675385
249.992868,0.022922,0.014688,-0.003423,-0.003252,-3.06948985,-3.06275222,-3.07743822,-2.93855216,-2.54920101,-1.69328746
260.000623,0.021992,0.014066,-0.003138,-0.002978,-3.12317876,-3.11288779,-3.12760541,-2.96894481,-2.55062065,-1.67877089
269.994868,0.021106,0.013544,-0.002882,-0.002747,-3.17088505,-3.16480377,-3.16576048,-2.9884978,-2.5473369,-1.66415968
280.000886,0.020289,0.013002,-0.002675,-0.002543,-3.23079202,-3.21686124,-3.231448,-3.02634505,-2.55006294,-1.650947
290.001675,0.019575,0.01252,-0.00247,-0.002353,-3.28362895,-3.27490824,-3.27816315,-3.0476778,-2.54627393,-1.6370597
300.003294,0.018943,0.012103,-0.002317,-0.002203,-3.32560041,-3.31894369,-3.31975139,-3.06483296,-2.54147911,-1.62418208
310.008159,0.018298,0.011686,-0.002157,-0.002061,-3.36561736,-3.36162247,-3.35914688,-3.07971574,-2.53543518,-1.61096689
319.999489,0.01768,0.011265,-0.002005,-0.001905,-3.40713702,-3.38447308,-3.39717795,-3.09298378,-2.52869477,-1.59791789
330.004173,0.017153,0.010944,-0.001891,-0.001804,-3.45147331,-3.44311243,-3.44178535,-3.1060151,-2.52255582,-1.58601431
340.0063,0.016618,0.010608,-0.001774,-0.00169,-3.4870657,-3.47404681,-3.47419315,-3.11338393,-2.51462029,-1.57387751
