tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_charge_220,f_low_3000,f_charge_200,f_charge_240,f_charge_260,f_charge_280,f_charge_300,f_charge_320,f_charge_340,f_charge_360,f_charge_380,f_charge_400,f_charge_500,f_charge_600,f_charge_700,f_charge_800,f_charge_900,f_low_200,f_low_400,f_low_600,f_low_800,f_low_1000,f_low_2000
29.994376,0.099205,0.057109,-0.028523,-0.027362,-0.31068877,-0.32833681,-0.32996246,-0.30967251,-0.31319356,-0.31359042,-0.32131676,-0.32330881,-0.32295916,-0.32108838,-0.32418343,-0.3229769,-0.32746628,-0.33344081,-0.32860939,-0.32852808,-0.32794895,-0.32676793,-0.3853827,-0.31032859,-0.31447342,-0.32093212,-0.32840926
40.003004,0.096609,0.049579,-0.028325,-0.026694,-0.40474121,-0.41740435,-0.42841089,-0.40321105,-0.40872536,-0.40901855,-0.41875044,-0.42110234,-0.41104401,-0.40825348,-0.41188246,-0.41025552,-0.42068515,-0.42990715,-0.41794885,-0.41774899,-0.41709319,-0.41091466,-0.51661022,-0.40470337,-0.41059872,-0.40827226,-0.41731493
50.009627,0.086208,0.045334,-0.026182,-0.024551,-0.51823626,-0.5124982,-0.54499226,-0.51562752,-0.5212817,-0.5215059,-0.52797956,-0.52996823,-0.5167487,-0.5145319,-0.51806278,-0.5165352,-0.52295588,-0.53147812,-0.51360696,-0.51337469,-0.51268723,-0.53141757,-0.64683841,-0.51801386,-0.52251403,-0.51470893,-0.5128487
59.995626,0.077544,0.041816,-0.024491,-0.02316,-0.6446964,-0.61008111,-0.65943028,-0.63923392,-0.64420655,-0.64423378,-0.64481419,-0.64495726,-0.6290943,-0.62786427,-0.63062984,-0.62977187,-0.62598732,-0.63260472,-0.61226362,-0.61194829,-0.61131634,-0.6565539,-0.7581098,-0.64201901,-0.64296543,-0.62789951,-0.61185876
70.001584,0.070142,0.037217,-0.020717,-0.019962,-0.76613139,-0.71840679,-0.76480538,-0.75947252,-0.76364791,-0.76338576,-0.76002111,-0.75779703,-0.74041119,-0.74099979,-0.74225623,-0.74217,-0.72688785,-0.73148097,-0.72153166,-0.72095586,-0.71994172,-0.78697257,-0.82814753,-0.76274204,-0.76041037,-0.74043994,-0.7218673
79.999318,0.064654,0.035147,-0.019493,-0.019465,-0.86050692,-0.81112185,-0.82426995,-0.85570279,-0.85904762,-0.85870284,-0.85530626,-0.85257899,-0.83500491,-0.8363018,-0.83664345,-0.83671882,-0.81785607,-0.82058946,-0.81414979,-0.81344197,-0.81234891,-0.87256388,-0.85944038,-0.85732548,-0.8559456,-0.83568973,-0.81446997
90.004152,0.05837,0.033131,-0.016679,-0.016419,-0.91361973,-0.89528593,-0.8933991,-0.9105906,-0.91377122,-0.91375319,-0.91381815,-0.91337555,-0.90724958,-0.90844228,-0.90806956,-0.90619221,-0.89828352,-0.90114477,-0.89655634,-0.89624334,-0.8953873,-0.96436689,-0.92034156,-0.91232236,-0.91251117,-0.90790623,-0.8974156
99.993121,0.054087,0.03088,-0.01407,-0.013906,-0.99664636,-0.99478335,-0.99548916,-0.99373894,-0.99729591,-0.99748307,-0.99902881,-0.9998919,-0.99996323,-1.00076759,-1.00106985,-0.99917646,-0.99708943,-1.00076532,-0.99606041,-0.99571127,-0.99493024,-1.04300931,-1.02807372,-0.99616348,-0.99685281,-1.00014456,-0.99703338
110.006914,0.04942,0.029523,-0.012467,-0.012274,-1.13881309,-1.1443369,-1.15901332,-1.13597295,-1.13996069,-1.14027646,-1.14234173,-1.1438541,-1.14634441,-1.14696304,-1.14697755,-1.14518118,-1.14434728,-1.14888131,-1.14569932,-1.14564531,-1.1447271,-1.18270368,-1.20646765,-1.1388421,-1.13971908,-1.14607402,-1.14637417
120.002847,0.046972,0.028541,-0.012215,-0.011723,-1.32069038,-1.3316159,-1.3102668,-1.32154475,-1.32616369,-1.32654845,-1.32928221,-1.33119309,-1.33453389,-1.33539333,-1.3346999,-1.3319715,-1.33104844,-1.33645812,-1.33311268,-1.3330531,-1.33202119,-1.3186128,-1.35767853,-1.32084463,-1.32592969,-1.33407038,-1.33383003
130.008905,0.044967,0.027755,-0.011844,-0.011358,-1.51728106,-1.53783981,-1.46907286,-1.52463534,-1.53009268,-1.53062257,-1.53472473,-1.537443,-1.54237503,-1.54393242,-1.54211581,-1.53705209,-1.53602322,-1.5432386,-1.53985493,-1.53975196,-1.53847605,-1.47764684,-1.51727536,-1.51778433,-1.52983686,-1.54179075,-1.54034125
140.001622,0.043144,0.027082,-0.011653,-0.011332,-1.68652002,-1.72152977,-1.53780389,-1.70986938,-1.71500604,-1.71549796,-1.72142419,-1.72474864,-1.72959333,-1.7322157,-1.72894183,-1.71933675,-1.71879824,-1.72659813,-1.7235717,-1.72348721,-1.72231631,-1.53874237,-1.56021546,-1.68702076,-1.71471612,-1.72898133,-1.72409303
150.007858,0.039792,0.025436,-0.010327,-0.00999,-1.80155982,-1.84669134,-1.59951391,-1.836303,-1.84045184,-1.84080303,-1.84740438,-1.84961863,-1.85406346,-1.8573332,-1.85083975,-1.84644208,-1.84330867,-1.84987855,-1.84800319,-1.84804986,-1.84720126,-1.60672959,-1.61960774,-1.80198516,-1.83999111,-1.85331662,-1.84777925
159.993478,0.037136,0.023904,-0.00912,-0.008799,-1.93258945,-1.98018016,-1.69123745,-1.96955216,-1.9734459,-1.97380246,-1.97975068,-1.97979195,-1.98433473,-1.98719391,-1.97733399,-1.98414525,-1.97775517,-1.98329148,-1.98073444,-1.98062661,-1.98006537,-1.6789147,-1.70297124,-1.9330449,-1.9727591,-1.9830525,-1.97988937
169.994539,0.035013,0.022727,-0.008229,-0.007889,-2.11311135,-2.15821035,-1.82605893,-2.14704127,-2.15116995,-2.15161141,-2.15640739,-2.15370304,-2.15917008,-2.16127631,-2.14720361,-2.1691625,-2.15880015,-2.1636663,-2.15867564,-2.15828041,-2.15758195,-1.7810027,-1.81989532,-2.11386322,-2.15002419,-2.15717357,-2.156806
179.994327,0.032879,0.021406,-0.007326,-0.006974,-2.29405267,-2.32411072,-1.93095978,-2.31576856,-2.31993523,-2.32028684,-2.32275528,-2.31698298,-2.32186064,-2.32214502,-2.30627785,-2.34212602,-2.32990906,-2.33285175,-2.32406885,-2.32415847,-2.32386236,-1.84293193,-1.8868066,-2.29455935,-2.31850585,-2.31949308,-2.32160802
190.005655,0.031012,0.020307,-0.006613,-0.006325,-2.45017713,-2.46897464,-1.98932421,-2.46712517,-2.47034612,-2.47057462,-2.47134402,-2.46377657,-2.46714666,-2.46606729,-2.45026066,-2.49190077,-2.48032984,-2.48136903,-2.47214853,-2.47209931,-2.47221001,-1.86235893,-1.91151064,-2.45032168,-2.469058,-2.46469502,-2.46753133
199.99683,0.029348,0.019253,-0.005939,-0.005642,-2.62227087,-2.62138232,-2.08795415,-2.62124733,-2.6245315,-2.6246953,-2.62422068,-2.6171969,-2.62059926,-2.61869659,-2.60565493,-2.64316849,-2.63339161,-2.63348304,-2.62559792,-2.62504757,-2.6237517,-1.9238872,-1.97948048,-2.62234852,-2.62337743,-2.61851995,-2.62160681
209.999963,0.027811,0.018316,-0.005361,-0.005105,-2.77203902,-2.76466267,-2.1535422,-2.76459495,-2.76711094,-2.76725273,-2.7664476,-2.7609943,-2.76324934,-2.76178353,-2.75181562,-2.78059179,-2.77360528,-2.77331344,-2.76697019,-2.76674073,-2.76609934,-1.9647994,-2.02582368,-2.77205013,-2.76631548,-2.7623783,-2.76515459
220.001258,0.026491,0.017488,-0.004918,-0.004691,-2.85829946,-2.86716674,-2.15977074,-2.86760549,-2.86831584,-2.86840022,-2.86847154,-2.86457612,-2.86473981,-2.86324531,-2.856484,-2.87574292,-2.87246561,-2.87165364,-2.86835138,-2.86837137,-2.86825001,-1.96596795,-2.02822025,-2.85808752,-2.86823853,-2.86438235,-2.8674343
229.990815,0.025142,0.016545,-0.00441,-0.004176,-2.9397797,-2.95596933,-2.20152996,-2.95367132,-2.95520736,-2.9553371,-2.95719042,-2.95558352,-2.95569989,-2.95501477,-2.9516937,-2.95996695,-2.95883248,-2.95861371,-2.95710024,-2.95720983,-2.95713865,-2.00801883,-2.07072485,-2.93930326,-2.95550988,-2.95563608,-2.95691833
240.00977,0.024099,0.015795,-0.003997,-0.003807,-3.03897836,-3.04714782,-2.26335869,-3.04656974,-3.04793812,-3.04815592,-3.05018682,-3.04960633,-3.05006681,-3.04975557,-3.04788012,-3.05093451,-3.04973671,-3.04967705,-3.04884293,-3.04874138,-3.04857784,-2.06707614,-2.12737124,-3.03867744,-3.0480449,-3.05006817,-3.04889541
249.998675,0.02298,0.015082,-0.003623,-0.003456,-3.11522451,-3.12024819,-2.31668989,-3.1199699,-3.12143284,-3.1216756,-3.12381892,-3.12375442,-3.12443452,-3.12434224,-3.12313014,-3.1237171,-3.12234365,-3.12236448,-3.12161994,-3.12145837,-3.12120434,-2.11589877,-2.17998725,-3.11495811,-3.12143766,-3.12449125,-3.12188846
260.001744,0.021969,0.014451,-0.003319,-0.003154,-3.17030381,-3.17525242,-2.36086425,-3.17418933,-3.17571932,-3.17596198,-3.17822965,-3.1784198,-3.17919111,-3.17917218,-3.17821689,-3.17796592,-3.17661238,-3.1766319,-3.17591885,-3.17571857,-3.17544444,-2.15546632,-2.22465236,-3.17013266,-3.17571739,-3.17930082,-3.17634488
269.992401,0.021155,0.013872,-0.003069,-0.002914,-3.22274601,-3.2393424,-2.37995458,-3.23699133,-3.23838377,-3.23863288,-3.24155547,-3.24169113,-3.2420338,-3.24206135,-3.24111389,-3.24089106,-3.24021318,-3.24021463,-3.23981715,-3.23968994,-3.23956353,-2.17997937,-2.24651551,-3.22249469,-3.23867199,-3.24213987,-3.24007406
279.998122,0.020361,0.013365,-0.00284,-0.002704,-3.28600784,-3.30177149,-2.41862847,-3.30081071,-3.30154466,-3.30179745,-3.30438684,-3.30449498,-3.30463943,-3.30468989,-3.30372343,-3.30327515,-3.30253647,-3.30246268,-3.302105,-3.30197458,-3.30184801,-2.21546124,-2.28410412,-3.28587617,-3.30173739,-3.30471799,-3.30239327
289.999552,0.019624,0.012863,-0.002621,-0.0025,-3.33893628,-3.34705194,-2.46330129,-3.34684003,-3.34776655,-3.34801313,-3.35025302,-3.35037868,-3.35081161,-3.35086481,-3.34987335,-3.34927671,-3.34781276,-3.34763127,-3.3471294,-3.34696881,-3.34677939,-2.25953572,-2.32829321,-3.33887485,-3.34769292,-3.35090691,-3.34767893
300.007623,0.018925,0.012408,-0.002449,-0.002338,-3.36039663,-3.39340243,-2.46154335,-3.39159466,-3.39186384,-3.39210508,-3.39502307,-3.39496519,-3.39450416,-3.39456248,-3.39365094,-3.39350567,-3.39386402,-3.39391041,-3.39384513,-3.39380067,-3.39382017,-2.2638,-2.33218708,-3.36022776,-3.39255467,-3.39457425,-3.39376612
