tg,f_charge_200,f_charge_220,f_charge_240,f_charge_260,f_charge_280,f_charge_300,f_charge_320,f_charge_340,f_charge_360,f_charge_380,f_charge_400,f_charge_500,f_charge_600,f_charge_700,f_charge_800,f_charge_900
30.00000000,-0.32996246,-0.31068877,-0.30967251,-0.31319356,-0.31359042,-0.32131676,-0.32330881,-0.32295916,-0.32108838,-0.32418343,-0.32297690,-0.32746628,-0.33344081,-0.32860939,-0.32852808,-0.32794895
40.00000000,-0.42841089,-0.40474121,-0.40321105,-0.40872536,-0.40901855,-0.41875044,-0.42110234,-0.41104401,-0.40825348,-0.41188246,-0.41025552,-0.42068515,-0.42990715,-0.41794885,-0.41774899,-0.41709319
50.00000000,-0.54499226,-0.51823626,-0.51562752,-0.52128170,-0.52150590,-0.52797956,-0.52996823,-0.51674870,-0.51453190,-0.51806278,-0.51653520,-0.52295588,-0.53147812,-0.51360696,-0.51337469,-0.51268723
60.00000000,-0.65943028,-0.64469640,-0.63923392,-0.64420655,-0.64423378,-0.64481419,-0.64495726,-0.62909430,-0.62786427,-0.63062984,-0.62977187,-0.62598732,-0.63260472,-0.61226362,-0.61194829,-0.61131634
70.00000000,-0.76480538,-0.76613139,-0.75947252,-0.76364791,-0.76338576,-0.76002111,-0.75779703,-0.74041119,-0.74099979,-0.74225623,-0.74217000,-0.72688785,-0.73148097,-0.72153166,-0.72095586,-0.71994172
80.00000000,-0.82426995,-0.86050692,-0.85570279,-0.85904762,-0.85870284,-0.85530626,-0.85257899,-0.83500491,-0.83630180,-0.83664345,-0.83671882,-0.81785607,-0.82058946,-0.81414979,-0.81344197,-0.81234891
90.00000000,-0.89339910,-0.91361973,-0.91059060,-0.91377122,-0.91375319,-0.91381815,-0.91337555,-0.90724958,-0.90844228,-0.90806956,-0.90619221,-0.89828352,-0.90114477,-0.89655634,-0.89624334,-0.89538730
100.00000000,-0.99548916,-0.99664636,-0.99373894,-0.99729591,-0.99748307,-0.99902881,-0.99989190,-0.99996323,-1.00076759,-1.00106985,-0.99917646,-0.99708943,-1.00076532,-0.99606041,-0.99571127,-0.99493024
110.00000000,-1.15901332,-1.13881309,-1.13597295,-1.13996069,-1.14027646,-1.14234173,-1.14385410,-1.14634441,-1.14696304,-1.14697755,-1.14518118,-1.14434728,-1.14888131,-1.14569932,-1.14564531,-1.14472710
120.00000000,-1.31026680,-1.32069038,-1.32154475,-1.32616369,-1.32654845,-1.32928221,-1.33119309,-1.33453389,-1.33539333,-1.33469990,-1.33197150,-1.33104844,-1.33645812,-1.33311268,-1.33305310,-1.33202119
130.00000000,-1.46907286,-1.51728106,-1.52463534,-1.53009268,-1.53062257,-1.53472473,-1.53744300,-1.54237503,-1.54393242,-1.54211581,-1.53705209,-1.53602322,-1.54323860,-1.53985493,-1.53975196,-1.53847605
140.00000000,-1.53780389,-1.68652002,-1.70986938,-1.71500604,-1.71549796,-1.72142419,-1.72474864,-1.72959333,-1.73221570,-1.72894183,-1.71933675,-1.71879824,-1.72659813,-1.72357170,-1.72348721,-1.72231631
150.00000000,-1.59951391,-1.80155982,-1.83630300,-1.84045184,-1.84080303,-1.84740438,-1.84961863,-1.85406346,-1.85733320,-1.85083975,-1.84644208,-1.84330867,-1.84987855,-1.84800319,-1.84804986,-1.84720126
160.00000000,-1.69123745,-1.93258945,-1.96955216,-1.97344590,-1.97380246,-1.97975068,-1.97979195,-1.98433473,-1.98719391,-1.97733399,-1.98414525,-1.97775517,-1.98329148,-1.98073444,-1.98062661,-1.98006537
170.00000000,-1.82605893,-2.11311135,-2.14704127,-2.15116995,-2.15161141,-2.15640739,-2.15370304,-2.15917008,-2.16127631,-2.14720361,-2.16916250,-2.15880015,-2.16366630,-2.15867564,-2.15828041,-2.15758195
180.00000000,-1.93095978,-2.29405267,-2.31576856,-2.31993523,-2.32028684,-2.32275528,-2.31698298,-2.32186064,-2.32214502,-2.30627785,-2.34212602,-2.32990906,-2.33285175,-2.32406885,-2.32415847,-2.32386236
190.00000000,-1.98932421,-2.45017713,-2.46712517,-2.47034612,-2.47057462,-2.47134402,-2.46377657,-2.46714666,-2.46606729,-2.45026066,-2.49190077,-2.48032984,-2.48136903,-2.47214853,-2.47209931,-2.47221001
200.00000000,-2.08795415,-2.62227087,-2.62124733,-2.62453150,-2.62469530,-2.62422068,-2.61719690,-2.62059926,-2.61869659,-2.60565493,-2.64316849,-2.63339161,-2.63348304,-2.62559792,-2.62504757,-2.62375170
210.00000000,-2.15354220,-2.77203902,-2.76459495,-2.76711094,-2.76725273,-2.76644760,-2.76099430,-2.76324934,-2.76178353,-2.75181562,-2.78059179,-2.77360528,-2.77331344,-2.76697019,-2.76674073,-2.76609934
220.00000000,-2.15977074,-2.85829946,-2.86760549,-2.86831584,-2.86840022,-2.86847154,-2.86457612,-2.86473981,-2.86324531,-2.85648400,-2.87574292,-2.87246561,-2.87165364,-2.86835138,-2.86837137,-2.86825001
230.00000000,-2.20152996,-2.93977970,-2.95367132,-2.95520736,-2.95533710,-2.95719042,-2.95558352,-2.95569989,-2.95501477,-2.95169370,-2.95996695,-2.95883248,-2.95861371,-2.95710024,-2.95720983,-2.95713865
240.00000000,-2.26335869,-3.03897836,-3.04656974,-3.04793812,-3.04815592,-3.05018682,-3.04960633,-3.05006681,-3.04975557,-3.04788012,-3.05093451,-3.04973671,-3.04967705,-3.04884293,-3.04874138,-3.04857784
250.00000000,-2.31668989,-3.11522451,-3.11996990,-3.12143284,-3.12167560,-3.12381892,-3.12375442,-3.12443452,-3.12434224,-3.12313014,-3.12371710,-3.12234365,-3.12236448,-3.12161994,-3.12145837,-3.12120434
260.00000000,-2.36086425,-3.17030381,-3.17418933,-3.17571932,-3.17596198,-3.17822965,-3.17841980,-3.17919111,-3.17917218,-3.17821689,-3.17796592,-3.17661238,-3.17663190,-3.17591885,-3.17571857,-3.17544444
270.00000000,-2.37995458,-3.22274601,-3.23699133,-3.23838377,-3.23863288,-3.24155547,-3.24169113,-3.24203380,-3.24206135,-3.24111389,-3.24089106,-3.24021318,-3.24021463,-3.23981715,-3.23968994,-3.23956353
280.00000000,-2.41862847,-3.28600784,-3.30081071,-3.30154466,-3.30179745,-3.30438684,-3.30449498,-3.30463943,-3.30468989,-3.30372343,-3.30327515,-3.30253647,-3.30246268,-3.30210500,-3.30197458,-3.30184801
290.00000000,-2.46330129,-3.33893628,-3.34684003,-3.34776655,-3.34801313,-3.35025302,-3.35037868,-3.35081161,-3.35086481,-3.34987335,-3.34927671,-3.34781276,-3.34763127,-3.34712940,-3.34696881,-3.34677939
300.00000000,-2.46154335,-3.36039663,-3.39159466,-3.39186384,-3.39210508,-3.39502307,-3.39496519,-3.39450416,-3.39456248,-3.39365094,-3.39350567,-3.39386402,-3.39391041,-3.39384513,-3.39380067,-3.39382017
310.00000000,-2.51762562,-3.42799141,-3.44426699,-3.44515130,-3.44537421,-3.44782142,-3.44790937,-3.44811369,-3.44816447,-3.44721225,-3.44681765,-3.44583600,-3.44566728,-3.44529115,-3.44515737,-3.44502421
320.00000000,-2.55382582,-3.47259813,-3.48682409,-3.48726640,-3.48746394,-3.48918114,-3.48920176,-3.48931525,-3.48932900,-3.48842582,-3.48792587,-3.48662744,-3.48635442,-3.48593179,-3.48573590,-3.48559295
330.00000000,-2.55404170,-3.49048036,-3.52481243,-3.52506127,-3.52526842,-3.52801443,-3.52802902,-3.52762748,-3.52768646,-3.52689292,-3.52676322,-3.52728032,-3.52734717,-3.52726934,-3.52720662,-3.52719466
340.00000000,-2.60822715,-3.54636302,-3.56275741,-3.56321754,-3.56337725,-3.56521713,-3.56534397,-3.56543755,-3.56549363,-3.56467017,-3.56423969,-3.56328606,-3.56301075,-3.56267781,-3.56257448,-3.56247208
350.00000000,-2.62550294,-3.58281430,-3.60722669,-3.60766505,-3.60782145,-3.60975267,-3.60977747,-3.60969501,-3.60973649,-3.60898433,-3.60870049,-3.60814596,-3.60797176,-3.60772761,-3.60764630,-3.60759407
