tg,fidelity,drive_amp,detune
20.0,-0.28701,0.23304265,-0.29993766
26.43,-0.32893,0.1758294,-0.29999947
32.86,-0.36674,0.07587164,-0.24406692
39.29,-0.45868,0.07233061,-0.24301205
45.71,-0.55746,0.06896467,-0.24147682
52.14,-0.6469,0.06508026,-0.23889278
58.57,-0.7153,0.062427,-0.23796426
65.0,-0.76782,0.0670686,-0.24857306
71.43,-0.84487,0.06934225,-0.25517867
77.86,-0.91485,0.06732948,-0.25394233
84.29,-0.96663,0.06500633,-0.25185505
90.72,-0.99538,0.06313664,-0.25052235
97.14,-1.00298,0.06148612,-0.24940277
103.57,-1.11611,0.03718495,-0.20718453
110.0,-1.234,0.03617471,-0.20704431
116.43,-1.33558,0.03514798,-0.20683332
122.86,-1.40441,0.03405489,-0.20648344
129.29,-1.43629,0.03264099,-0.20557774
135.71,-1.45798,0.03058292,-0.20383059
142.14,-1.4986,0.02891265,-0.20244342
148.57,-1.54991,0.02769185,-0.20164006
155.0,-1.59748,0.02665014,-0.20100703
161.43,-1.63223,0.02562459,-0.20041294
167.86,-1.65375,0.02460791,-0.19981398
174.29,-1.66885,0.02356685,-0.19916934
180.72,-1.71686,0.03728772,-0.1976468
187.14,-1.77047,0.03605601,-0.1970715
193.57,-1.81605,0.03482542,-0.19647364
200.0,-1.8556,0.03370579,-0.1959753
