tg,fidelity,fidelity_qt,drive_amp_1,drive_amp_2,detune_1,detune_2
20.0,-0.32757,-0.35532,0.29378271,0.20716334,-0.29985346,-0.28104897
26.43,-0.38508,-0.43399,0.19986763,0.16542913,-0.2999511,-0.28562012
32.86,-0.40678,-0.46723,0.1024109,0.06657146,-0.24625946,-0.24266679
39.29,-0.52541,-0.58887,0.09845212,0.063517,-0.24563539,-0.24261666
45.71,-0.65534,-0.72233,0.09287652,0.06184428,-0.24519818,-0.24228288
52.14,-0.77471,-0.84843,0.08500735,0.05856077,-0.24148295,-0.23880702
58.57,-0.86841,-0.94645,0.08196338,0.05831298,-0.24299948,-0.23999687
65.0,-0.98442,-1.05038,0.09085433,0.06723939,-0.26168943,-0.2577288
71.43,-1.15048,-1.21936,0.08771059,0.06686043,-0.26245649,-0.2587229
77.86,-1.32948,-1.40408,0.08268961,0.06486377,-0.25980483,-0.25584558
84.29,-1.51033,-1.58819,0.08010412,0.06295752,-0.25797146,-0.25435729
90.72,-1.668,-1.75028,0.07719413,0.06146966,-0.25644133,-0.2529544
97.14,-1.79079,-1.8742,0.07535164,0.06135683,-0.25725,-0.25353
103.57,-1.9311,-1.99992,0.07605206,0.06394328,-0.26325392,-0.25904631
110.0,-2.11695,-2.17711,0.07457781,0.06346544,-0.26346294,-0.25926915


116.43,-2.25041,-2.30743,0.07307225,0.06204401,-0.26211508,-0.25814971
122.86,-2.28375,-2.33939,0.07167744,0.06109929,-0.261474,-0.25756381
129.29,-2.26002,-2.33009,0.13937568,0.04124523,-0.2608429,-0.27943436
135.71,-2.50436,-2.58729,0.13638048,0.03944167,-0.2594024,-0.27663505
142.14,-2.68068,-2.7752,0.13369091,0.03796935,-0.258307,-0.27423685
148.57,-2.73726,-2.83004,0.13314316,0.03692284,-0.2589216,-0.27404685
155.0,-2.88339,-2.96037,0.14034295,0.03719911,-0.26608313,-0.28162832
161.43,-3.11159,-3.19035,0.1399493,0.03615711,-0.26665692,-0.2814721
167.86,-3.21012,-3.28095,0.13949686,0.03552016,-0.26760603,-0.28167795
174.29,-3.32062,-3.41719,0.13659946,0.03439618,-0.26598009,-0.27913326
180.72,-3.15373,-3.23248,0.18575447,0.03809189,-0.29511013,-0.3287981
187.14,-3.24536,-3.31895,0.18699768,0.0374285,-0.29800559,-0.33070365
193.57,-3.51013,-3.5952,0.13229523,0.03228862,-0.26545873,-0.27656524
200.0,-3.46532,-3.56416,0.23289445,0.04200986,-0.33311843,-0.39297454
