tg,fidelity_truc44,drive_amp_1,drive_amp_2,detune_1,detune_2
20.0,-1.643835,0.247986,0.058597,-0.019272,-0.016288
25.0,-2.17368,0.179494,0.046241,-0.003228,-0.000476
30.0,-2.876481,0.144862,0.038029,0.000865,0.003487
35.0,-3.688729,0.121768,0.032286,0.001859,0.004392
40.0,-2.990633,0.212623,0.04435,-0.025295,-0.022742
45.0,-1.816122,0.25175,0.046367,-0.045162,-0.042517
50.0,-2.526664,0.168458,0.060915,0.032916,0.035472
55.0,-2.565687,0.207681,0.040866,-0.034707,-0.03218
60.0,-3.471125,0.148511,0.046014,0.035595,0.038125
65.0,-3.36216,0.139866,0.041224,0.035288,0.0378
80.0,-3.907725,0.143017,0.046456,0.050847,0.053381
