idx,f_trunc,f_large,p0,p1,p2,p3,p4
0,-0.2818902103495077,-0.2912980753841003,30.001697955384582,0.0950305175396984,0.05596450686188227,-0.022943169927198123,-0.02040572667501151
1,-0.36851881981738704,-0.3692339047453178,40.00555329107142,0.09972665690339663,0.0468645259519197,-0.024155644351023426,-0.023899885950733814
2,-0.47895616524618356,-0.46374898713607937,50.00717830931639,0.09442910058137483,0.042327071611791674,-0.02447263739404178,-0.024578491679083842
3,-0.5989938948441367,-0.5681615975688652,60.00042024820094,0.08602681783074057,0.03956572052484208,-0.02381866247674808,-0.023593373669875732
4,-0.7117797058990151,-0.6724996146567204,70.00632025943978,0.0754983495803452,0.037554509609344686,-0.0220722397477199,-0.02175592927350769
5,-0.7948070040118868,-0.7488194847126083,80.00717061124169,0.06846855666368748,0.03608587488113513,-0.021665622237014372,-0.021366492273213307
6,-0.8398560651027697,-0.8302549406951014,90.0046789076465,0.06126904280237342,0.032829886711906134,-0.017510547571789492,-0.017426353484737
7,-0.9264838115053704,-0.9308549646267271,99.98779143683356,0.055247617373189575,0.030332172025913356,-0.013642098827662992,-0.013384186342166414
8,-1.0763799875728124,-1.0845935355492267,110.00551597689879,0.050836911878524925,0.029181245187543663,-0.012404060384037647,-0.012205537877338286
9,-1.263349851847208,-1.27820176130917,120.00119888114236,0.04819781802273069,0.028481496701770557,-0.012000291568202466,-0.011662860296695022
10,-1.462402592134475,-1.4906334355442843,130.008905,0.044967,0.027754999999999995,-0.011843999999999997,-0.011358000000000004
11,-1.6383298777531088,-1.686510358746641,140.00288939744678,0.043146745387958915,0.027054554105077233,-0.011586233235172003,-0.011199631566735644
12,-1.7512780503763792,-1.8116326940671619,150.00846555731022,0.04043908574233152,0.025691748410747763,-0.010562739338149656,-0.010137663853650223
13,-1.8858413437905266,-1.9289602729740232,160.00104629807225,0.037311380535409985,0.02360157951413129,-0.008811894191286362,-0.008470097803785107
14,-2.0687189308837888,-2.1136483573795286,169.98845121779001,0.03505874753584795,0.02272810524758431,-0.00817161459785809,-0.00782032046744727
15,-2.2548947351773583,-2.2749998784259073,179.99589761254077,0.03288325418952868,0.021297130877863654,-0.007185671798851042,-0.006865910700535941
16,-2.4259253832555316,-2.4191920011049772,190.00618151016886,0.031026461623595427,0.020337860285735025,-0.00650598803390022,-0.006202588321632372
17,-2.6044641268987103,-2.5921089331431864,199.99401453701256,0.029304314362198904,0.019283495461208725,-0.005912708539231662,-0.005614103773621173
18,-2.762211142925902,-2.7484600251942046,209.99618971527582,0.027836812855982582,0.018329140427466896,-0.00536085693376908,-0.005105332087226574
