,dA_vec,error_A1,error_A2
0,-2.5,0.05334323,0.02596313
1,-2.4,0.04942196,0.02412264
2,-2.3,0.04563507,0.0223413
3,-2.2,0.04198404,0.02061997
4,-2.1,0.03847228,0.01896019
5,-2.0,0.03510181,0.01736343
6,-1.9,0.03187476,0.0158312
7,-1.8,0.02879417,0.01436409
8,-1.7,0.02586335,0.01296857
9,-1.6,0.02308225,0.01163724
10,-1.5,0.02045394,0.01037532
11,-1.4,0.01798113,0.00918467
12,-1.3,0.01566555,0.00806612
13,-1.2,0.0135091,0.00702151
14,-1.1,0.01151438,0.00605178
15,-1.0,0.00968241,0.00515836
16,-0.9,0.00801576,0.00434358
17,-0.8,0.00651581,0.00360663
18,-0.7,0.00518423,0.00294984
19,-0.6,0.00402288,0.00237432
20,-0.5,0.00303281,0.00188167
21,-0.4,0.00221569,0.00147293
22,-0.3,0.00157289,0.00114938
23,-0.2,0.00110558,0.00091227
24,-0.1,0.00081484,0.00076274
25,0.0,0.00070185,0.00070185
26,0.1,0.00076745,0.00073092
27,0.2,0.00101254,0.00085108
28,0.3,0.00143781,0.0010634
29,0.4,0.00204413,0.00136897
30,0.5,0.00283187,0.00176882
31,0.6,0.00380159,0.0022646
32,0.7,0.00495338,0.00285664
33,0.8,0.00628784,0.0035461
34,0.9,0.00780482,0.00433407
35,1.0,0.0095047,0.00522144
36,1.1,0.01138685,0.00620928
37,1.2,0.01345147,0.00729889
38,1.3,0.01569825,0.00849036
39,1.4,0.0181263,0.00978509
40,1.5,0.02073582,0.01118366
41,1.6,0.02352539,0.01269277
42,1.7,0.0264946,0.01430234
43,1.8,0.02964233,0.01601831
44,1.9,0.03296778,0.01783406
45,2.0,0.0364697,0.01976444
46,2.1,0.04014663,0.0218031
47,2.2,0.04399769,0.02395046
48,2.3,0.04802086,0.02620721
