,d_wd_vec,error_wd1,error_wd2
0,-2.5,0.00805266,0.05356216
1,-2.4,0.00749923,0.04964721
2,-2.3,0.00696678,0.04586617
3,-2.2,0.00644884,0.04221396
4,-2.1,0.00595402,0.03870384
5,-2.0,0.00547796,0.03532513
6,-1.9,0.00502409,0.03209602
7,-1.8,0.00458907,0.02901149
8,-1.7,0.0041769,0.02606909
9,-1.6,0.00378549,0.02328005
10,-1.5,0.00341368,0.02063661
11,-1.4,0.00306594,0.01814982
12,-1.3,0.00273995,0.01582339
13,-1.2,0.00243841,0.01365186
14,-1.1,0.00215836,0.01164346
15,-1.0,0.00190241,0.00979641
16,-0.9,0.00166957,0.0081138
17,-0.8,0.00146132,0.00660024
18,-0.7,0.0012777,0.00525219
19,-0.6,0.00111956,0.00407813
20,-0.5,0.00098576,0.00307567
21,-0.4,0.00087726,0.00224633
22,-0.3,0.00079437,0.00159301
23,-0.2,0.00073709,0.0011171
24,-0.1,0.00070631,0.00081949
25,0.0,0.00070185,0.00070185
26,0.1,0.00072382,0.00076495
27,0.2,0.00077249,0.00101022
28,0.3,0.00084877,0.00143863
29,0.4,0.00095123,0.00205137
30,0.5,0.00108119,0.00284808
31,0.6,0.00123786,0.00383215
32,0.7,0.00142236,0.0050018
33,0.8,0.00163424,0.00635808
34,0.9,0.00187383,0.00790092
35,1.0,0.00214002,0.00962629
36,1.1,0.00243423,0.01154443
37,1.2,0.00275585,0.01364883
38,1.3,0.00310398,0.01594128
39,1.4,0.00348129,0.01842188
40,1.5,0.00388409,0.02108507
41,1.6,0.00431443,0.02393946
42,1.7,0.00476998,0.02697978
43,1.8,0.00525512,0.03020396
44,1.9,0.00576705,0.03361067
45,2.0,0.00630258,0.0371984
46,2.1,0.00686621,0.04096631
47,2.2,0.00745542,0.04491461
48,2.3,0.00806816,0.04904958
