tg,drive_amp,detune,f_300_200,f_300_700
20.077003,0.049113,0.00011,-0.43929229,-0.42841825
26.043284,0.044546,0.032433,-0.54501571,-0.57263457
31.931254,0.038839,0.037395,-0.58895031,-0.59462197
38.082317,0.043656,0.014642,-0.64975736,-0.60612117
44.061218,0.0391,0.020994,-0.89433227,-0.8587039
50.083415,0.035395,0.024399,-1.11830222,-1.09244228
56.025239,0.031727,0.025264,-1.31676787,-1.28004497
62.092027,0.028435,0.025226,-1.48299855,-1.44955409
68.042765,0.02533,0.024476,-1.60357868,-1.60166949
73.993407,0.022834,0.024192,-1.74380831,-1.73655732
79.985745,0.020643,0.023689,-1.82317731,-1.81802005
85.968536,0.018912,0.022833,-1.84626114,-1.84389851
92.003021,0.017622,0.021316,-1.92762445,-1.92673606
98.095432,0.016297,0.020245,-2.16060761,-2.1615445
104.099756,0.015088,0.019902,-2.50442029,-2.50905804
110.068882,0.01403,0.019472,-2.91177934,-2.92229996
116.094656,0.013127,0.019016,-3.04429782,-3.05043768
121.906996,0.012354,0.018463,-2.93447521,-2.93169717
128.094457,0.011632,0.017698,-2.9769835,-2.96968149
134.008265,0.011022,0.017122,-3.17774585,-3.16243191
140.00363,0.010473,0.016575,-3.31339762,-3.29569068
146.000607,0.009966,0.015979,-3.32629359,-3.31340883
152.007024,0.009505,0.015423,-3.44075475,-3.43029582
158.00117,0.009087,0.014882,-3.6950256,-3.68436075
164.004109,0.008707,0.0144,-3.90026954,-3.88909576
170.00114,0.008357,0.013921,-4.02844028,-4.01423444
176.009278,0.008039,0.013488,-4.26428465,-4.23930147
182.001711,0.007738,0.013062,-4.37290454,-4.33141991
188.000168,0.007462,0.012678,-4.21819015,-4.18240194
194.00424,0.007205,0.01229,-4.08031298,-4.07334311
200.006185,0.006965,0.011948,-3.91857668,-3.91346132
