tg,drive_amp,detune,f_200_select,f_1000_False,f_truc55_ideal,f_truc55_170us,f_truc55_30us,f_truc55_3us
20.032421,0.045974,0.029778,-0.76245945,-0.75476894,-0.68353533,-0.6833774,-0.68314548,-0.68084056
26.095773,0.03827,0.034993,-0.37525298,-0.36035804,-0.34125657,-0.34127759,-0.34116252,-0.33982723
32.034226,0.037135,0.016167,-0.41121276,-0.40469097,-0.40675598,-0.40670604,-0.40652297,-0.40448073
38.046441,0.035323,0.021612,-0.63560777,-0.56692223,-0.59883559,-0.59860058,-0.59822651,-0.59405037
44.031495,0.031706,0.024911,-1.04771138,-0.96129505,-1.01265097,-1.01226914,-1.01110022,-0.99789514
50.066456,0.027173,0.026765,-1.19196886,-1.15971719,-1.16907875,-1.16918318,-1.16744777,-1.14839592
56.077009,0.022808,0.026791,-1.03901008,-1.03715877,-1.0196655,-1.01983804,-1.01864572,-1.00563781
62.054606,0.02093,0.017519,-1.04263102,-1.05296502,-1.0541898,-1.05436901,-1.05285794,-1.03641974
68.037311,0.018268,0.01604,-1.19740199,-1.20305377,-1.20500978,-1.20528484,-1.20290963,-1.17752383
74.049203,0.016254,0.014905,-1.32241733,-1.32246494,-1.32455384,-1.32491647,-1.32154718,-1.28612319
80.069609,0.021699,0.026059,-1.62299106,-1.61141391,-1.65278366,-1.64859555,-1.63907376,-1.54674489
86.106856,0.019481,0.02577,-2.23547548,-2.21788608,-2.2778143,-2.26298383,-2.22584753,-1.94789079
91.950393,0.01767,0.02547,-2.85663541,-2.87537611,-2.94062418,-2.8892864,-2.75460551,-2.16120076
97.920015,0.016221,0.0249,-2.3778355,-2.40834762,-2.40315738,-2.39064559,-2.34480924,-2.02269741
104.067706,0.014971,0.022579,-2.13385265,-2.16201626,-2.18141001,-2.17202251,-2.14231406,-1.90572615
110.011766,0.014013,0.021038,-2.37358653,-2.38701254,-2.45116251,-2.43166511,-2.37653541,-2.01407813
116.077689,0.013154,0.020213,-2.83912897,-2.83246852,-2.9428149,-2.88397778,-2.74072707,-2.12990286
121.908197,0.012432,0.019475,-3.03416088,-3.01443021,-3.11621851,-3.03847768,-2.84234521,-2.14582291
127.98519,0.011742,0.018634,-2.95248148,-2.94409898,-2.98523823,-2.92552015,-2.76320537,-2.11924113
134.043513,0.011113,0.017721,-3.07601804,-3.06735442,-3.12026717,-3.03664572,-2.83005178,-2.12012546
140.02276,0.010556,0.017,-3.25952568,-3.25427587,-3.32352219,-3.19619888,-2.91529435,-2.12374602
146.02291,0.010066,0.016405,-3.28083765,-3.27079149,-3.32732425,-3.19898209,-2.9107925,-2.11291936
151.988898,0.009603,0.015713,-3.34489316,-3.32728986,-3.38020187,-3.23174844,-2.91900961,-2.10077456
158.038459,0.009186,0.015116,-3.58166406,-3.55069415,-3.61113041,-3.37524209,-2.97396132,-2.09603045
164.015275,0.008802,0.014578,-3.80958047,-3.76430758,-3.81762752,-3.47840926,-3.00249664,-2.08744899
170.005964,0.008453,0.014067,-3.9362217,-3.87857261,-3.92939783,-3.51510295,-3.00453185,-2.07539049
176.001029,0.008127,0.01359,-4.17087821,-4.11260292,-4.15723917,-3.57894739,-3.01299545,-2.064198
182.00291,0.007825,0.013145,-4.40373275,-4.35360198,-4.37570773,-3.61610324,-3.01243948,-2.05219123
188.007783,0.007544,0.012719,-4.28871803,-4.25902823,-4.27838382,-3.58480594,-2.99420581,-2.03822716
193.995576,0.007283,0.012342,-4.13613134,-4.12609558,-4.11258268,-3.53946891,-2.97287236,-2.02484986
199.99317,0.007039,0.011975,-3.95463104,-3.94867544,-3.93696774,-3.4773306,-2.94607236,-2.01069381
