tg,drive_amp,detune,f_50,f_60,f_70,f_80,f_90,f_100,f_110,f_120,f_130,f_140,f_150,f_160,f_170,f_180,f_190,f_200,f_300,f_400,f_500,f_600,f_700,f_800,f_900
20.03960000,0.04298600,0.02499900,-0.21059780,-0.36874608,-0.39046699,-0.40538691,-0.31452540,-0.53616240,-0.58140473,-0.55599751,-0.54696195,-0.53927112,-0.53811773,-0.49181248,-0.53832397,-0.58474231,-0.57978107,-0.57869856,-0.61368203,-0.61544806,-0.61470161,-0.61464023,-0.61469304,-0.61478200,-0.61473406
26.09388800,0.01471100,0.00577400,-0.30822165,-0.31298903,-0.31316755,-0.31242697,-0.31034684,-0.31147126,-0.31152176,-0.31155426,-0.31153257,-0.31158895,-0.31158366,-0.31157757,-0.31179043,-0.31183042,-0.31183391,-0.31183365,-0.31183478,-0.31183723,-0.31183802,-0.31183887,-0.31183826,-0.31183146,-0.31183054
32.05107500,0.03825100,0.01353700,-0.40813483,-0.42261634,-0.44645345,-0.43404144,-0.40946318,-0.40943523,-0.40999289,-0.41795366,-0.42357210,-0.40832149,-0.40614077,-0.39564452,-0.39159842,-0.38118482,-0.36668553,-0.36858025,-0.39044688,-0.39099275,-0.38977200,-0.38978319,-0.38961806,-0.38962934,-0.38948654
38.05172800,0.04232300,0.01751300,-0.43764510,-0.76845000,-0.70636460,-0.77275891,-0.68310877,-0.50610323,-0.48310858,-0.51795100,-0.52619117,-0.54599580,-0.54894046,-0.68388370,-0.59123825,-0.51310069,-0.55277494,-0.54081560,-0.44622710,-0.43786222,-0.43286119,-0.43119708,-0.43148403,-0.43161964,-0.43161802
44.04555200,0.03245600,0.02494900,-0.72483262,-1.13856539,-1.15344737,-1.08253751,-0.96358264,-1.06175146,-1.10474965,-1.11314269,-1.13889175,-1.04342535,-1.03716926,-1.05804302,-1.06869012,-1.06632369,-1.08936594,-1.08117868,-1.01602326,-1.01602357,-1.00770230,-1.00666193,-1.00696380,-1.00682880,-1.00760319
50.06122600,0.02730000,0.02737600,-0.80268978,-1.12772269,-1.15167375,-1.14146630,-1.03934572,-1.13224878,-1.16321133,-1.16102220,-1.16455117,-1.11725600,-1.11403641,-1.10840632,-1.12940280,-1.13486150,-1.13973318,-1.14273116,-1.14452192,-1.14534500,-1.14149463,-1.14118759,-1.14105274,-1.14101256,-1.14115477
56.06946500,0.02263200,0.02611900,-0.81129660,-0.99288234,-1.00341667,-1.00383501,-0.95877973,-0.99324714,-1.00364934,-1.00306000,-1.00305458,-0.99912003,-0.99861089,-0.99534218,-1.00339637,-1.00430036,-1.00254945,-1.00308178,-1.00867954,-1.00824575,-1.00819751,-1.00820855,-1.00819274,-1.00819628,-1.00821119
62.05419000,0.02111800,0.01686400,-0.90932622,-1.04163816,-1.05440090,-1.04764551,-1.01320591,-1.03487457,-1.03983852,-1.04019021,-1.04018198,-1.03833154,-1.03740197,-1.02225304,-1.02636763,-1.02872448,-1.03069890,-1.03069604,-1.03720349,-1.03864916,-1.03886164,-1.03863761,-1.03881051,-1.03882557,-1.03874871
68.03492400,0.01863700,0.01608300,-1.06406822,-1.19719575,-1.20910028,-1.20227340,-1.16853040,-1.18950370,-1.19362304,-1.19410338,-1.19409378,-1.19237559,-1.19261783,-1.18770320,-1.19100097,-1.19092980,-1.19196529,-1.19226352,-1.19214802,-1.19182097,-1.19179933,-1.19189681,-1.19191999,-1.19191923,-1.19191039
74.04757400,0.01661400,0.01524300,-1.19277586,-1.32228756,-1.33277623,-1.32675186,-1.29612844,-1.31470993,-1.31808583,-1.31864883,-1.31861101,-1.31760924,-1.31830022,-1.31744778,-1.32004467,-1.31998364,-1.32028752,-1.32044211,-1.31892423,-1.31847673,-1.31846093,-1.31848445,-1.31849109,-1.31848566,-1.31847758
80.07777900,0.02221100,0.02587500,-1.87386689,-1.67704299,-1.65144806,-1.64313727,-1.74518121,-1.67606330,-1.65095897,-1.65277640,-1.65192796,-1.65980169,-1.65878579,-1.65952946,-1.64235815,-1.63372501,-1.62357683,-1.62309273,-1.63413369,-1.63257842,-1.63160851,-1.63165777,-1.63145015,-1.63139192,-1.63144235
86.10584100,0.01979600,0.02554100,-2.21183274,-2.29915221,-2.26445005,-2.25690691,-2.36798170,-2.28225272,-2.25727042,-2.25930649,-2.25867199,-2.26209522,-2.25130595,-2.19204584,-2.18206060,-2.16067055,-2.13127614,-2.13110617,-2.23898612,-2.23638929,-2.23707413,-2.23619925,-2.23614982,-2.23606827,-2.23620018
91.94830100,0.01791300,0.02519000,-2.20788820,-3.06910213,-3.05960228,-3.05249609,-2.98349283,-2.92870237,-2.93471718,-2.94068041,-2.94097401,-2.93440534,-2.89077075,-2.55389173,-2.56004048,-2.59190806,-2.56934782,-2.56922559,-2.88153399,-2.87545099,-2.89245568,-2.89116684,-2.89204833,-2.89222803,-2.89260051
97.91104300,0.01637900,0.02454800,-2.00630764,-2.44864879,-2.46454232,-2.46400861,-2.39993941,-2.41671052,-2.42808814,-2.42965952,-2.42976095,-2.42803493,-2.41676526,-2.28624593,-2.29083081,-2.31255657,-2.31836979,-2.31802376,-2.37083949,-2.37114019,-2.37600737,-2.37611468,-2.37640269,-2.37627035,-2.37643447
104.06357900,0.01508700,0.02258900,-1.97832982,-2.14425220,-2.14652061,-2.14741800,-2.13485976,-2.13628952,-2.13840390,-2.13882437,-2.13886853,-2.13778406,-2.13563587,-2.10377951,-2.10420074,-2.10260987,-2.10671297,-2.10624342,-2.09805459,-2.09867313,-2.09863771,-2.09858945,-2.09855001,-2.09846715,-2.09866488
110.01157200,0.01414600,0.02077900,-2.28974270,-2.35454827,-2.34837348,-2.35112420,-2.36183883,-2.34602103,-2.34435251,-2.34449687,-2.34466425,-2.34222055,-2.34622519,-2.33399269,-2.33267276,-2.32570824,-2.32767596,-2.32821763,-2.31903081,-2.31925452,-2.31851457,-2.31832416,-2.31840062,-2.31837914,-2.31829640
