tg,f_ideal,f_170us,f_30us,f_3us
0,-0.36874608,-0.36874161,-0.36876729,-0.36889588
6,-0.31298903,-0.31297794,-0.31293924,-0.31252573
12,-0.42261634,-0.42255821,-0.42237084,-0.42032662
18,-0.76845001,-0.76825382,-0.76752748,-0.75964416
24,-1.13856539,-1.13810802,-1.13648845,-1.11887712
30,-1.12772268,-1.12724020,-1.12575327,-1.10983199
36,-0.99288233,-0.99255876,-0.99160151,-0.98129902
42,-1.04163815,-1.04131523,-1.04012294,-1.02719567
48,-1.19719575,-1.19668815,-1.19481879,-1.17476522
54,-1.32228755,-1.32155787,-1.31887828,-1.29060521
60,-1.67704300,-1.67414607,-1.66499407,-1.57689396
66,-2.29915223,-2.28744808,-2.25306432,-1.99255334
72,-3.06910213,-3.00592657,-2.85824447,-2.24358630
78,-2.44864877,-2.43304827,-2.39070371,-2.08817085
84,-2.14425220,-2.13654668,-2.11437680,-1.92708902
90,-2.35454828,-2.34193337,-2.30501962,-2.03056436
96,-2.85784036,-2.81847957,-2.71519935,-2.19823364
102,-3.17110381,-3.09286131,-2.91400653,-2.24680361
108,-2.99764100,-2.99071404,-2.80673341,-2.21549248
114,-3.05399916,-3.05399916,-2.83667618,-2.21194909
120,-3.27984115,-3.22222779,-2.95266526,-2.22671711
126,-3.34268562,-3.32309855,-2.97398525,-2.22050240
132,-3.32580014,-3.20675351,-2.95927028,-2.20733275
138,-3.49197201,-3.32309855,-3.01347942,-2.20432891
144,-3.72260977,-3.46012140,-3.06683490,-2.20065544
150,-3.83007849,-3.50939352,-3.07708265,-2.19034525
156,-3.97350690,-3.56469358,-3.08687402,-2.17943652
162,-4.26339398,-3.64702316,-3.10204416,-2.16903589
168,-4.39744373,-3.66618797,-3.09713966,-2.15675331
174,-4.33251505,-3.64415276,-3.08123326,-2.14364330
