tg,drive_amp,detune,f_300_700,f_300_2000,f_300_2000_false
20.074749,0.049008,1.1e-05,-0.4280784,-0.42893483,-0.42872975
26.083127,0.044488,0.033817,-0.572166,-0.57238939,-0.57240043
31.988187,0.038557,0.03688,-0.59338108,-0.59348963,-0.59349468
38.08762,0.043815,0.014971,-0.61054035,-0.61075663,-0.61045611
44.058392,0.039347,0.021531,-0.86653071,-0.86749003,-0.86629372
50.086935,0.035468,0.024552,-1.09508754,-1.0951966,-1.09486755
56.087064,0.031878,0.025465,-1.28236824,-1.28205622,-1.28247858
62.091833,0.028341,0.025121,-1.45075325,-1.44924584,-1.45090572
68.078194,0.025376,0.024406,-1.60205326,-1.60049251,-1.60236619
74.046222,0.022784,0.024136,-1.73769685,-1.73521117,-1.73917639
80.062878,0.020661,0.02372,-1.81825324,-1.81408077,-1.81977546
86.032572,0.01887,0.022833,-1.84450522,-1.84017027,-1.84443074
91.997815,0.01759,0.021148,-1.92833373,-1.92738397,-1.92853908
98.047029,0.01631,0.020306,-2.15941042,-2.16089188,-2.15975571
104.064603,0.015151,0.019858,-2.50597516,-2.50848461,-2.50588899
110.088003,0.014043,0.01951,-2.9256672,-2.92087178,-2.9242102
115.947545,0.013158,0.019046,-3.05261438,-3.04005856,-3.05029627
121.933936,0.012362,0.018463,-2.93128352,-2.92319955,-2.90596526
128.082335,0.011627,0.017739,-2.96978432,-2.96188421,-2.94724838
134.094898,0.011022,0.017123,-3.16450466,-3.15308962,-3.16415905
140.010415,0.010465,0.016564,-3.29611513,-3.27821388,-3.2505531
145.916957,0.011962,0.023325,-3.16195422,-3.15505182,-3.14593119
152.086256,0.011331,0.022463,-3.37191171,-3.35720077,-3.36760925
158.066044,0.010812,0.021741,-3.54284157,-3.52076244,-3.49655615
164.020744,0.008711,0.014405,-3.8895824,-3.85647864,-3.79406668
170.017014,0.009888,0.020286,-3.77037413,-3.74463405,-3.7040743
176.059985,0.00949,0.019644,-3.76755085,-3.74117252,-3.75986351
181.973222,0.00774,0.013066,-4.33441992,-4.29054575,-4.16354943
188.079439,0.00878,0.018384,-3.80894315,-3.78670098,-3.74829918
193.944023,0.008486,0.017912,-3.87156093,-3.84129461,-3.78703897
199.946739,0.008195,0.017389,-3.7668866,-3.74219847,-3.68876333
