tg,drive_amp,detune
20.042209,0.049978,0.039991
26.099981,0.026182,0.019529
32.057496,0.047462,0.021916
38.059233,0.041072,0.025351
44.046786,0.033734,0.028972
50.067794,0.036383,0.039999
56.065043,0.028997,0.039984
62.061713,0.02096,0.017575
68.034924,0.018637,0.016083
74.044345,0.016515,0.015571
80.08052,0.022351,0.025764
86.104958,0.019856,0.025527
91.947295,0.017908,0.025175
97.915742,0.016361,0.024639
104.063579,0.015087,0.022589
110.015207,0.014187,0.020769
116.085225,0.013312,0.020023
121.899104,0.012552,0.019398
127.98677,0.011843,0.018552
134.046451,0.011217,0.01769
140.026912,0.010657,0.016972
146.029202,0.01015,0.016335
151.996899,0.009688,0.01572
158.047613,0.009264,0.015093
164.005505,0.008876,0.014574
170.007553,0.00852250264,0.0140600433
175.998732,0.00818837317,0.0135697912
182.014628,0.00788503432,0.0131204538
188.022359,0.00759988371,0.0127024136
193.980284,0.00733877891,0.0123188142
