


tg,drive_amp,detune,f_200,f_1000
20.029006,0.047141,0.049998,-0.81942117,-0.50294253
21.052755,0.047141,0.049998,-0.8042297,-0.46604502
22.035789,0.047141,0.049998,-0.76794944,-0.42898715
23.088843,0.047141,0.049998,-0.72339089,-0.39347663
24.096753,0.04784,0.049998,-0.68233052,-0.36570294
25.079326,0.048608,0.049988,-0.63976179,-0.34805369
26.086174,0.04949,0.049999,-0.59616877,-0.33766377
27.082306,0.049779,0.049999,-0.55593875,-0.32748541
28.079425,0.049779,0.049999,-0.51516156,-0.31100661
29.094644,0.04949,0.049999,-0.46798002,-0.28434684
30.067887,0.049958,0.0,-0.46218737,-0.16552024
31.097385,0.048668,0.0,-0.51032727,-0.18206738
32.038609,0.048034,3e-06,-0.54876063,-0.19338007
33.101694,0.046667,1.1e-05,-0.5813373,-0.22160147
34.100701,0.045953,1.2e-05,-0.60152443,-0.23737176
35.07194,0.049052,0.015254,-0.63892431,-0.22494566
36.04127,0.047715,0.015253,-0.69937871,-0.25581308
36.928912,0.046341,0.015456,-0.74682415,-0.29624923
38.054831,0.041923,0.017802,-0.79914384,-0.45823783
39.026495,0.039384,0.01925,-0.84632854,-0.57929955
40.039173,0.037402,0.021097,-0.8965448,-0.69318237
41.097986,0.035992,0.022161,-0.94951948,-0.7859276
42.038934,0.034732,0.023208,-0.99595105,-0.86790344
43.072046,0.033483,0.023968,-1.04417028,-0.94824439
44.038862,0.032419,0.024751,-1.08447112,-1.01511002
45.057796,0.031404,0.025558,-1.11950082,-1.0722775
46.041222,0.030607,0.026208,-1.14322283,-1.11208935
47.045337,0.029834,0.026176,-1.1544366,-1.13768685
48.025366,0.029016,0.0268,-1.15667152,-1.14927409
49.08298,0.028029,0.02734,-1.14874748,-1.14406243
