tg,drive_amp,detune,f_200
20.03724,0.078654,-0.079759,-0.40255205
21.046446,0.075151,-0.083218,-0.44610764
22.041681,0.071895,-0.084778,-0.49651979
23.097382,0.068162,-0.084361,-0.5351758
24.097707,0.064557,-0.08297,-0.56795055
25.076018,0.061314,-0.082221,-0.60437459
26.088301,0.05834,-0.081085,-0.63153562
27.095533,0.055772,-0.080061,-0.62960304
28.075484,0.053392,-0.078801,-0.59782328
29.096412,0.018907,-0.079198,-0.55017256
30.065656,0.018508,-0.078375,-0.57259661
31.096952,0.018287,-0.078655,-0.59422751
32.039003,0.017912,-0.078169,-0.6126345
33.090841,0.01768,-0.07852,-0.6327835
34.093869,0.017508,-0.078234,-0.65315355
35.06102,0.017334,-0.07809,-0.67419717
36.038188,0.017241,-0.078488,-0.6976987
36.932729,0.017237,-0.079259,-0.72063159
38.040673,0.048046,-0.062861,-0.69537046
39.034216,0.016867,-0.078606,-0.77960182
40.038999,0.016923,-0.079451,-0.80771513
41.095893,0.016764,-0.079665,-0.83546834
42.027405,0.016575,-0.079636,-0.85737241
43.079911,0.016266,-0.0787,-0.87842636
44.032301,0.016101,-0.078268,-0.89321285
45.058046,0.015936,-0.07805,-0.90500006
46.046686,0.015764,-0.077864,-0.91310868
47.036818,0.015538,-0.076782,-0.91920423
48.03035,0.015276,-0.075694,-0.92629632
49.092376,0.015018,-0.074404,-0.93706315
50.06287,0.014858,-0.073971,-0.94992065
50.935803,0.014609,-0.072413,-0.96497834
52.096629,0.014445,-0.071433,-0.98640201
53.088309,0.014282,-0.071438,-1.00618864
54.090071,0.014233,-0.071116,-1.02714608
55.027563,0.014091,-0.070911,-1.04659835
56.077587,0.013955,-0.070236,-1.06792867
57.034327,0.0138,-0.069998,-1.086185
58.045957,0.013672,-0.069536,-1.10403064
59.080097,0.013576,-0.069493,-1.12191173
60.094909,0.013475,-0.06917,-1.13954491
61.047036,0.013334,-0.068851,-1.15711806
62.064096,0.01324,-0.068392,-1.17727305
63.018825,0.013191,-0.068506,-1.19800644
64.024357,0.013071,-0.068049,-1.22035956
65.041821,0.012969,-0.068125,-1.24371748
66.025264,0.012823,-0.067602,-1.26551399
67.038845,0.012768,-0.067496,-1.28819673
68.046051,0.012719,-0.067495,-1.30978366
69.042307,0.012634,-0.067484,-1.33014706
70.052354,0.012537,-0.067202,-1.34987883
71.044099,0.012453,-0.06712,-1.36845882
72.054772,0.012351,-0.06674,-1.3874435
73.042423,0.0123,-0.066601,-1.40679716
74.043025,0.012167,-0.066386,-1.42865885
75.003542,0.012108,-0.066377,-1.45136719
76.057403,0.01205,-0.06619,-1.4785931
77.096594,0.011975,-0.066005,-1.5057557
78.104593,0.011853,-0.065705,-1.53103688
79.09765,0.011844,-0.065873,-1.55653349
80.079255,0.011774,-0.065779,-1.57970267
81.08878,0.011673,-0.065484,-1.60280718
82.097364,0.011625,-0.065411,-1.62506681
83.078097,0.011558,-0.065326,-1.6457968
