tg,drive_amp,detune,f_200,f_1000
20.0396,0.042986,0.024999,-1.56779467,-1.58814701
21.058807,0.042997,0.024972,-1.49598975,-1.51192562
22.046788,0.042942,0.024992,-1.42641178,-1.44028786
23.086027,0.042942,0.024992,-1.35559152,-1.36415633
24.077438,0.026968,0.018682,-1.28746843,-1.2897972
25.070609,0.025027,0.017555,-1.22911672,-1.22831413
26.093888,0.014711,0.005774,-1.16946489,-1.1601878
27.088848,0.014377,0.005434,-1.11382224,-1.0996873
28.068485,0.013799,0.005027,-1.09447095,-1.07599761
29.106397,0.013619,0.005099,-1.08628788,-1.07202947
30.060953,0.013619,0.005099,-1.07775014,-1.06162821
31.094459,0.03961,0.010993,-1.06819199,-1.05293854
32.051075,0.038251,0.013537,-1.05810472,-1.04390246
33.110126,0.038228,0.017434,-1.04704763,-1.03210896
34.092476,0.042971,0.017219,-1.03756863,-1.02325447
35.05881,0.042983,0.017567,-1.02645338,-1.01254801
36.036415,0.042983,0.017567,-1.01589886,-1.00187294
36.925473,0.042993,0.017465,-1.00540034,-0.99432378
38.051728,0.042323,0.017513,-0.9943993,-0.983564
39.030669,0.039506,0.019336,-0.9848229,-0.97791193
40.044918,0.037144,0.021018,-0.97445712,-0.96650948
41.095095,0.035794,0.02236,-0.96712311,-0.96151114
42.026098,0.034773,0.023105,-0.98271171,-0.97628073
43.087738,0.033565,0.024043,-1.00141332,-0.99046615
44.045552,0.032456,0.024949,-1.02326007,-1.01743141
45.061874,0.031564,0.02498,-1.04473135,-1.04068861
46.044288,0.030769,0.02499,-1.06788258,-1.06570233
47.029826,0.029918,0.024977,-1.09185927,-1.08596365
48.006405,0.029027,0.024981,-1.11676199,-1.12046429
49.07183,0.027853,0.02499,-1.13445441,-1.13047219
50.061226,0.0273,0.027376,-1.13452577,-1.13111437
50.937986,0.026648,0.027726,-1.11755215,-1.11993783
52.091384,0.025686,0.027721,-1.09185927,-1.08596365
53.086364,0.025049,0.027659,-1.06788258,-1.06570233
54.091874,0.02418,0.02731,-1.04473135,-1.04068861
55.034951,0.023416,0.026587,-1.02326007,-1.01743141
56.069465,0.022632,0.026119,-1.00141332,-0.99046615
57.035578,0.021965,0.02539,-0.98271171,-0.97628073
58.044191,0.021731,0.023387,-0.96712311,-0.96151114
59.085365,0.021822,0.020069,-0.97445712,-0.96650948
60.099544,0.021799,0.017785,-0.99876082,-0.98967322
61.063681,0.021431,0.017372,-1.02057913,-1.01141225
62.05419,0.021118,0.016864,-1.0444572,-1.03144581
63.017675,0.020658,0.016731,-1.06912037,-1.05485724
64.015513,0.020282,0.016535,-1.09491292,-1.07949431
65.038385,0.019851,0.016526,-1.12169907,-1.10407509
66.018886,0.0194,0.016411,-1.14732241,-1.12870268
67.037836,0.018932,0.016232,-1.17359612,-1.1542447
68.034924,0.018637,0.016083,-1.19919076,-1.17883463
69.036192,0.018285,0.0161,-1.22340407,-1.20186852
70.041281,0.017949,0.015703,-1.24689973,-1.22471327
71.04142,0.017475,0.015447,-1.26860297,-1.24599993
72.044589,0.01714,0.015578,-1.28903673,-1.26276427
73.044942,0.016903,0.015326,-1.3077524,-1.27950187
74.047574,0.016614,0.015243,-1.32438806,-1.29051252
75.008058,0.016202,0.015116,-1.33863128,-1.31104811
