tg,drive_amp,detune,f_200
20.038889,0.046546,0.099987,-1.0031736
21.06029,0.045725,0.099881,-1.05179309
22.046788,0.044781,0.099934,-1.07459902
23.090014,0.045329,0.080106,-1.084089
24.081986,0.044963,0.078017,-1.10740845
25.071977,0.044541,0.076587,-1.10328382
26.087381,0.0438,0.075696,-1.07267743
27.083294,0.043358,0.074745,-1.02337647
28.071431,0.043048,0.073693,-0.96111974
29.106397,0.042434,0.073266,-0.88570813
30.055457,0.042266,0.073187,-0.81446558
31.086764,0.078962,0.091107,-0.91000845
32.042591,0.09333,0.069214,-0.9808784
33.105505,0.091792,0.066081,-1.12122035
34.092377,0.090275,0.06309,-1.15594856
35.05881,0.074662,0.083786,-1.16035349
36.033267,0.073741,0.083667,-1.13757244
36.921568,0.073024,0.082865,-1.08363607
38.048132,0.039159,0.099992,-1.24348592
39.035191,0.038949,0.099997,-1.3183587
40.039522,0.038721,0.09999,-1.3849363
41.09749,0.038374,0.099992,-1.44392102
42.034664,0.03477,0.023055,-0.99580117
43.08375,0.033597,0.02405,-1.04467733
44.039347,0.032457,0.024913,-1.08462355
45.062483,0.031494,0.025513,-1.11993671
46.051223,0.030666,0.026049,-1.1436341
47.039562,0.029645,0.026575,-1.15531963
48.011169,0.037049,0.099941,-1.41908786
49.077318,0.02798,0.027318,-1.14867203
50.071105,0.027333,0.027392,-1.13430486
50.944819,0.036165,0.049931,-1.26420002
52.097914,0.036428,0.099977,-1.44856253
53.091718,0.03514,0.050526,-1.49813669
54.093678,0.0345,0.050824,-1.53179734
55.029341,0.036227,0.099887,-1.51719893
56.073707,0.036011,0.099997,-1.55477195
57.030494,0.032624,0.052296,-1.37553235
58.040789,0.035749,0.099997,-1.60849866
59.081764,0.035759,0.09999,-1.62573261
60.105166,0.035588,0.099996,-1.63795183
61.052354,0.035506,0.099969,-1.64014914
62.046102,0.035412,0.099981,-1.63755399
63.025827,0.020617,0.016805,-1.06935308
64.025165,0.020284,0.016651,-1.09519211
65.038863,0.035071,0.099985,-1.62809536
66.032152,0.019442,0.016426,-1.14763475
67.038538,0.012788,-0.067619,-1.28841948
68.030039,0.012782,-0.067882,-1.30829823
69.04612,0.018133,0.01565,-1.22318469
70.046881,0.017859,0.015781,-1.24730539
71.045176,0.017628,0.015557,-1.26845614
72.046013,0.01233,-0.066785,-1.38706916
73.044719,0.016828,0.015019,-1.30657672
74.048116,0.012213,-0.066522,-1.42913993
75.000203,0.012103,-0.06634,-1.45132467
76.063045,0.024125,0.025925,-1.3549283
77.115068,0.023718,0.026113,-1.4253146
78.105623,0.033845,0.099961,-1.78595259
79.094371,0.022635,0.025894,-1.56840205
80.069161,0.03241,0.074396,-1.87824453
81.089294,0.02179,0.025784,-1.72916331
82.103031,0.0213,0.025657,-1.81811161
83.069728,0.020976,0.025658,-1.91094629
84.096123,0.020569,0.025607,-2.01774778
85.036438,0.020148,0.025575,-2.12536225
86.113746,0.019828,0.02556,-2.25913831
87.013823,0.019456,0.025483,-2.38215357
87.914703,0.01914,0.025431,-2.51397416
88.916175,0.018837,0.025429,-2.6708571
89.918767,0.018506,0.025369,-2.83096465
90.946114,0.018181,0.025234,-2.97491912
91.954087,0.017902,0.025191,-3.05403662
93.001314,0.017619,0.02511,-3.03379809
93.900851,0.017377,0.02504,-2.9484976
94.928093,0.017117,0.02499,-2.81629662
95.913976,0.016875,0.024903,-2.68667231
96.921653,0.016621,0.024754,-2.56719719
97.924358,0.01639,0.024615,-2.46420535
99.038245,0.016162,0.024422,-2.36737945
99.900843,0.01595,0.02413,-2.30360374
100.952671,0.015752,0.024012,-2.23938853
102.050682,0.015479,0.023527,-2.189611
103.078416,0.015238,0.023036,-2.15872855
104.06749,0.015099,0.022578,-2.14803854
105.048358,0.014932,0.022144,-2.15200289
106.078853,0.014788,0.021797,-2.1711177
107.082495,0.014592,0.021466,-2.2027174
108.085486,0.014447,0.021257,-2.24516398
109.08795,0.01431,0.021065,-2.29661064
110.019239,0.014185,0.020842,-2.35164035
111.03148,0.014008,0.020649,-2.41921061
112.107456,0.013826,0.02052,-2.49694869
113.085998,0.013723,0.020426,-2.57665644
114.092198,0.013576,0.020296,-2.66480193
115.061517,0.013438,0.020179,-2.75524557
116.07446,0.013298,0.020027,-2.85255132
117.035911,0.013183,0.019927,-2.9416359
118.097628,0.013051,0.019894,-3.02777478
118.969003,0.012926,0.019723,-3.09306813
119.919454,0.012801,0.019631,-3.14303675
121.011781,0.012666,0.019508,-3.17287173
121.914216,0.012549,0.019394,-3.17562185
122.963662,0.012429,0.019284,-3.15875687
123.924681,0.012318,0.019155,-3.13026216
124.957118,0.012183,0.018972,-3.09261573
125.910637,0.012082,0.018866,-3.05909242
127.015693,0.011954,0.018674,-3.02344925
127.991742,0.011844,0.018618,-3.00235552
129.061123,0.011731,0.018432,-2.9915114
130.090662,0.01162,0.018284,-2.98986876
130.99199,0.011526,0.018137,-2.9954503
132.061557,0.011413,0.018001,-3.00830251
133.043598,0.011308,0.017809,-3.0276983
134.048443,0.011206,0.017697,-3.05405663
134.942757,0.011117,0.017584,-3.08268687
136.09185,0.01101,0.01746,-3.12529529
137.097253,0.010921,0.017324,-3.16765535
138.075076,0.010834,0.017214,-3.20852524
138.969127,0.010751,0.017086,-3.24400258
140.027475,0.010659,0.016998,-3.28051597
141.014706,0.010567,0.016879,-3.30678302
142.023622,0.010486,0.016785,-3.32445603
142.980871,0.010398,0.016685,-3.33681194
