,eta_vec,error_A
0,-0.05,-1.26027469
1,-0.05,-1.27516003
2,-0.05,-1.2906446
3,-0.05,-1.30668878
4,-0.05,-1.32338634
5,-0.05,-1.34067158
6,-0.04,-1.35862627
7,-0.04,-1.37724625
8,-0.04,-1.39651059
9,-0.04,-1.4164938
10,-0.04,-1.43722807
11,-0.04,-1.4586535
12,-0.04,-1.48090306
13,-0.04,-1.50395166
14,-0.04,-1.52779531
15,-0.04,-1.5525483
16,-0.03,-1.57816577
17,-0.03,-1.60474705
18,-0.03,-1.6323396
19,-0.03,-1.66089696
20,-0.03,-1.69061431
21,-0.03,-1.72143752
22,-0.03,-1.75343779
23,-0.03,-1.78667086
24,-0.03,-1.82129861
25,-0.02,-1.85728139
26,-0.02,-1.89481693
27,-0.02,-1.93386684
28,-0.02,-1.97471626
29,-0.02,-2.01736493
30,-0.02,-2.06196748
31,-0.02,-2.10874175
32,-0.02,-2.15781873
33,-0.02,-2.20928685
34,-0.02,-2.26359298
35,-0.02,-2.3208308
36,-0.01,-2.38135514
37,-0.01,-2.44544956
38,-0.01,-2.51346667
39,-0.01,-2.58569171
40,-0.01,-2.66292682
41,-0.01,-2.7451615
42,-0.01,-2.83294156
43,-0.01,-2.9264407
44,-0.01,-3.02538206
45,-0.01,-3.12867621
46,-0.0,-3.23368837
47,-0.0,-3.33426743
48,-0.0,-3.42132763
49,-0.0,-3.4813043
50,0.0,-3.50187805
51,0.0,-3.4798315
52,0.0,-3.42287832
53,0.0,-3.34472603
54,0.0,-3.25727684
55,0.0,-3.16844529
56,0.01,-3.08259889
57,0.01,-3.0016409
58,0.01,-2.92639534
59,0.01,-2.85678868
60,0.01,-2.79240866
61,0.01,-2.73309989
62,0.01,-2.67828538
63,0.01,-2.62757111
64,0.01,-2.58056722
65,0.02,-2.53693063
66,0.02,-2.49641423
67,0.02,-2.45868053
68,0.02,-2.42341798
69,0.02,-2.39051688
70,0.02,-2.35968939
71,0.02,-2.33084825
72,0.02,-2.30381869
73,0.02,-2.27835059
74,0.02,-2.25444812
75,0.02,-2.23197123
76,0.03,-2.21074729
77,0.03,-2.19075445
78,0.03,-2.17185505
79,0.03,-2.15395573
80,0.03,-2.1370316
81,0.03,-2.12091067
82,0.03,-2.10570993
83,0.03,-2.09113064
84,0.03,-2.07728181
85,0.04,-2.06405635
86,0.04,-2.0513932
87,0.04,-2.03921972
88,0.04,-2.02753863
89,0.04,-2.01624847
90,0.04,-2.00534553
91,0.04,-1.99476765
92,0.04,-1.98445297
93,0.04,-1.97440547
94,0.04,-1.96453068
95,0.04,-1.95487134
96,0.05,-1.9452548
97,0.05,-1.93582899
98,0.05,-1.92647412
99,0.05,-1.9170919
100,0.05,-1.90775867
