tg,drive_amp,detune,f_300_200,f_300_700
20.077003,0.049113,0.00011,-0.43929229,-0.42841825
21.069948,0.047362,1.1e-05,-0.46913849,-0.45645305
22.09028,0.045998,0.000194,-0.49313323,-0.47884657
23.08591,0.044516,0.000392,-0.5117828,-0.49611842
23.945418,0.043103,4.2e-05,-0.52365214,-0.50799764
25.085671,0.045301,0.031057,-0.51767303,-0.54818937
26.043284,0.044546,0.032433,-0.54501571,-0.57263457
27.096911,0.043877,0.035483,-0.56942086,-0.59208451
28.095287,0.043007,0.03615,-0.58628311,-0.60507653
29.078664,0.04193,0.036414,-0.5960279,-0.61047527
29.983832,0.041201,0.036927,-0.59874193,-0.6101274
30.909305,0.04029,0.03781,-0.59609545,-0.60486924
31.931254,0.038839,0.037395,-0.58895031,-0.59462197
33.089122,0.032163,9e-06,-0.56983174,-0.57389935
33.977572,0.035746,0.03468,-0.57161496,-0.57472302
34.992939,0.030503,0.001033,-0.58453931,-0.58881904
36.027596,0.029758,0.001468,-0.592952,-0.5972194
37.094302,0.044466,0.013977,-0.60012708,-0.56137206
38.082317,0.043656,0.014642,-0.64975736,-0.60612117
39.088003,0.042841,0.015656,-0.69649535,-0.6513307
40.08035,0.041925,0.017216,-0.73905788,-0.69618225
41.080533,0.041328,0.017614,-0.77909073,-0.73316191
42.091515,0.040509,0.019016,-0.8194049,-0.7776502
43.088243,0.039824,0.020225,-0.85754417,-0.82083075
44.061218,0.0391,0.020994,-0.89433227,-0.8587039
45.023322,0.038565,0.022169,-0.93155997,-0.90313131
46.046768,0.037915,0.022665,-0.97003237,-0.94192891
47.067733,0.037334,0.023637,-1.00849846,-0.98629001
48.084633,0.036899,0.024592,-1.04539513,-1.03128899
49.07282,0.036234,0.024717,-1.082565,-1.06496389
50.083415,0.035395,0.024399,-1.11830222,-1.09244228
51.085636,0.034736,0.024251,-1.15070801,-1.12095883
52.090394,0.034214,0.024751,-1.18671395,-1.15860855
52.950841,0.033717,0.025096,-1.21587954,-1.18816252
54.091047,0.033043,0.025476,-1.25279997,-1.22471749
55.084385,0.032427,0.025168,-1.28632929,-1.25215652
56.025239,0.031727,0.025264,-1.31676787,-1.28004497
57.081302,0.031216,0.02505,-1.3500558,-1.30877371
57.995245,0.030681,0.025342,-1.37780336,-1.33611189
59.064037,0.030002,0.025206,-1.40824132,-1.36581623
60.086299,0.0295,0.025019,-1.43489632,-1.39348809
61.08542,0.029016,0.025307,-1.45987131,-1.4205891
62.092027,0.028435,0.025226,-1.48299855,-1.44955409
63.000738,0.02796,0.025204,-1.50150534,-1.47374272
64.094681,0.027407,0.024974,-1.52176869,-1.50227787
64.932148,0.026942,0.024979,-1.53766532,-1.5237504
66.024741,0.02632,0.024761,-1.55835102,-1.55144134
67.055579,0.0259,0.024745,-1.58054055,-1.57660347
68.042765,0.02533,0.024476,-1.60357868,-1.60166949
69.06369,0.024857,0.024273,-1.62829947,-1.62618935
70.012744,0.024444,0.024393,-1.65370948,-1.65123733
71.043853,0.024062,0.024388,-1.67894955,-1.67589815
71.997819,0.023632,0.024302,-1.7015644,-1.69700528
73.007177,0.023207,0.024185,-1.7236735,-1.71784782
73.993407,0.022834,0.024192,-1.74380831,-1.73655732
75.088305,0.022437,0.023963,-1.7634602,-1.7556485
76.072928,0.022108,0.02398,-1.77965268,-1.77163067
77.066072,0.021613,0.023898,-1.79458867,-1.78731966
78.062407,0.021307,0.02388,-1.80787727,-1.80097492
79.012357,0.020992,0.023714,-1.81671294,-1.81026434
79.985745,0.020643,0.023689,-1.82317731,-1.81802005
81.048331,0.020294,0.023632,-1.8290879,-1.82442048
82.089897,0.019977,0.023571,-1.83326771,-1.82920244
82.972284,0.019794,0.023315,-1.83545426,-1.8316318
84.063361,0.019367,0.023175,-1.83968598,-1.83694488
85.097535,0.01915,0.02292,-1.84274015,-1.8401155
85.968536,0.018912,0.022833,-1.84626114,-1.84389851
87.05771,0.018632,0.022518,-1.85227807,-1.85022328
88.033302,0.018382,0.022321,-1.86000621,-1.85804984
89.001242,0.018202,0.021961,-1.87024571,-1.86843129
89.964172,0.017929,0.021832,-1.88377739,-1.8823205
91.046595,0.017831,0.021227,-1.90464846,-1.9033255
92.003021,0.017622,0.021316,-1.92762445,-1.92673606
93.077685,0.017422,0.020904,-1.96080236,-1.95975004
93.967975,0.017246,0.020772,-1.98993801,-1.98900338
95.099401,0.017041,0.020671,-2.0282686,-2.02758002
96.083042,0.016846,0.020498,-2.06675063,-2.06655226
97.073607,0.016519,0.020368,-2.11409308,-2.11437621
98.095432,0.016297,0.020245,-2.16060761,-2.1615445
99.043837,0.016119,0.020207,-2.20719327,-2.20852199
100.098127,0.015906,0.020092,-2.26189009,-2.26365102
101.093651,0.015745,0.02021,-2.31097622,-2.31332788
102.08518,0.015533,0.02002,-2.37533991,-2.37845838
103.051018,0.015325,0.019903,-2.43703745,-2.44103637
104.099756,0.015088,0.019902,-2.50442029,-2.50905804
105.063899,0.01487,0.01977,-2.56365292,-2.56921428
106.099398,0.01472,0.019769,-2.6396168,-2.64649696
107.068873,0.014574,0.01968,-2.70882167,-2.71665823
108.080528,0.014382,0.019623,-2.78098257,-2.79010142
109.07984,0.014211,0.019548,-2.85008513,-2.85983465
110.068882,0.01403,0.019472,-2.91177934,-2.92229996
111.005311,0.013885,0.019414,-2.96587794,-2.97710463
112.066519,0.013712,0.019407,-3.01117656,-3.0224048
113.088946,0.013566,0.019295,-3.04221408,-3.05356128
113.978534,0.013429,0.019215,-3.0525619,-3.06253749
115.025467,0.01327,0.019145,-3.0528499,-3.06087676
116.094656,0.013127,0.019016,-3.04429782,-3.05043768
117.076773,0.012991,0.018961,-3.03122481,-3.03568884
117.941665,0.012862,0.018856,-3.01317534,-3.01579627
118.924472,0.012737,0.018771,-2.99048576,-2.99117857
119.941812,0.012606,0.018672,-2.96662948,-2.96545145
121.063307,0.012463,0.018533,-2.94553754,-2.94331563
121.906996,0.012354,0.018463,-2.93447521,-2.93169717
123.032121,0.012222,0.018316,-2.92689688,-2.92339559
123.963504,0.012103,0.018212,-2.92610488,-2.92181585
125.080091,0.011972,0.018113,-2.93062199,-2.92566752
126.088864,0.011848,0.017979,-2.94116985,-2.93535641
127.031097,0.011746,0.017797,-2.9546216,-2.9482897
128.094457,0.011632,0.017698,-2.9769835,-2.96968149
129.046564,0.011533,0.017626,-3.00192066,-2.9934944
130.08622,0.011418,0.017519,-3.03388936,-3.02401594
131.005306,0.01132,0.017427,-3.06634755,-3.05514933
132.009612,0.011211,0.017293,-3.10359559,-3.09085993
133.004159,0.011132,0.017222,-3.14137625,-3.12759842
134.008265,0.011022,0.017122,-3.17774585,-3.16243191
135.000526,0.010933,0.017062,-3.20752689,-3.19125927
136.005407,0.010827,0.016919,-3.23812704,-3.22061329
137.003155,0.01072,0.01682,-3.26013094,-3.24252071
138.004766,0.010638,0.016758,-3.28545146,-3.26767324
139.005945,0.010559,0.016673,-3.30313739,-3.2855026
140.00363,0.010473,0.016575,-3.31339762,-3.29569068
141.007326,0.01038,0.016465,-3.31805227,-3.30147262
142.006327,0.010296,0.016362,-3.31753154,-3.30216278
143.004546,0.010211,0.016267,-3.3157977,-3.30130026
144.00789,0.010137,0.016188,-3.31363127,-3.29984352
145.007545,0.010044,0.016099,-3.3182725,-3.30443943
146.000607,0.009966,0.015979,-3.32629359,-3.31340883
147.002089,0.009886,0.015885,-3.33717413,-3.32492423
148.004935,0.00981,0.01579,-3.34924704,-3.33727233
149.009142,0.00973,0.01568,-3.36334064,-3.35208299
150.00708,0.009659,0.015613,-3.38220421,-3.3713308
151.006026,0.009578,0.015533,-3.40594967,-3.39560174
152.007024,0.009505,0.015423,-3.44075475,-3.43029582
153.003752,0.009432,0.015312,-3.47880862,-3.46886851
154.007238,0.009356,0.015227,-3.52064143,-3.5107074
155.003613,0.009295,0.015143,-3.56590227,-3.55572593
156.003677,0.009218,0.01506,-3.60783617,-3.59685674
157.007661,0.009158,0.014971,-3.65328962,-3.64305684
158.00117,0.009087,0.014882,-3.6950256,-3.68436075
159.008118,0.009024,0.014809,-3.7386554,-3.72749269
160.007935,0.008962,0.014726,-3.78170513,-3.77070847
161.007,0.008897,0.014643,-3.82474627,-3.81352143
162.004603,0.008832,0.014556,-3.86116598,-3.84958974
163.009149,0.008773,0.014482,-3.88606014,-3.8747127
164.004109,0.008707,0.0144,-3.90026954,-3.88909576
165.001102,0.008653,0.014325,-3.91115581,-3.90130273
166.003546,0.008588,0.014234,-3.92713786,-3.91830857
167.007032,0.008532,0.014158,-3.94946048,-3.94086885
168.006044,0.008473,0.014077,-3.97629002,-3.96470565
169.003306,0.008412,0.013998,-4.00209499,-3.98771075
170.00114,0.008357,0.013921,-4.02844028,-4.01423444
171.005423,0.008302,0.01385,-4.05470253,-4.03839564
172.001657,0.008249,0.013776,-4.08243192,-4.06746578
173.008947,0.008193,0.013697,-4.11594548,-4.09805209
174.005057,0.008142,0.013627,-4.15729798,-4.13801512
175.00607,0.008089,0.013546,-4.20774551,-4.19243433
176.009278,0.008039,0.013488,-4.26428465,-4.23930147
177.004437,0.007988,0.01341,-4.31506209,-4.29433256
178.002427,0.007934,0.013337,-4.35008726,-4.3180708
179.006055,0.007883,0.013263,-4.36084172,-4.32968485
180.003552,0.007836,0.013199,-4.36282602,-4.3318973
181.005667,0.007789,0.013137,-4.36436026,-4.33096357
182.001711,0.007738,0.013062,-4.37290454,-4.33141991
183.00235,0.007691,0.012996,-4.36943784,-4.32734961
184.00279,0.007645,0.012927,-4.35043748,-4.32196676
185.005963,0.007597,0.012858,-4.32037518,-4.29121947
186.007613,0.007554,0.012789,-4.2790941,-4.21477684
187.001593,0.007505,0.012727,-4.25071283,-4.22422525
188.000168,0.007462,0.012678,-4.21819015,-4.18240194
189.009161,0.007417,0.0126,-4.19624102,-4.17324885
190.008846,0.007374,0.012537,-4.17802749,-4.15930287
191.003395,0.00733,0.01248,-4.16208108,-4.13930726
192.008888,0.007289,0.012418,-4.14069621,-4.12462839
193.005432,0.007243,0.012363,-4.11014599,-4.08706869
194.00424,0.007205,0.01229,-4.08031298,-4.07334311
195.008349,0.007163,0.012235,-4.05372376,-4.04385164
196.008096,0.007122,0.012186,-4.02791568,-4.01647404
197.003784,0.007087,0.012132,-4.00252706,-3.99582458
198.003244,0.007044,0.012066,-3.97926472,-3.91602976
199.001515,0.007005,0.012004,-3.94897693,-3.94379386
200.006185,0.006965,0.011948,-3.91857668,-3.91346132
