tg,drive_amp,detune,f_80_200,f_80_400,f_300_200,f_300_1000,f_300_2000
20.04086,0.020382,0.010145,-0.29230088,-0.29230276,-0.27710127,-0.27717499,-0.27701458
26.098106,0.044966,0.024699,-0.57215871,-0.57320055,-0.49060772,-0.52465468,-0.52451459
32.037041,0.040619,0.029897,-0.85432006,-0.85654204,-0.45389301,-0.46366938,-0.46350302
38.040493,0.033867,0.030922,-0.88074454,-0.87047384,-0.46960491,-0.4705445,-0.47018429
44.027144,0.027548,0.028865,-0.89449123,-0.89463665,-0.55405964,-0.55313201,-0.55265634
50.068813,0.023237,0.027131,-0.88889845,-0.88891454,-0.60497393,-0.60552339,-0.60468784
56.085257,0.034177,0.026727,-1.06905157,-1.06147509,-0.98730489,-0.97892807,-0.97854085
62.044966,0.030106,0.026755,-1.29814113,-1.30574306,-1.21813724,-1.19450136,-1.19353288
68.030227,0.0264,0.026588,-1.5687425,-1.57495351,-1.4336429,-1.42898974,-1.42732913
74.046742,0.023287,0.026334,-1.90612361,-1.90945912,-1.55946338,-1.565246,-1.56231746
80.066409,0.020755,0.026077,-2.39832744,-2.39865863,-1.60125472,-1.60364098,-1.59880269
86.096915,0.0186,0.025627,-3.04035667,-3.03943115,-1.58963872,-1.59149661,-1.58648184
91.94988,0.016916,0.025071,-2.62178592,-2.62446866,-1.55788526,-1.55946073,-1.55508752
97.929516,0.015551,0.023813,-2.21946355,-2.22071334,-1.60579229,-1.60670241,-1.60233665
104.0629,0.014504,0.021787,-2.23025025,-2.2293419,-1.87810399,-1.87158891,-1.87417817
110.007451,0.013628,0.020692,-2.57615829,-2.57301872,-2.16487026,-2.15527602,-2.15902034
116.082672,0.012811,0.020111,-3.07964836,-3.07722373,-2.27573736,-2.26376785,-2.26955981
121.918164,0.012092,0.019372,-3.11444516,-3.1152224,-2.33399615,-2.31468812,-2.32725649
127.983086,0.011416,0.018489,-3.00681737,-3.00521995,-2.4192431,-2.39818536,-2.41195857
134.045327,0.010845,0.017713,-3.16451833,-3.16084528,-2.58256801,-2.55532856,-2.57170353
140.01874,0.010322,0.017078,-3.37187967,-3.36673669,-2.67609077,-2.64555321,-2.66534428
146.026116,0.009837,0.016406,-3.37367852,-3.36918116,-2.7586212,-2.72159697,-2.74834885
151.989666,0.009403,0.015775,-3.4262334,-3.4188592,-2.86411236,-2.82757072,-2.85267309
158.041956,0.009003,0.015175,-3.66232628,-3.6505784,-3.02529809,-2.98329659,-3.01252602
164.008911,0.008636,0.014649,-3.87674635,-3.87205174,-3.12650191,-3.0796153,-3.11514116
170.026627,0.008296,0.01413,-3.95554408,-3.96219458,-3.24317815,-3.18746136,-3.23186077
175.997167,0.00798,0.013643,-4.13370765,-4.15431062,-3.35136831,-3.29095545,-3.34353134
182.000542,0.007692,0.013224,-4.29827901,-4.33603992,-3.40457187,-3.34554759,-3.39900054
187.994814,0.007422,0.012795,-4.20409204,-4.22901014,-3.49290418,-3.431543,-3.48759283
194.002917,0.007169,0.012408,-4.08655039,-4.09578483,-3.51276397,-3.45691172,-3.51298458
200.001076,0.006936,0.012052,-3.94603402,-3.95093419,-3.50958083,-3.45703296,-3.50461004
