tg,fidelity,fidelity_qt,detuning,drive_amp,d_eta
40.0,-1.00097199,-1.08402919,-0.05642664,0.04111006,-0.26256637
42.0,-1.08645348,-1.16391545,-0.04537833,0.03797167,-0.26482257
44.0,-1.11219327,-1.18698909,-0.0361896,0.03517733,-0.26781707
46.0,-1.23018872,-1.31281146,-0.05742458,0.03987174,-0.24193229
48.0,-1.25530517,-1.31661614,-0.11662289,0.0397902,0.24434999
50.0,-1.36654262,-1.45423418,-0.067961,0.04126054,-0.22846377
52.0,-1.53287505,-1.61659574,-0.05819396,0.03877887,-0.22821848
54.0,-1.39215451,-1.48417015,-0.03637373,0.02233995,-0.20002186
56.0,-1.94185339,-2.02660101,-0.10756463,0.03777108,0.21936702
58.0,-2.05089082,-2.12844913,-0.09854999,0.0360314,0.21743345
60.0,-2.13987721,-2.21852107,-0.09253646,0.03439275,0.21820689
62.0,-2.1365644,-2.21823522,-0.08850791,0.03286691,0.22053609
64.0,-2.22670011,-2.28329997,-0.10626203,0.03412353,0.30759385
66.0,-2.34084493,-2.43373886,-0.07550072,0.03311173,0.18692664
68.0,-2.59569107,-2.69305877,-0.06982284,0.031316,0.19147294
70.0,-2.79291156,-2.8897486,-0.06709613,0.02987995,0.19778362
72.0,-3.07884476,-3.17311853,-0.08529499,0.03249916,0.29408931
74.0,-3.15037955,-3.24535702,-0.08237952,0.03118202,0.29672632
76.0,-3.03011737,-3.11957588,-0.07973786,0.02985509,0.29747568
78.0,-3.10619796,-3.19380977,-0.06771445,0.03128147,0.28688309
80.0,-3.22670646,-3.31866407,-0.0664204,0.02996353,0.29105491
82.0,-3.20066866,-3.29049517,-0.06525659,0.02870019,0.29397061
84.0,-3.25243367,-3.33362958,-0.0551443,0.02967146,0.27458005
86.0,-3.36794931,-3.45292953,-0.08926074,0.02793612,0.39773462
88.0,-3.37242535,-3.45341689,-0.05449453,0.02748676,0.28842487
90.0,-3.50187796,-3.56385284,-0.04296367,0.02714746,0.23433735
