tg,fidelity,fidelity_qt,detuning,drive_amp
40.0,-0.81624313,-0.90708451,-0.13489599,0.04179519
41.0,-0.84572947,-0.9402536,-0.15080821,0.0471267
42.0,-0.89257297,-0.98661606,-0.14837965,0.04592909
43.0,-0.93335881,-1.02629027,-0.14568941,0.04481522
44.0,-0.96828567,-1.05802086,-0.14210531,0.04381966
45.0,-1.00340725,-1.08290402,-0.13620055,0.0429696
46.0,-1.05859057,-1.12074818,-0.12818707,0.0422071
47.0,-1.12786647,-1.18794435,-0.12452688,0.04127016
48.0,-1.19868667,-1.25989732,-0.12181585,0.04033307
49.0,-1.26423369,-1.32897404,-0.11989054,0.0394135
50.0,-1.31895017,-1.38684591,-0.11783907,0.03851349
51.0,-1.35787346,-1.42935523,-0.1161118,0.0376486
52.0,-1.37904798,-1.45387441,-0.11447152,0.03680638
53.0,-1.43028496,-1.5001449,-0.12972689,0.04130851
54.0,-1.54877228,-1.62519258,-0.1274025,0.04048934
55.0,-1.66207715,-1.74607996,-0.12535672,0.03968233
56.0,-1.75946055,-1.84931348,-0.12313573,0.03890629
57.0,-1.83008544,-1.9236214,-0.12081737,0.03815091
58.0,-1.87128666,-1.96565962,-0.11792225,0.03741935
59.0,-1.89596204,-1.9889445,-0.11422811,0.0366937
60.0,-1.9239835,-2.01373108,-0.1099518,0.03596692
61.0,-1.96039734,-2.05059973,-0.10693764,0.03523876
62.0,-1.99463569,-2.08592233,-0.10426759,0.03452306
63.0,-2.0172808,-2.1094604,-0.10192249,0.03382364
64.0,-2.02348833,-2.11675684,-0.0999998,0.03313089
65.0,-2.08075279,-2.17091114,-0.10980776,0.03723989
66.0,-2.12366633,-2.20619014,-0.10584115,0.0365202
67.0,-2.16227602,-2.24702106,-0.09970084,0.03572998
68.0,-2.22088845,-2.30716332,-0.09484548,0.03491998
69.0,-2.2726414,-2.35538189,-0.09188272,0.03416363
70.0,-2.30382225,-2.38335,-0.08929142,0.03340983
71.0,-2.31870352,-2.39617793,-0.08700253,0.03267215
