cz_generate_data.py
Start Mountain Time: 2025-01-12 14:45:26.618389-07:00
n_cpu_full= 1 , n_cpu_pool= 100

truc1= 300 , truc_tot= 2000 , charge_pick= False
truc_tot_2= 2000
fidelity (truc=2000) = 
[20.074749, -0.42872975472084685] ,
[26.083127, -0.5724004348908973] ,
[31.988187, -0.5934946755761075] ,
[38.08762, -0.6104561080455945] ,
[44.058392, -0.8662937151201688] ,
[50.086935, -1.0948675522384712] ,
[56.087064, -1.2824785813122694] ,
[62.091833, -1.4509057227125974] ,
[68.078194, -1.60236619301826] ,
[74.046222, -1.7391763869912178] ,
[80.062878, -1.819775463950772] ,
[86.032572, -1.8444307420554884] ,
[91.997815, -1.9285390838150684] ,
[98.047029, -2.15975570668332] ,
[104.064603, -2.5058889945734304] ,
[110.088003, -2.9242102047246115] ,
[115.947545, -3.0502962692093516] ,
[121.933936, -2.9059652566797087] ,
[128.082335, -2.9472483755368692] ,
[134.094898, -3.1641590536453155] ,
[140.010415, -3.2505530997719005] ,
[145.916957, -3.1459311881567418] ,
[152.086256, -3.3676092456519826] ,
[158.066044, -3.4965561512993624] ,
[164.020744, -3.794066684647756] ,
[170.017014, -3.7040743035563732] ,
[176.059985, -3.759863506462054] ,
[181.973222, -4.163549432352804] ,
[188.079439, -3.7482991797165717] ,
[193.944023, -3.7870389663054005] ,
[199.946739, -3.688763328785686] ,
Current Mountain Time: 2025-01-12 14:58:31.695928-07:00
11973.84user 7.04system 13:07.43elapsed 1521%CPU (0avgtext+0avgdata 465036maxresident)k
0inputs+16outputs (0major+721294minor)pagefaults 0swaps
