cz_generate_data.py
Start Mountain Time: 2025-01-05 15:53:33.087792-07:00
n_cpu_full= 1 , n_cpu_pool= 100

truc1= 300 , truc_tot= 2000 , charge_pick= True

truc_tot_2= 1000
fidelity (truc=1000) = 
[20.04086, -0.2771749946520712] ,
[26.098106, -0.5246546829419456] ,
[32.037041, -0.46366938186555884] ,
[38.040493, -0.47054450224037925] ,
[44.027144, -0.553132005697912] ,
[50.068813, -0.6055233898812391] ,
[56.085257, -0.9789280664742752] ,
[62.044966, -1.1945013583929573] ,
[68.030227, -1.4289897354318137] ,
[74.046742, -1.5652460029047837] ,
[80.066409, -1.6036409810426508] ,
[86.096915, -1.5914966094598737] ,
[91.94988, -1.559460726952594] ,
[97.929516, -1.606702409909313] ,
[104.0629, -1.8715889112256188] ,
[110.007451, -2.1552760216885343] ,
[116.082672, -2.2637678467154916] ,
[121.918164, -2.31468812235775] ,
[127.983086, -2.398185363374] ,
[134.045327, -2.555328556631923] ,
[140.01874, -2.645553205005743] ,
[146.026116, -2.721596973307031] ,
[151.989666, -2.827570717326907] ,
[158.041956, -2.9832965904291435] ,
[164.008911, -3.079615297657959] ,
[170.026627, -3.1874613615028693] ,
[175.997167, -3.290955454704024] ,
[182.000542, -3.345547588694084] ,
[187.994814, -3.4315430048843485] ,
[194.002917, -3.456911720922121] ,
[200.001076, -3.4570329647635765] ,
Current Mountain Time: 2025-01-05 16:05:14.367893-07:00
12455.61user 16.91system 11:44.94elapsed 1769%CPU (0avgtext+0avgdata 510116maxresident)k
0inputs+16outputs (0major+796929minor)pagefaults 0swaps
