cz_generate_data.py
Start Mountain Time: 2025-01-05 15:53:19.320406-07:00
n_cpu_full= 1 , n_cpu_pool= 100

truc1= 300 , truc_tot= 2000 , charge_pick= True

truc_tot_2= 200
fidelity (truc=200) = 
[20.04086, -0.27710127020549097] ,
[26.098106, -0.49060771615931975] ,
[32.037041, -0.4538930123082443] ,
[38.040493, -0.46960490979977454] ,
[44.027144, -0.5540596427392919] ,
[50.068813, -0.6049739297837683] ,
[56.085257, -0.9873048935380526] ,
[62.044966, -1.2181372372944104] ,
[68.030227, -1.4336428997795556] ,
[74.046742, -1.5594633770481492] ,
[80.066409, -1.6012547230288685] ,
[86.096915, -1.5896387188875716] ,
[91.94988, -1.5578852569593709] ,
[97.929516, -1.6057922850188824] ,
[104.0629, -1.8781039860391195] ,
[110.007451, -2.1648702590252262] ,
[116.082672, -2.2757373629955513] ,
[121.918164, -2.3339961473867623] ,
[127.983086, -2.419243102839703] ,
[134.045327, -2.5825680072534203] ,
[140.01874, -2.6760907720789024] ,
[146.026116, -2.7586211981957485] ,
[151.989666, -2.864112356207073] ,
[158.041956, -3.025298092218088] ,
[164.008911, -3.1265019145758384] ,
[170.026627, -3.243178145708487] ,
[175.997167, -3.35136830549084] ,
[182.000542, -3.404571866978638] ,
[187.994814, -3.49290418313766] ,
[194.002917, -3.5127639714321006] ,
[200.001076, -3.5095808310740093] ,
Current Mountain Time: 2025-01-05 15:53:42.855445-07:00
329.51user 8.93system 0:27.84elapsed 1215%CPU (0avgtext+0avgdata 483128maxresident)k
0inputs+16outputs (17major+360741minor)pagefaults 0swaps
