tg,drive_amp,detune,f_200,f_400,f_1000
30.046178,0.042991,0.028684,-0.80306303,-0.82832688,-0.82462141
40.03404,0.031557,0.030208,-0.88588795,-0.88151892,-0.88214536
49.930778,0.02319,0.026827,-0.88932768,-0.88934128,-0.88984349
60.09427,0.031266,0.026624,-1.21864468,-1.22504272,-1.22326492
70.093091,0.033509,0.042219,-1.8126809,-1.79726646,-1.80150889
80.075328,0.02074,0.026048,-2.39992148,-2.40027257,-2.39966458
89.953852,0.017468,0.025304,-2.83211088,-2.83332771,-2.83001655
100.072056,0.018498,0.032437,-2.17976806,-2.18123142,-2.18080559
110.091055,0.013611,0.020735,-2.58506798,-2.58172882,-2.58496709
119.963166,0.012325,0.019651,-3.16836743,-3.16868453,-3.16047805
130.071115,0.011199,0.018217,-3.03387246,-3.03164581,-3.0223957
139.944237,0.010328,0.017072,-3.37093906,-3.3663336,-3.34996502
150.039433,0.0112,0.023331,-3.24156274,-3.24087545,-3.23134994
160.088562,0.010401,0.021888,-3.59187635,-3.59103026,-3.57925423
170.032836,0.009701,0.020612,-3.75888323,-3.75374774,-3.72435647
179.965919,0.009105,0.019471,-3.80319809,-3.80032798,-3.77095784
190.008927,0.009523,0.023594,-3.84480374,-3.84688589,-3.80700783
199.917336,0.008111,0.01753,-3.83820395,-3.83667844,-3.8112694
