0,1,2,3,4,5,6,7,8,9
"(0, 0)","(1, 1)","(1, 8)","(8, 1)","(0, 4)","(4, 0)","(1, 26)","(26, 1)","(4, 4)","(1, 33)"
"(0, 1)","(1, 0)","(1, 4)","(4, 1)","(8, 0)","(0, 8)","(1, 12)","(1, 9)","(1, 20)","(8, 4)"
"(1, 0)","(0, 1)","(4, 1)","(1, 4)","(12, 1)","(0, 8)","(24, 1)","(9, 1)","(22, 1)","(4, 8)"
"(0, 2)","(1, 5)","(1, 8)","(1, 1)","(1, 16)","(1, 21)","(8, 5)","(1, 18)","(0, 9)","(4, 2)"
"(0, 3)","(1, 6)","(1, 17)","(1, 19)","(1, 11)","(1, 22)","(8, 6)","(0, 10)","(4, 3)","(26, 6)"
"(2, 0)","(5, 1)","(8, 1)","(15, 1)","(1, 1)","(5, 8)","(20, 1)","(2, 4)","(9, 0)","(5, 26)"
"(3, 0)","(6, 1)","(17, 1)","(6, 8)","(19, 1)","(3, 4)","(10, 0)","(21, 1)","(6, 26)","(10, 4)"
"(0, 4)","(1, 1)","(4, 0)","(1, 8)","(4, 4)","(0, 0)","(1, 5)","(8, 1)","(1, 16)","(1, 26)"
"(4, 0)","(1, 1)","(0, 4)","(4, 4)","(8, 1)","(0, 0)","(1, 8)","(5, 1)","(15, 1)","(12, 0)"
"(4, 0)","(1, 1)","(0, 4)","(4, 4)","(8, 1)","(0, 0)","(1, 8)","(5, 1)","(15, 1)","(0, 9)"
"(0, 5)","(1, 2)","(1, 9)","(1, 4)","(1, 12)","(4, 5)","(1, 13)","(0, 8)","(1, 24)","(0, 16)"
"(0, 6)","(1, 3)","(1, 10)","(4, 6)","(1, 14)","(1, 23)","(1, 7)","(0, 17)","(1, 27)","(8, 3)"
"(2, 1)","(5, 0)","(5, 4)","(9, 1)","(8, 0)","(12, 1)","(4, 1)","(15, 0)","(13, 1)","(15, 4)"
"(3, 1)","(6, 0)","(6, 4)","(10, 1)","(14, 1)","(17, 0)","(17, 4)","(3, 8)","(16, 1)","(6, 12)"
"(5, 0)","(2, 1)","(9, 1)","(5, 4)","(4, 1)","(12, 1)","(13, 1)","(8, 0)","(22, 1)","(1, 2)"
"(6, 0)","(3, 1)","(10, 1)","(6, 4)","(14, 1)","(16, 1)","(23, 1)","(7, 1)","(27, 1)","(38, 1)"
"(1, 2)","(0, 5)","(4, 5)","(0, 8)","(1, 9)","(1, 4)","(1, 12)","(4, 8)","(0, 16)","(4, 1)"
"(1, 3)","(0, 6)","(4, 6)","(1, 10)","(0, 17)","(0, 11)","(1, 14)","(4, 17)","(0, 19)","(12, 6)"
"(0, 7)","(1, 11)","(1, 17)","(1, 6)","(1, 22)","(1, 48)","(1, 37)","(1, 51)","(8, 11)","(0, 15)"
"(7, 0)","(11, 1)","(17, 1)","(6, 1)","(21, 1)","(53, 1)","(11, 8)","(16, 0)","(48, 1)","(7, 4)"
"(0, 8)","(1, 4)","(4, 1)","(1, 12)","(1, 9)","(8, 0)","(1, 2)","(4, 8)","(0, 1)","(1, 20)"
"(2, 2)","(5, 5)","(5, 8)","(5, 1)","(5, 16)","(8, 5)","(15, 5)","(1, 5)","(5, 21)","(20, 5)"
"(3, 2)","(6, 5)","(6, 8)","(6, 1)","(6, 16)","(17, 5)","(6, 21)","(19, 5)","(6, 18)","(3, 9)"
"(2, 3)","(5, 6)","(8, 6)","(5, 17)","(15, 6)","(1, 6)","(5, 19)","(20, 6)","(5, 11)","(5, 22)"
"(3, 3)","(6, 6)","(6, 17)","(17, 6)","(6, 19)","(6, 11)","(19, 6)","(6, 22)","(3, 10)","(10, 3)"
"(8, 0)","(1, 4)","(4, 1)","(0, 8)","(4, 8)","(8, 4)","(12, 1)","(0, 1)","(1, 0)","(9, 1)"
"(8, 0)","(1, 4)","(0, 8)","(4, 1)","(4, 8)","(12, 1)","(0, 1)","(9, 1)","(0, 5)","(0, 16)"
"(4, 1)","(1, 4)","(8, 0)","(0, 8)","(8, 4)","(1, 0)","(4, 8)","(12, 1)","(0, 1)","(9, 1)"
"(0, 9)","(1, 5)","(1, 8)","(4, 2)","(1, 18)","(1, 16)","(4, 9)","(1, 21)","(0, 12)","(0, 2)"
"(0, 10)","(1, 6)","(4, 3)","(1, 17)","(1, 11)","(1, 19)","(4, 10)","(1, 22)","(0, 14)","(0, 3)"
"(0, 11)","(1, 7)","(1, 15)","(1, 10)","(1, 14)","(1, 23)","(1, 40)","(4, 11)","(1, 27)","(1, 3)"
"(2, 4)","(5, 1)","(9, 0)","(5, 8)","(9, 4)","(8, 1)","(12, 0)","(15, 1)","(2, 0)","(5, 5)"
"(3, 4)","(6, 1)","(10, 0)","(6, 8)","(10, 4)","(3, 0)","(17, 1)","(6, 5)","(14, 0)","(6, 16)"
"(9, 0)","(2, 4)","(5, 1)","(8, 1)","(15, 1)","(18, 1)","(9, 4)","(5, 8)","(12, 0)","(2, 0)"
"(10, 0)","(6, 1)","(3, 4)","(17, 1)","(10, 4)","(11, 1)","(19, 1)","(6, 8)","(3, 0)","(14, 0)"
"(1, 5)","(4, 2)","(0, 9)","(0, 12)","(4, 9)","(8, 5)","(0, 2)","(4, 4)","(0, 13)","(4, 12)"
"(1, 6)","(4, 3)","(0, 10)","(4, 10)","(0, 14)","(8, 6)","(0, 3)","(4, 14)","(0, 23)","(0, 15)"
"(5, 1)","(9, 0)","(2, 4)","(12, 0)","(9, 4)","(8, 1)","(2, 0)","(4, 4)","(13, 0)","(12, 4)"
