0,1,2
"(0, 0)","(1, 1)","(1, 8)"
"(0, 1)","(1, 0)","(1, 4)"
"(1, 0)","(0, 1)","(4, 1)"
"(0, 2)","(1, 5)","(1, 8)"
"(0, 3)","(1, 6)","(1, 17)"
"(2, 0)","(5, 1)","(8, 1)"
"(3, 0)","(6, 1)","(17, 1)"
"(0, 4)","(1, 1)","(4, 0)"
"(4, 0)","(1, 1)","(0, 4)"
"(4, 0)","(1, 1)","(0, 4)"
"(0, 5)","(1, 2)","(1, 9)"
"(0, 6)","(1, 3)","(1, 10)"
"(2, 1)","(5, 0)","(5, 4)"
"(3, 1)","(6, 0)","(6, 4)"
"(5, 0)","(2, 1)","(9, 1)"
"(6, 0)","(3, 1)","(10, 1)"
"(1, 2)","(0, 5)","(4, 5)"
"(1, 3)","(0, 6)","(4, 6)"
"(0, 7)","(1, 11)","(1, 17)"
"(7, 0)","(11, 1)","(17, 1)"
"(0, 8)","(1, 4)","(4, 1)"
"(2, 2)","(5, 5)","(5, 8)"
"(3, 2)","(6, 5)","(6, 8)"
"(2, 3)","(5, 6)","(8, 6)"
"(3, 3)","(6, 6)","(6, 17)"
"(8, 0)","(1, 4)","(4, 1)"
"(8, 0)","(1, 4)","(0, 8)"
"(4, 1)","(1, 4)","(8, 0)"
"(0, 9)","(1, 5)","(1, 8)"
"(0, 10)","(1, 6)","(4, 3)"
"(0, 11)","(1, 7)","(1, 15)"
"(2, 4)","(5, 1)","(9, 0)"
"(3, 4)","(6, 1)","(10, 0)"
"(9, 0)","(2, 4)","(5, 1)"
"(10, 0)","(6, 1)","(3, 4)"
"(1, 5)","(4, 2)","(0, 9)"
"(1, 6)","(4, 3)","(0, 10)"
"(5, 1)","(9, 0)","(2, 4)"
"(6, 1)","(10, 0)","(3, 4)"
"(4, 2)","(1, 5)","(0, 9)"
"(4, 3)","(1, 6)","(0, 10)"
"(11, 0)","(7, 1)","(16, 1)"
"(1, 7)","(0, 11)","(4, 11)"
"(0, 12)","(1, 8)","(1, 5)"
"(7, 1)","(11, 0)","(11, 4)"
"(2, 5)","(5, 2)","(5, 9)"
"(3, 5)","(6, 2)","(6, 9)"
"(2, 6)","(5, 3)","(5, 10)"
"(3, 6)","(6, 3)","(6, 10)"
"(1, 8)","(12, 0)","(4, 4)"
"(12, 0)","(1, 8)","(8, 1)"
"(5, 2)","(2, 5)","(9, 5)"
"(5, 3)","(2, 6)","(9, 6)"
"(6, 2)","(3, 5)","(10, 5)"
"(6, 3)","(3, 6)","(10, 6)"
"(0, 13)","(1, 8)","(4, 4)"
"(0, 14)","(1, 11)","(0, 15)"
"(0, 15)","(1, 11)","(1, 17)"
"(0, 16)","(1, 12)","(1, 9)"
"(8, 1)","(4, 4)","(1, 8)"
"(0, 17)","(1, 10)","(1, 15)"
"(2, 7)","(5, 11)","(5, 17)"
"(3, 7)","(6, 11)","(6, 17)"
"(4, 4)","(8, 1)","(13, 0)"
"(13, 0)","(8, 1)","(4, 4)"
"(14, 0)","(19, 1)","(6, 1)"
"(7, 2)","(11, 5)","(17, 5)"
"(7, 3)","(11, 6)","(17, 6)"
"(15, 0)","(9, 1)","(12, 1)"
"(16, 0)","(11, 1)","(17, 1)"
"(17, 0)","(10, 1)","(3, 8)"
"(2, 8)","(5, 4)","(9, 1)"
"(3, 8)","(6, 4)","(17, 0)"
"(1, 9)","(4, 5)","(0, 18)"
"(1, 10)","(4, 6)","(8, 3)"
"(1, 11)","(4, 7)","(0, 15)"
"(9, 1)","(5, 4)","(2, 8)"
"(6, 4)","(10, 1)","(3, 8)"
"(8, 2)","(4, 5)","(1, 9)"
"(8, 3)","(4, 6)","(1, 10)"
"(5, 4)","(9, 1)","(2, 8)"
"(10, 1)","(6, 4)","(3, 8)"
"(4, 5)","(8, 2)","(1, 9)"
"(4, 6)","(8, 3)","(1, 10)"
"(11, 1)","(7, 4)","(16, 0)"
"(0, 18)","(1, 9)","(4, 5)"
"(4, 7)","(1, 11)","(8, 11)"
"(2, 9)","(5, 5)","(5, 8)"
"(7, 4)","(3, 9)","(11, 1)"
"(3, 9)","(7, 4)","(6, 5)"
"(0, 19)","(1, 10)","(1, 14)"
"(2, 10)","(5, 6)","(9, 3)"
"(3, 10)","(6, 6)","(10, 3)"
"(1, 12)","(0, 21)","(4, 8)"
"(2, 11)","(5, 7)","(5, 10)"
"(3, 11)","(6, 7)","(6, 10)"
"(0, 20)","(1, 18)","(1, 16)"
"(0, 22)","(1, 14)","(1, 23)"
"(0, 21)","(18, 0)","(1, 12)"
"(18, 0)","(0, 21)","(1, 12)"
"(0, 23)","(1, 22)","(1, 17)"
"(9, 2)","(5, 5)","(2, 9)"
"(9, 3)","(5, 6)","(2, 10)"
"(10, 2)","(6, 5)","(3, 9)"
"(10, 3)","(6, 6)","(3, 10)"
"(12, 1)","(8, 4)","(4, 8)"
"(5, 5)","(9, 2)","(2, 9)"
"(0, 24)","(1, 21)","(1, 18)"
"(5, 6)","(9, 3)","(2, 10)"
"(6, 5)","(10, 2)","(3, 9)"
"(6, 6)","(10, 3)","(3, 10)"
"(19, 0)","(14, 1)","(10, 1)"
"(4, 8)","(12, 1)","(1, 12)"
"(11, 2)","(7, 5)","(16, 5)"
"(11, 3)","(7, 6)","(16, 6)"
"(1, 13)","(20, 0)","(8, 4)"
"(1, 14)","(0, 22)","(4, 11)"
"(20, 0)","(1, 13)","(4, 8)"
"(21, 0)","(14, 1)","(16, 1)"
"(8, 4)","(4, 8)","(12, 1)"
"(1, 16)","(0, 25)","(4, 9)"
"(22, 0)","(15, 1)","(18, 1)"
"(1, 15)","(4, 11)","(1, 14)"
"(5, 7)","(2, 11)","(9, 11)"
"(6, 7)","(3, 11)","(10, 11)"
"(23, 0)","(17, 1)","(21, 1)"
"(1, 17)","(4, 10)","(0, 27)"
"(2, 12)","(5, 8)","(5, 5)"
"(3, 12)","(6, 8)","(6, 5)"
"(13, 1)","(20, 0)","(8, 4)"
"(7, 5)","(11, 2)","(14, 1)"
"(14, 1)","(21, 0)","(19, 0)"
"(7, 6)","(11, 3)","(11, 10)"
"(24, 0)","(20, 1)","(18, 1)"
"(0, 25)","(1, 16)","(1, 21)"
"(15, 1)","(9, 4)","(5, 8)"
"(0, 26)","(1, 24)","(1, 25)"
"(16, 1)","(11, 4)","(21, 0)"
"(17, 1)","(10, 4)","(6, 8)"
"(7, 7)","(11, 11)","(11, 6)"
"(5, 8)","(9, 4)","(4, 9)"
"(4, 9)","(12, 2)","(8, 5)"
"(6, 8)","(10, 4)","(17, 1)"
"(12, 3)","(8, 6)","(4, 10)"
"(12, 2)","(4, 9)","(1, 18)"
"(4, 10)","(12, 3)","(8, 6)"
"(2, 13)","(9, 4)","(5, 8)"
"(3, 13)","(10, 4)","(6, 8)"
"(2, 14)","(5, 11)","(2, 15)"
"(3, 14)","(6, 11)","(3, 15)"
"(0, 27)","(1, 19)","(1, 17)"
"(4, 11)","(8, 7)","(1, 15)"
"(9, 4)","(5, 8)","(15, 1)"
"(2, 15)","(5, 11)","(5, 17)"
"(3, 15)","(6, 11)","(6, 17)"
"(2, 16)","(5, 12)","(5, 9)"
"(3, 16)","(6, 12)","(6, 9)"
"(10, 4)","(6, 8)","(17, 1)"
"(2, 17)","(5, 10)","(5, 15)"
"(3, 17)","(6, 10)","(6, 15)"
"(8, 5)","(4, 9)","(12, 2)"
"(8, 6)","(4, 10)","(12, 3)"
"(11, 4)","(7, 8)","(16, 1)"
"(25, 0)","(15, 1)","(20, 1)"
"(13, 2)","(8, 5)","(18, 5)"
"(13, 3)","(8, 6)","(4, 10)"
"(14, 2)","(19, 5)","(11, 5)"
"(14, 3)","(19, 6)","(11, 6)"
"(7, 8)","(11, 4)","(16, 1)"
"(26, 0)","(24, 1)","(25, 1)"
"(8, 7)","(4, 11)","(12, 11)"
"(1, 18)","(0, 30)","(4, 9)"
"(15, 2)","(9, 5)","(5, 9)"
"(15, 3)","(9, 6)","(12, 6)"
"(16, 2)","(11, 5)","(17, 5)"
"(16, 3)","(11, 6)","(17, 6)"
"(17, 2)","(10, 5)","(6, 9)"
"(17, 3)","(10, 6)","(6, 10)"
"(27, 0)","(19, 1)","(17, 1)"
"(0, 28)","(1, 18)","(1, 42)"
"(0, 29)","(1, 19)","(1, 41)"
"(5, 9)","(9, 5)","(15, 2)"
"(6, 9)","(10, 5)","(17, 2)"
"(4, 12)","(8, 8)","(12, 4)"
"(28, 0)","(39, 1)","(41, 1)"
"(29, 0)","(19, 1)","(27, 0)"
"(5, 10)","(9, 6)","(15, 3)"
"(6, 10)","(10, 6)","(17, 3)"
"(1, 19)","(0, 27)","(4, 14)"
"(0, 30)","(1, 18)","(1, 33)"
"(18, 1)","(12, 4)","(4, 12)"
"(5, 11)","(9, 7)","(2, 15)"
"(6, 11)","(10, 7)","(3, 15)"
"(12, 4)","(8, 8)","(18, 1)"
"(9, 5)","(5, 9)","(15, 2)"
"(1, 20)","(0, 33)","(4, 16)"
"(9, 6)","(5, 10)","(15, 3)"
"(10, 5)","(6, 9)","(17, 2)"
"(1, 22)","(0, 31)","(4, 14)"
"(10, 6)","(6, 10)","(17, 3)"
"(1, 21)","(4, 12)","(12, 4)"
"(0, 31)","(1, 22)","(1, 32)"
"(0, 32)","(1, 23)","(1, 31)"
"(1, 23)","(0, 32)","(0, 37)"
"(0, 33)","(1, 20)","(1, 24)"
"(19, 1)","(14, 4)","(27, 0)"
"(11, 5)","(7, 9)","(16, 2)"
"(8, 8)","(12, 4)","(4, 12)"
"(11, 6)","(7, 10)","(16, 3)"
"(0, 34)","(1, 24)","(0, 33)"
"(0, 35)","(1, 34)","(0, 36)"
"(1, 24)","(0, 34)","(0, 33)"
"(7, 9)","(11, 5)","(11, 8)"
"(2, 18)","(5, 9)","(5, 12)"
"(3, 18)","(6, 9)","(6, 12)"
"(0, 36)","(1, 21)","(4, 13)"
"(9, 7)","(5, 11)","(4, 14)"
"(7, 10)","(11, 6)","(10, 7)"
"(20, 1)","(13, 4)","(12, 4)"
"(10, 7)","(6, 11)","(7, 10)"
"(4, 14)","(1, 22)","(8, 11)"
"(4, 13)","(20, 1)","(1, 21)"
"(0, 37)","(1, 23)","(1, 27)"
"(21, 1)","(14, 4)","(16, 4)"
"(7, 11)","(11, 7)","(11, 10)"
"(22, 1)","(15, 4)","(35, 0)"
"(4, 16)","(1, 25)","(8, 9)"
"(30, 0)","(20, 1)","(18, 1)"
"(4, 15)","(8, 11)","(4, 14)"
"(23, 1)","(17, 4)","(21, 4)"
"(13, 4)","(20, 1)","(18, 1)"
"(14, 4)","(21, 1)","(19, 1)"
"(4, 17)","(8, 10)","(1, 23)"
"(31, 0)","(32, 1)","(21, 1)"
"(32, 0)","(31, 1)","(23, 1)"
"(11, 7)","(7, 11)","(16, 11)"
"(2, 19)","(5, 10)","(5, 14)"
"(3, 19)","(6, 10)","(6, 14)"
"(5, 12)","(15, 4)","(9, 8)"
"(6, 12)","(10, 8)","(17, 4)"
"(15, 4)","(5, 12)","(2, 21)"
"(24, 1)","(33, 0)","(35, 0)"
"(16, 4)","(11, 8)","(21, 1)"
"(33, 0)","(24, 1)","(15, 4)"
"(17, 4)","(6, 12)","(10, 8)"
"(0, 38)","(1, 19)","(1, 22)"
"(2, 20)","(5, 16)","(5, 18)"
"(3, 20)","(6, 16)","(6, 18)"
"(18, 2)","(12, 5)","(8, 9)"
"(18, 3)","(12, 6)","(8, 10)"
"(34, 0)","(33, 1)","(35, 1)"
"(2, 22)","(5, 14)","(5, 23)"
"(3, 22)","(6, 14)","(6, 23)"
"(2, 21)","(5, 12)","(9, 8)"
"(3, 21)","(6, 12)","(17, 4)"
"(8, 9)","(12, 5)","(18, 2)"
