folder_index,folder_name,sweep,tg,reopt,points,valid_points,total_points,nominal_index,nominal_f_large,nominal_error,mean_f_large,median_f_large,mean_error,median_error,mean_over_nominal,median_over_nominal,mean_degradation_decades,median_degradation_decades,path
0,cz_sweep_EC2_tg182_20260715_142026_full_tg20_detune_near_trace_decreasing,EC2,182,False,21/21,21,21,10,-4.3366875707167365,4.60587798990497e-05,-4.173994250398447,-4.0929574240554025,9.335309510685071e-05,8.073141712006118e-05,2.0268251853709396,1.7527910486774936,0.30681629220421985,0.24373014666133397,/data/zp_sweeps/trace_decreasing/cz_sweep_EC2_tg182_20260715_142026_full_tg20_detune_near_trace_decreasing/cz_sweep_EC2_tg182_20260715_142026_full_tg20_detune_near.csv
1,cz_sweep_EC2_tg91_20260704_015433_reopt_trace_decreasing,EC2,91,True,21/21,21,21,10,-2.798669776149396,0.0015897550888649419,-2.398382149957594,-2.3541528305021058,0.006665028000770598,0.0044243265059830126,4.192487287793062,2.7830239619751156,0.6224717544386014,0.4445169456472904,/data/zp_sweeps/trace_decreasing/cz_sweep_EC2_tg91_20260704_015433_reopt_trace_decreasing/cz_sweep_EC2_tg91_20260704_015433.csv
2,cz_sweep_ECJ2_tg182_20260703_144947_reopt_trace_decreasing,ECJ2,182,True,21/21,21,21,10,-4.2775508859027775,5.277753641830248e-05,-4.274503906851398,-4.2775508859027775,5.3168299904918624e-05,5.277753641830248e-05,1.007403973605722,1.0,0.0032036595568670227,0.0,/data/zp_sweeps/trace_decreasing/cz_sweep_ECJ2_tg182_20260703_144947_reopt_trace_decreasing/cz_sweep_tg182_20260703_144947.csv
3,cz_sweep_ECJ2_tg91_20260703_144814_reopt_trace_decreasing,ECJ2,91,True,21/21,21,21,10,-2.797952929736876,0.0015923813052174383,-2.793549822290724,-2.797952929736876,0.0016192201501484763,0.0015923813052174383,1.016854534051047,1.0,0.00725882944440816,0.0,/data/zp_sweeps/trace_decreasing/cz_sweep_ECJ2_tg91_20260703_144814_reopt_trace_decreasing/cz_sweep_tg91_20260703_144814.csv
4,cz_sweep_EJ2_tg182_20260715_142026_full_tg20_detune_near_trace_decreasing,EJ2,182,False,21/21,21,21,10,-4.3360261680557475,4.612897790878809e-05,-4.063800726622221,-3.999671367296976,0.00015252556615954905,0.00010007569911363311,3.30650218309934,2.1694757536469838,0.5193688137805672,0.33635480075877133,/data/zp_sweeps/trace_decreasing/cz_sweep_EJ2_tg182_20260715_142026_full_tg20_detune_near_trace_decreasing/cz_sweep_EJ2_tg182_20260715_142026_full_tg20_detune_near.csv
5,cz_sweep_EJ2_tg91_20260704_015449_reopt_trace_decreasing,EJ2,91,True,21/21,21,21,10,-2.7991461557088657,0.0015880122354448025,-2.1913517173191273,-2.2500154759966344,0.011264740151859404,0.0056232128662720956,7.093610427191796,3.541038753203959,0.8508673338445991,0.5491306797122313,/data/zp_sweeps/trace_decreasing/cz_sweep_EJ2_tg91_20260704_015449_reopt_trace_decreasing/cz_sweep_EJ2_tg91_20260704_015449.csv
6,cz_sweep_EL2_tg182_20260715_142105_full_tg20_detune_near_trace_decreasing,EL2,182,False,21/21,21,21,10,-4.335659160375795,4.616797643453023e-05,-4.245199536202818,-4.335659160375795,6.446392383589805e-05,4.616797643453023e-05,1.3962908668373821,1.0,0.1449758973016324,0.0,/data/zp_sweeps/trace_decreasing/cz_sweep_EL2_tg182_20260715_142105_full_tg20_detune_near_trace_decreasing/cz_sweep_EL2_tg182_20260715_142105_full_tg20_detune_near.csv
7,cz_sweep_EL2_tg91_20260704_015457_reopt_trace_decreasing,EL2,91,True,21/21,21,21,10,-2.7985014335761136,0.001590371434107451,-2.4371931019865185,-2.5563780835080063,0.004898341773080382,0.0027772943873646256,3.079998589027369,1.746318078784721,0.48855051754662343,0.24212335006810726,/data/zp_sweeps/trace_decreasing/cz_sweep_EL2_tg91_20260704_015457_reopt_trace_decreasing/cz_sweep_EL2_tg91_20260704_015457.csv
8,cz_sweep_Ec0_tg182_20260704_015430_reopt_trace_decreasing,Ec0,182,True,21/21,21,21,10,-4.277117487719285,5.283023132096605e-05,-4.268006417201936,-4.277117487719285,5.450215794812145e-05,5.283023132096605e-05,1.031647157041538,1.0,0.013531185709831497,0.0,/data/zp_sweeps/trace_decreasing/cz_sweep_Ec0_tg182_20260704_015430_reopt_trace_decreasing/cz_sweep_Ec0_tg182_20260704_015430.csv
9,cz_sweep_Ec0_tg91_20260704_015426_reopt_trace_decreasing,Ec0,91,True,21/21,21,21,10,-2.798710964100441,0.0015896043256095056,-2.804430588794479,-2.798710964100441,0.0016132889258038236,0.0015896043256095056,1.0148996827781256,1.0,0.006423116762514307,0.0,/data/zp_sweeps/trace_decreasing/cz_sweep_Ec0_tg91_20260704_015426_reopt_trace_decreasing/cz_sweep_Ec0_tg91_20260704_015426.csv
10,cz_sweep_Ecc_tg182_20260704_015445_reopt_trace_decreasing,Ecc,182,True,21/21,21,21,10,-4.275629810150601,5.301151181114069e-05,-4.185581851928608,-4.200865218196136,6.622473838459519e-05,6.297015782619205e-05,1.24925202323088,1.1878581778714428,0.09665006147847893,0.07476459195446498,/data/zp_sweeps/trace_decreasing/cz_sweep_Ecc_tg182_20260704_015445_reopt_trace_decreasing/cz_sweep_Ecc_tg182_20260704_015445.csv
11,cz_sweep_Ecc_tg91_20260704_015441_reopt_trace_decreasing,Ecc,91,True,21/21,21,21,10,-2.7990657142855193,0.001588306399430194,-2.817241903366906,-2.7995267621548727,0.0015538271096324193,0.0015866211449505623,0.9782917894115744,0.9989389613488705,-0.009531591397420491,-0.00046104786935336563,/data/zp_sweeps/trace_decreasing/cz_sweep_Ecc_tg91_20260704_015441_reopt_trace_decreasing/cz_sweep_Ecc_tg91_20260704_015441.csv
12,cz_sweep_Phi2_tg182_20260704_015518_reopt_trace_decreasing,Phi2,182,True,21/21,21,21,10,-4.31636644947627,4.826513780642473e-05,-3.9984241831243357,-4.313870454423934,0.0003366534717094878,4.854332783210677e-05,6.975085683163112,1.0057637880740704,0.843549546927194,0.0024959950523361614,/data/zp_sweeps/trace_decreasing/cz_sweep_Phi2_tg182_20260704_015518_reopt_trace_decreasing/cz_sweep_Phi2_tg182_20260704_015518.csv
13,cz_sweep_Phi2_tg91_20260704_015514_reopt_trace_decreasing,Phi2,91,True,21/21,21,21,10,-2.7982687532430184,0.0015912237297681653,-2.623955336195501,-2.7881862013232657,0.0036781967572621995,0.001628597630832674,2.311552227667003,1.0234875211859453,0.36390371042014735,0.010082551919752743,/data/zp_sweeps/trace_decreasing/cz_sweep_Phi2_tg91_20260704_015514_reopt_trace_decreasing/cz_sweep_Phi2_tg91_20260704_015514.csv
14,cz_sweep_ng2_tg182_20260704_015510_reopt_trace_decreasing,ng2,182,True,21/21,21,21,10,-4.277336202138838,5.280363226245482e-05,-4.277790428541056,-4.278076320708004,5.274849550095438e-05,5.2713721686359316e-05,0.9989558149858634,0.9982972653159803,-0.00045372071515797544,-0.0007401185691655936,/data/zp_sweeps/trace_decreasing/cz_sweep_ng2_tg182_20260704_015510_reopt_trace_decreasing/cz_sweep_ng2_tg182_20260704_015510.csv
15,cz_sweep_ng2_tg91_20260704_015506_reopt_trace_decreasing,ng2,91,True,21/21,21,21,10,-2.797574525933019,0.0015937693627525726,-2.7983180073679925,-2.7981081921033315,0.0015910466520681122,0.0015918121229894216,0.9982916532667198,0.9987719429116326,-0.0007425600151771775,-0.000533666170312549,/data/zp_sweeps/trace_decreasing/cz_sweep_ng2_tg91_20260704_015506_reopt_trace_decreasing/cz_sweep_ng2_tg91_20260704_015506.csv
