Flux, Eigenvalue_1, Eigenvalue_2, Eigenvalue_3, Eigenvalue_4, Eigenvalue_5
-0.500000,0.000000,0.002307,2.465023,2.506754,4.637759
-0.490000,0.000000,0.068344,2.479538,2.558259,4.667412
-0.480000,0.000000,0.136629,2.483079,2.622950,4.691873
-0.470000,0.000000,0.204927,2.484843,2.689396,4.711047
-0.460000,0.000000,0.273229,2.486087,2.756328,4.726120
-0.450000,0.000000,0.341531,2.487106,2.823451,4.738147
-0.440000,0.000000,0.409833,2.488002,2.890661,4.747940
-0.430000,0.000000,0.478135,2.488820,2.957913,4.756087
-0.420000,0.000000,0.546437,2.489584,3.025184,4.763004
-0.410000,0.000000,0.614739,2.490305,3.092460,4.768984
-0.400000,0.000000,0.683039,2.490992,3.159734,4.774235
-0.390000,0.000000,0.751339,2.491649,3.227000,4.778908
-0.380000,0.000000,0.819638,2.492280,3.294254,4.783115
-0.370000,0.000000,0.887936,2.492887,3.361495,4.786936
-0.360000,0.000000,0.956234,2.493472,3.428719,4.790434
-0.350000,0.000000,1.024529,2.494037,3.495926,4.793658
-0.340000,0.000000,1.092824,2.494581,3.563113,4.796644
-0.330000,0.000000,1.161117,2.495107,3.630280,4.799421
-0.320000,0.000000,1.229409,2.495614,3.697425,4.802012
-0.310000,0.000000,1.297699,2.496103,3.764548,4.804436
-0.300000,0.000000,1.365988,2.496574,3.831647,4.806706
-0.290000,0.000000,1.434275,2.497029,3.898721,4.808834
-0.280000,0.000000,1.502560,2.497466,3.965769,4.810827
-0.270000,0.000000,1.570843,2.497887,4.032790,4.812686
-0.260000,0.000000,1.639124,2.498291,4.099782,4.814411
-0.250000,0.000000,1.707403,2.498679,4.166744,4.815986
-0.240000,0.000000,1.775680,2.499051,4.233674,4.817370
-0.230000,0.000000,1.843954,2.499407,4.300568,4.818444
-0.220000,0.000000,1.912226,2.499748,4.367424,4.818733
-0.210000,0.000000,1.980495,2.500072,4.434235,4.814206
-0.200000,0.000000,2.048762,2.500381,4.500991,4.771590
-0.190000,0.000000,2.117025,2.500675,4.567676,4.706354
-0.180000,0.000000,2.185285,2.500953,4.634123,4.639215
-0.170000,0.000000,2.253542,2.501216,4.571364,4.700611
-0.160000,0.000000,2.321795,2.501464,4.503485,4.766158
-0.150000,0.000000,2.390043,2.501699,4.435520,4.820370
-0.140000,0.000000,2.458277,2.501929,4.367505,4.828828
-0.130000,0.000000,2.502070,2.526581,4.299458,4.830472
-0.120000,0.000000,2.502285,2.594791,4.231388,4.831485
-0.110000,0.000000,2.502460,2.663021,4.163301,4.832287
-0.100000,0.000000,2.502618,2.731248,4.095202,4.832969
-0.090000,0.000000,2.502761,2.799470,4.027092,4.833563
-0.080000,0.000000,2.502887,2.867686,3.958974,4.834082
-0.070000,0.000000,2.502999,2.935894,3.890851,4.834533
-0.060000,0.000000,2.503096,3.004092,3.822726,4.834919
-0.050000,0.000000,2.503178,3.072276,3.754603,4.835244
-0.040000,0.000000,2.503245,3.140438,3.686490,4.835508
-0.030000,0.000000,2.503297,3.208562,3.618404,4.835713
-0.020000,0.000000,2.503334,3.276594,3.550399,4.835858
-0.010000,0.000000,2.503356,3.344281,3.482728,4.835946
0.000000,0.000000,2.503364,3.401601,3.425414,4.835975
0.010000,0.000000,2.503356,3.344281,3.482728,4.835946
0.020000,0.000000,2.503334,3.276594,3.550399,4.835858
0.030000,0.000000,2.503297,3.208562,3.618404,4.835713
0.040000,0.000000,2.503245,3.140438,3.686490,4.835508
0.050000,0.000000,2.503178,3.072276,3.754603,4.835244
0.060000,0.000000,2.503096,3.004092,3.822726,4.834919
0.070000,0.000000,2.502999,2.935894,3.890851,4.834533
0.080000,0.000000,2.502887,2.867686,3.958974,4.834082
0.090000,0.000000,2.502761,2.799470,4.027092,4.833563
0.100000,0.000000,2.502618,2.731248,4.095202,4.832969
0.110000,0.000000,2.502460,2.663021,4.163301,4.832287
0.120000,0.000000,2.502285,2.594791,4.231388,4.831485
0.130000,0.000000,2.502070,2.526581,4.299458,4.830472
0.140000,0.000000,2.458277,2.501929,4.367505,4.828828
0.150000,0.000000,2.390043,2.501699,4.435520,4.820370
0.160000,0.000000,2.321795,2.501464,4.503485,4.766158
0.170000,0.000000,2.253542,2.501216,4.571364,4.700611
0.180000,0.000000,2.185285,2.500953,4.634123,4.639215
0.190000,0.000000,2.117025,2.500675,4.567676,4.706354
0.200000,0.000000,2.048762,2.500381,4.500991,4.771590
0.210000,0.000000,1.980495,2.500072,4.434235,4.814206
0.220000,0.000000,1.912226,2.499748,4.367424,4.818733
0.230000,0.000000,1.843954,2.499407,4.300568,4.818444
0.240000,0.000000,1.775680,2.499051,4.233674,4.817370
0.250000,0.000000,1.707403,2.498679,4.166744,4.815986
0.260000,0.000000,1.639124,2.498291,4.099782,4.814411
