tg,drive_amp,detune,f_200_select,f_1000_False
20.032421,0.045974,0.029778,-0.76245945,-0.75476894
21.056006,0.045761,0.0277,-0.69659916,-0.69337398
22.041758,0.043335,0.029887,-0.62104361,-0.6120626
23.088843,0.041854,0.030413,-0.5441362,-0.53556851
24.089398,0.039481,0.034069,-0.47906281,-0.46308527
25.077785,0.03859,0.034731,-0.42364276,-0.4082711
26.095773,0.03827,0.034993,-0.37525298,-0.36035804
27.091733,0.044551,0.017271,-0.33738506,-0.33964498
28.079425,0.043529,0.016561,-0.33047382,-0.3291495
29.098714,0.013834,0.005579,-0.33216799,-0.33219246
30.059124,0.040686,0.015,-0.3610123,-0.35576871
31.089019,0.038953,0.015149,-0.38627664,-0.37828289
32.034226,0.037135,0.016167,-0.41121276,-0.40469097
33.0965,0.035655,0.017116,-0.43813854,-0.42861163
34.091621,0.034576,0.018308,-0.46384555,-0.44898986
35.06216,0.034395,0.019783,-0.49185753,-0.46291719
36.036818,0.034751,0.020857,-0.5276274,-0.48370223
36.930871,0.034879,0.021496,-0.57065061,-0.51709926
38.046441,0.035323,0.021612,-0.63560777,-0.56692223
39.031706,0.034584,0.022196,-0.70011903,-0.62858499
40.033972,0.034527,0.022645,-0.76894856,-0.68831576
41.089405,0.033895,0.023143,-0.84325652,-0.75865579
42.029143,0.033306,0.023711,-0.91022185,-0.82264816
43.075622,0.032677,0.024355,-0.98341872,-0.89298956
44.031495,0.031706,0.024911,-1.04771138,-0.96129505
45.056036,0.030992,0.025292,-1.10787366,-1.02402349
46.043275,0.030143,0.025703,-1.15376091,-1.07706284
47.036431,0.029524,0.026051,-1.18526802,-1.11594357
48.020593,0.028752,0.026391,-1.20118129,-1.14347344
49.082797,0.027772,0.0268,-1.20280674,-1.15890886
50.066456,0.027173,0.026765,-1.19196886,-1.15971719
50.936344,0.026498,0.027152,-1.17672232,-1.15207597
52.099276,0.025673,0.027436,-1.14841245,-1.13248341
53.082337,0.024949,0.027433,-1.12145185,-1.11142463
54.090992,0.024104,0.027046,-1.0931432,-1.08780279
55.027972,0.02355,0.027221,-1.06661829,-1.06330521
56.077009,0.022808,0.026791,-1.03901008,-1.03715877
57.035365,0.022302,0.025874,-1.01593981,-1.0148599
58.038307,0.021706,0.024306,-0.99599058,-0.99576387
59.074437,0.022073,0.020625,-0.99138293,-0.9940371
60.103806,0.021792,0.019279,-1.00402411,-1.00984945
61.055416,0.021332,0.018602,-1.02118426,-1.02913954
62.054606,0.02093,0.017519,-1.04263102,-1.05296502
63.016857,0.020284,0.017186,-1.06630975,-1.07651265
64.017257,0.020013,0.016905,-1.09169962,-1.10181148
65.040581,0.019272,0.016253,-1.11786397,-1.12628299
66.028278,0.018983,0.01625,-1.14504765,-1.15275274
67.034358,0.018539,0.016096,-1.17129232,-1.17765021
68.037311,0.018268,0.01604,-1.19740199,-1.20305377
69.036209,0.017884,0.015849,-1.22198336,-1.22645897
70.044726,0.017525,0.015868,-1.24524962,-1.24877774
71.0386,0.017268,0.015611,-1.26720001,-1.26993921
72.048199,0.016878,0.015205,-1.28737166,-1.28900217
73.042499,0.01662,0.015112,-1.30549076,-1.30627893
74.049203,0.016254,0.014905,-1.32241733,-1.32246494
75.007782,0.015999,0.014666,-1.33695136,-1.33644145
76.05597,0.023546,0.026198,-1.32697199,-1.31486446
77.105768,0.02304,0.026145,-1.39891634,-1.38709071
78.096465,0.022614,0.026206,-1.4699152,-1.45819414
79.093063,0.02217,0.026085,-1.54531619,-1.53369562
80.069609,0.021699,0.026059,-1.62299106,-1.61141391
81.088054,0.021316,0.025908,-1.70878681,-1.69666902
82.09794,0.020944,0.026039,-1.80024329,-1.78744762
83.068769,0.020623,0.025972,-1.89312487,-1.87864901
84.088153,0.020134,0.025833,-1.99907803,-1.98454484
85.030697,0.01984,0.025783,-2.10470256,-2.08852553
86.106856,0.019481,0.02577,-2.23547548,-2.21788608
87.016926,0.01919,0.025759,-2.35291299,-2.3339688
87.905824,0.018872,0.025704,-2.47278858,-2.45728246
88.916301,0.01858,0.025673,-2.60716794,-2.59033394
89.916384,0.018255,0.025579,-2.72958795,-2.72093102
90.939553,0.017948,0.025514,-2.82135184,-2.82482772
91.950393,0.01767,0.02547,-2.85663541,-2.87537611
93.009387,0.017406,0.025439,-2.82506033,-2.85255234
93.908895,0.017185,0.025303,-2.75733337,-2.79458811
94.933106,0.016868,0.025143,-2.6538261,-2.69408994
95.906622,0.016688,0.025128,-2.55928477,-2.5983225
96.923943,0.01645,0.024969,-2.46232559,-2.49691438
97.920015,0.016221,0.0249,-2.3778355,-2.40834762
99.043804,0.015969,0.024554,-2.29623986,-2.33094411
99.905087,0.015798,0.02448,-2.24400351,-2.27610143
100.959499,0.015548,0.024051,-2.19176242,-2.22110471
102.049725,0.015368,0.023726,-2.15400736,-2.18445551
103.073178,0.015157,0.023235,-2.13557911,-2.1654556
104.067706,0.014971,0.022579,-2.13385265,-2.16201626
105.050187,0.014787,0.022288,-2.14787581,-2.17343289
106.074858,0.01462,0.021979,-2.1741203,-2.19787807
107.073285,0.014445,0.021625,-2.21169936,-2.23230849
108.089542,0.014287,0.021367,-2.25981406,-2.27780438
109.093345,0.01415,0.021199,-2.31574371,-2.3319304
110.011766,0.014013,0.021038,-2.37358653,-2.38701254
111.028361,0.013895,0.02088,-2.44126034,-2.45289665
112.098803,0.013732,0.020753,-2.51888984,-2.52817768
113.086114,0.013562,0.02055,-2.59714968,-2.60171513
114.083412,0.013425,0.02036,-2.6779423,-2.67668435
115.058177,0.013281,0.02029,-2.75716324,-2.75428896
116.077689,0.013154,0.020213,-2.83912897,-2.83246852
117.030361,0.01303,0.020139,-2.90686817,-2.89635079
118.095033,0.012909,0.019957,-2.97192348,-2.95596532
118.95981,0.012789,0.019853,-3.00889024,-2.98997801
119.915414,0.012674,0.019768,-3.03267653,-3.01247133
121.011384,0.012529,0.019632,-3.03805447,-3.01960487
121.908197,0.012432,0.019475,-3.03416088,-3.01443021
122.958423,0.01231,0.019368,-3.02136333,-3.00416944
123.931613,0.012184,0.019208,-3.00419473,-2.98949925
124.962734,0.012067,0.019063,-2.98619971,-2.97331392
125.90943,0.011973,0.01896,-2.96990343,-2.9591405
127.010398,0.01185,0.018805,-2.95630333,-2.94718181
127.98519,0.011742,0.018634,-2.95248148,-2.94409898
129.065445,0.011621,0.018456,-2.95767066,-2.94985098
130.084878,0.011521,0.01833,-2.97074876,-2.96315281
130.994985,0.011417,0.018197,-2.98931823,-2.98176539
132.065274,0.011306,0.018037,-3.0156432,-3.00864195
133.039592,0.011209,0.017869,-3.04486278,-3.03670895
134.043513,0.011113,0.017721,-3.07601804,-3.06735442
134.944802,0.011029,0.017591,-3.10449513,-3.09811943
136.083353,0.010929,0.017544,-3.14375157,-3.14088677
137.093367,0.010821,0.017361,-3.1815747,-3.17815138
138.074338,0.010722,0.0172,-3.2086709,-3.20394602
138.960793,0.010658,0.01717,-3.23993705,-3.23658109
140.02276,0.010556,0.017,-3.25952568,-3.25427587
141.00744,0.010479,0.016934,-3.27431972,-3.26880841
142.015378,0.010389,0.016815,-3.27886765,-3.27291038
142.971541,0.010313,0.016721,-3.27982624,-3.27372719
144.035467,0.010212,0.016586,-3.27810587,-3.27004241
145.000204,0.010147,0.016513,-3.28049227,-3.27133803
146.02291,0.010066,0.016405,-3.28083765,-3.27079149
146.981793,0.009984,0.01623,-3.28082652,-3.26839447
148.018068,0.009915,0.016175,-3.28475267,-3.2718963
148.996691,0.009833,0.016059,-3.29253866,-3.2794815
150.048772,0.009748,0.015924,-3.30494876,-3.28958308
150.997279,0.009676,0.015825,-3.32111386,-3.30509741
151.988898,0.009603,0.015713,-3.34489316,-3.32728986
153.000137,0.009532,0.01561,-3.37744678,-3.35741725
154.003334,0.009467,0.015524,-3.41395522,-3.39151831
155.029113,0.009388,0.015395,-3.45541679,-3.43147982
156.016497,0.009314,0.015292,-3.4932168,-3.46782722
157.001434,0.009251,0.015203,-3.53483187,-3.50745959
158.038459,0.009186,0.015116,-3.58166406,-3.55069415
159.048433,0.00912,0.015042,-3.62821895,-3.59651575
160.007102,0.009057,0.014951,-3.67383525,-3.63956619
161.004775,0.00899,0.014851,-3.7202729,-3.68207535
161.99865,0.008931,0.014756,-3.75781953,-3.71777796
163.005715,0.008867,0.014664,-3.78706977,-3.74409138
164.015275,0.008802,0.014578,-3.80958047,-3.76430758
164.999598,0.008743,0.014483,-3.82633677,-3.77604414
165.973553,0.008688,0.014421,-3.8421954,-3.7909614
167.001744,0.008623,0.014326,-3.86397712,-3.8102098
167.998059,0.008567,0.014231,-3.88882116,-3.83326556
169.043798,0.008508,0.014155,-3.91509734,-3.85767337
170.005964,0.008453,0.014067,-3.9362217,-3.87857261
170.996943,0.008397,0.013995,-3.95565388,-3.90114462
172.004734,0.00834,0.013893,-3.97848515,-3.92347538
172.997468,0.008283,0.013822,-4.01151795,-3.95979874
173.999617,0.008228,0.01374,-4.05631406,-4.00430735
174.998045,0.008178,0.013667,-4.11205738,-4.05891756
176.001029,0.008127,0.01359,-4.17087821,-4.11260292
177.009116,0.008071,0.013506,-4.23064069,-4.17512481
177.993943,0.008025,0.01344,-4.28065237,-4.22067378
