tg,drive_amp,detune,f_charge_60,f2_60,f_60_170us,f2_60_170us,f_60_30us,f2_60_30us,f_60_3us,f2_60_3us,f_1000,f2_1000,f_200,f2_200
20.04220900,0.04997800,0.03999100,-0.54365858,0.71401621,-0.54357642,0.71396210,-0.54330137,0.71378089,-0.54033170,0.71181704,-0.49270646,0.67841666,-0.55528617,0.72157141
26.09998100,0.02618200,0.01952900,-0.28017197,0.47540031,-0.28016506,0.47539196,-0.28014916,0.47537276,-0.27994625,0.47512758,-0.28445594,0.48054963,-0.28506184,0.48127383
32.05749600,0.04746200,0.02191600,-0.44107243,0.63781741,-0.44097296,0.63773445,-0.44060991,0.63743148,-0.43670692,0.63415841,-0.09398961,0.19460230,-0.13828756,0.27270192
38.05923300,0.04107200,0.02535100,-0.90923460,0.87675611,-0.90887008,0.87665262,-0.90747626,0.87625612,-0.89252440,0.87192169,-0.36819905,0.57164785,-0.46080704,0.65390688
44.04678600,0.03373400,0.02897200,-1.19925911,0.93679653,-1.19851363,0.93668795,-1.19594968,0.93631307,-1.16913108,0.93225630,-0.77511536,0.83216419,-0.87974702,0.86809751
50.06779400,0.03638300,0.03999900,-1.17585189,0.93329658,-1.17458182,0.93310122,-1.16915324,0.93225976,-1.11437826,0.92315392,-0.48673286,0.67396281,-0.32211675,0.52369707
56.06504300,0.02899700,0.03998400,-1.05601843,0.91210148,-1.05516216,0.91192800,-1.05153388,0.91118913,-1.01427169,0.90323277,-0.73010002,0.81383417,-0.75761565,0.82526321
62.06171300,0.02096000,0.01757500,-0.97188930,0.89331320,-0.97154866,0.89322948,-0.97027307,0.89291542,-0.95649605,0.88946395,-0.96815104,0.89239091,-0.95974427,0.89028760
68.03492400,0.01863700,0.01608300,-1.13464832,0.92665818,-1.13411000,0.92656721,-1.13205690,0.92621924,-1.11014840,0.92240181,-1.12839933,0.92559525,-1.12842447,0.92559956
74.04434500,0.01651500,0.01557100,-1.27320826,0.94669208,-1.27241808,0.94659500,-1.26942414,0.94622556,-1.23804874,0.94219688,-1.26895168,0.94616703,-1.27082011,0.94639814
80.08052000,0.02235100,0.02576400,-1.62397994,0.97623050,-1.62105428,0.97606983,-1.61131099,0.97552690,-1.51800919,0.96966173,-1.57569957,0.97343557,-1.56502439,0.97277452
86.10495800,0.01985600,0.02552700,-2.23522414,0.99418197,-2.22376328,0.99402639,-2.18816126,0.99351606,-1.92085171,0.98800091,-2.16949171,0.99323125,-2.05622144,0.99121426
91.94729500,0.01790800,0.02517500,-2.97267254,0.99893505,-2.91522654,0.99878445,-2.77093827,0.99830542,-2.16257398,0.99312257,-2.79422688,0.99839390,-2.47192028,0.99662651
97.91574200,0.01636100,0.02463900,-2.37475419,0.99578065,-2.35995047,0.99563434,-2.31723585,0.99518314,-2.01290112,0.99029269,-2.30141695,0.99500445,-2.23872018,0.99422862
104.06357900,0.01508700,0.02258900,-2.05000572,0.99108761,-2.04300345,0.99094275,-2.02159933,0.99048518,-1.83948244,0.98552837,-2.00387113,0.99008874,-2.01143757,0.99025992
110.01520700,0.01418700,0.02076900,-2.26195855,0.99452932,-2.25040179,0.99438179,-2.21458262,0.99389877,-1.94590993,0.98867365,-2.22442895,0.99403554,-2.23465006,0.99417428
116.08522500,0.01331200,0.02002300,-2.76500812,0.99828212,-2.72894450,0.99813338,-2.62811810,0.99764559,-2.11757889,0.99237182,-2.72349633,0.99810982,-2.73543303,0.99816106
121.89910400,0.01255200,0.01939800,-3.07475984,0.99915814,-3.00348766,0.99900800,-2.82904062,0.99851762,-2.16869162,0.99321877,-3.05098060,0.99911076,-3.05972721,0.99912849
127.98677000,0.01184300,0.01855200,-2.90448424,0.99875401,-2.85429171,0.99860135,-2.72134323,0.99810042,-2.13643839,0.99269599,-2.90017530,0.99874158,-2.90318874,0.99875028
134.04645100,0.01121700,0.01769000,-2.95808909,0.99889869,-2.90053202,0.99874262,-2.75107980,0.99822614,-2.13455125,0.99266418,-2.95314666,0.99888608,-2.95698153,0.99889587
140.02691200,0.01065700,0.01697200,-3.18591485,0.99934824,-3.09083593,0.99918873,-2.87209915,0.99865754,-2.15161081,0.99294675,-3.17697408,0.99933469,-3.18419396,0.99934566
146.02920200,0.01015000,0.01633500,-3.24807240,0.99943516,-3.13784783,0.99927197,-2.89497932,0.99872644,-2.14699637,0.99287141,-3.23917234,0.99942346,-3.24708161,0.99943387
151.99689900,0.00968800,0.01572000,-3.23610900,0.99941938,-3.12616369,0.99925211,-2.88289375,0.99869050,-2.13512265,0.99267382,-3.22958477,0.99941059,-3.23571533,0.99941885
158.04761300,0.00926400,0.01509300,-3.39726775,0.99959938,-3.24232543,0.99942763,-2.93803399,0.99884664,-2.13279606,0.99263447,-3.39015146,0.99959276,-3.39544360,0.99959769
164.00550500,0.00887600,0.01457400,-3.62828630,0.99976465,-3.38569353,0.99958856,-2.99576599,0.99899020,-2.13101047,0.99260413,-3.62252320,0.99976151,-3.62819928,0.99976460
170.00755300,0.00852250,0.01406004,-3.73909146,0.99981765,-3.43986850,0.99963681,-3.00845698,0.99901928,-2.12154791,0.99244121,-3.73539849,0.99981609,-3.73840639,0.99981736
175.99873200,0.00818837,0.01356979,-3.88160801,0.99986866,-3.49875269,0.99968286,-3.02005469,0.99904513,-2.11153124,0.99226485,-3.87979563,0.99986811,-3.88155698,0.99986865
182.01462800,0.00788503,0.01312045,-4.18445091,0.99993460,-3.59141042,0.99974379,-3.03900369,0.99908589,-2.10261556,0.99210441,-4.18220420,0.99993427,-4.18246388,0.99993430
188.02235900,0.00759988,0.01270241,-4.32403235,0.99995258,-3.61380999,0.99975667,-3.03547161,0.99907843,-2.09122299,0.99189455,-4.32497543,0.99995268,-4.32428533,0.99995261
193.98028400,0.00733878,0.01231881,-4.26221630,0.99994533,-3.59229619,0.99974432,-3.02044057,0.99904598,-2.07897645,0.99166274,-4.26454926,0.99994562,-4.26304802,0.99994543
