tg,drive_amp,detune,f_200_1e3,f_1000_mstep0,f_1000_1e3,f_2000_1e3
20.0396,0.042986,0.024999,-1.56779467,-1.58814701,-0.61462101,-0.61470142
21.058807,0.042997,0.024972,-1.49598975,-1.51192562,-0.59601337,-0.59571532
22.046788,0.042942,0.024992,-1.42641178,-1.44028786,-0.55798623,-0.5572316
23.086027,0.042942,0.024992,-1.35559152,-1.36415633,-0.50294221,-0.50173075
24.077438,0.026968,0.018682,-1.28746843,-1.2897972,-0.30985916,-0.3098539
25.070609,0.025027,0.017555,-1.22911672,-1.22831413,-0.30982795,-0.30981095
26.093888,0.014711,0.005774,-1.16946489,-1.1601878,-0.31179452,-0.31177707
27.088848,0.014377,0.005434,-1.11382224,-1.0996873,-0.31736318,-0.31734456
28.068485,0.013799,0.005027,-1.09447095,-1.07599761,-0.3228781,-0.32286039
29.106397,0.013619,0.005099,-1.08628788,-1.07202947,-0.32879995,-0.32877422
30.060953,0.013619,0.005099,-1.07775014,-1.06162821,-0.33406318,-0.33403494
31.094459,0.03961,0.010993,-1.06819199,-1.05293854,-0.36941227,-0.36750248
32.051075,0.038251,0.013537,-1.05810472,-1.04390246,-0.391855,-0.38957667
33.110126,0.038228,0.017434,-1.04704763,-1.03210896,-0.38284197,-0.37851999
34.092476,0.042971,0.017219,-1.03756863,-1.02325447,-0.29378217,-0.28676635
35.05881,0.042983,0.017567,-1.02645338,-1.01254801,-0.32845284,-0.32026067
36.036415,0.042983,0.017567,-1.01589886,-1.00187294,-0.36342695,-0.35397279
36.925473,0.042993,0.017465,-1.00540034,-0.99432378,-0.39200734,-0.38149243
38.051728,0.042323,0.017513,-0.9943993,-0.983564,-0.44358466,-0.43148265
39.030669,0.039506,0.019336,-0.9848229,-0.97791193,-0.57761497,-0.5631849
40.044918,0.037144,0.021018,-0.97445712,-0.96650948,-0.69965804,-0.68498544
41.095095,0.035794,0.02236,-0.96712311,-0.96151114,-0.79319646,-0.77855447
42.026098,0.034773,0.023105,-0.98271171,-0.97628073,-0.86789409,-0.85330658
43.087738,0.033565,0.024043,-1.00141332,-0.99046615,-0.95156875,-0.93767901
44.045552,0.032456,0.024949,-1.02326007,-1.01743141,-1.01974248,-1.00708168
45.061874,0.031564,0.02498,-1.04473135,-1.04068861,-1.07452869,-1.06188074
46.044288,0.030769,0.02499,-1.06788258,-1.06570233,-1.11018175,-1.09833857
