tg,drive_amp,detune,f_900,f_charge_60,f_60_170us,f_60_30us,f_60_3us,f_50,f_60,f_70,f_80,f_90,f_100,f_110,f_120,f_130,f_140,f_150,f_160,f_170,f_180,f_190,f_200,f_300,f_400,f_500,f_600,f_700,f_800,f_low200_1e3,f_low1000_mstep0,f_low1000_1e3,f_low2000_1e3
20.0396,0.042986,0.024999,-0.61473406,-0.36874608,-0.36874161,-0.36876729,-0.36889588,-0.2105978,-0.36874608,-0.39046699,-0.40538691,-0.3145254,-0.5361624,-0.58140473,-0.55599751,-0.54696195,-0.53927112,-0.53811773,-0.49181248,-0.53832397,-0.58474231,-0.57978107,-0.57869856,-0.61368203,-0.61544806,-0.61470161,-0.61464023,-0.61469304,-0.614782,-1.56779467,-1.58814701,-0.61462101,-0.61470142
26.093888,0.014711,0.005774,-0.31183054,-0.31298903,-0.31297794,-0.31293924,-0.31252573,-0.30822165,-0.31298903,-0.31316755,-0.31242697,-0.31034684,-0.31147126,-0.31152176,-0.31155426,-0.31153257,-0.31158895,-0.31158366,-0.31157757,-0.31179043,-0.31183042,-0.31183391,-0.31183365,-0.31183478,-0.31183723,-0.31183802,-0.31183887,-0.31183826,-0.31183146,-1.16946489,-1.1601878,-0.31179452,-0.31177707
32.051075,0.038251,0.013537,-0.38948654,-0.42261634,-0.42255821,-0.42237084,-0.42032662,-0.40813483,-0.42261634,-0.44645345,-0.43404144,-0.40946318,-0.40943523,-0.40999289,-0.41795366,-0.4235721,-0.40832149,-0.40614077,-0.39564452,-0.39159842,-0.38118482,-0.36668553,-0.36858025,-0.39044688,-0.39099275,-0.389772,-0.38978319,-0.38961806,-0.38962934,-1.05810472,-1.04390246,-0.391855,-0.38957667
38.051728,0.042323,0.017513,-0.43161802,-0.76845001,-0.76825382,-0.76752748,-0.75964416,-0.4376451,-0.76845,-0.7063646,-0.77275891,-0.68310877,-0.50610323,-0.48310858,-0.517951,-0.52619117,-0.5459958,-0.54894046,-0.6838837,-0.59123825,-0.51310069,-0.55277494,-0.5408156,-0.4462271,-0.43786222,-0.43286119,-0.43119708,-0.43148403,-0.43161964,-0.9943993,-0.983564,-0.44358466,-0.43148265
44.045552,0.032456,0.024949,-1.00760319,-1.13856539,-1.13810802,-1.13648845,-1.11887712,-0.72483262,-1.13856539,-1.15344737,-1.08253751,-0.96358264,-1.06175146,-1.10474965,-1.11314269,-1.13889175,-1.04342535,-1.03716926,-1.05804302,-1.06869012,-1.06632369,-1.08936594,-1.08117868,-1.01602326,-1.01602357,-1.0077023,-1.00666193,-1.0069638,-1.0068288,-1.02326007,-1.01743141,-1.01974248,-1.00708168
50.061226,0.0273,0.027376,-1.14115477,-1.12772268,-1.1272402,-1.12575327,-1.10983199,-0.80268978,-1.12772269,-1.15167375,-1.1414663,-1.03934572,-1.13224878,-1.16321133,-1.1610222,-1.16455117,-1.117256,-1.11403641,-1.10840632,-1.1294028,-1.1348615,-1.13973318,-1.14273116,-1.14452192,-1.145345,-1.14149463,-1.14118759,-1.14105274,-1.14101256,-1.13452577,-1.13111437,-1.14666353,-1.14159672
56.069465,0.022632,0.026119,-1.00821119,-0.99288233,-0.99255876,-0.99160151,-0.98129902,-0.8112966,-0.99288234,-1.00341667,-1.00383501,-0.95877973,-0.99324714,-1.00364934,-1.00306,-1.00305458,-0.99912003,-0.99861089,-0.99534218,-1.00339637,-1.00430036,-1.00254945,-1.00308178,-1.00867954,-1.00824575,-1.00819751,-1.00820855,-1.00819274,-1.00819628,-1.00141332,-0.99046615,-1.00882727,-1.00849267
62.05419,0.021118,0.016864,-1.03874871,-1.04163815,-1.04131523,-1.04012294,-1.02719567,-0.90932622,-1.04163816,-1.0544009,-1.04764551,-1.01320591,-1.03487457,-1.03983852,-1.04019021,-1.04018198,-1.03833154,-1.03740197,-1.02225304,-1.02636763,-1.02872448,-1.0306989,-1.03069604,-1.03720349,-1.03864916,-1.03886164,-1.03863761,-1.03881051,-1.03882557,-1.0444572,-1.03144581,-1.03836484,-1.03898755
68.034924,0.018637,0.016083,-1.19191039,-1.19719575,-1.19668815,-1.19481879,-1.17476522,-1.06406822,-1.19719575,-1.20910028,-1.2022734,-1.1685304,-1.1895037,-1.19362304,-1.19410338,-1.19409378,-1.19237559,-1.19261783,-1.1877032,-1.19100097,-1.1909298,-1.19196529,-1.19226352,-1.19214802,-1.19182097,-1.19179933,-1.19189681,-1.19191999,-1.19191923,-1.19919076,-1.17883463,-1.19243087,-1.19212398
74.047574,0.016614,0.015243,-1.31847758,-1.32228755,-1.32155787,-1.31887828,-1.29060521,-1.19277586,-1.32228756,-1.33277623,-1.32675186,-1.29612844,-1.31470993,-1.31808583,-1.31864883,-1.31861101,-1.31760924,-1.31830022,-1.31744778,-1.32004467,-1.31998364,-1.32028752,-1.32044211,-1.31892423,-1.31847673,-1.31846093,-1.31848445,-1.31849109,-1.31848566,-1.32438806,-1.29051252,-1.31921655,-1.31885794
