frequency,transition,N_theta1,N_theta2
5.521,"2,2-1,2",0.01006296683299849,0.0005073155023982456
6.442,"0,2-0,1",0.0009430557718534819,0.01806535873522096
6.487,"2,2-2,1",0.0009106078683545906,0.017307777063534924
14.676,"2,2-2,5",0.3863029332392685,1.2388890320185455
14.697,"0,2-0,5",0.31204454924097497,1.2575414456546836
15.093,"2,0-2,1",0.5763099854450343,1.1961358362690118
15.139,"0,0-0,1",0.43392707448083284,1.2521911350100485
15.922,"2,2-5,2",1.277528320032748,0.344379180247553
15.984,"2,0-5,0",1.2038413996613069,0.5405140185264158
16.273,"0,2-1,2",1.3161895172523022,0.2684172492747845
16.309,"0,0-1,0",1.281211778695078,0.3936120006396247
21.267,"2,2-2,8",0.0062621325530010635,0.11616354632418865
21.28,"0,2-0,8",0.007058279502190822,0.11659057848338912
23.33,"2,2-9,1",0.0007772117736662768,0.014881754997691296
23.606,"2,0-1,4",0.04229947657686712,0.001350302451183277
23.77,"2,2-8,2",0.05858154014129684,0.0015864655322617373
23.819,"0,2-1,4",0.00035018201092833006,0.01047459928617664
24.111,"2,0-8,0",0.04713334744094287,0.001359221814392976
24.977,"2,2-4,5",0.029259334352486052,0.0008865834076196863
25.528,"2,0-4,1",0.017430978675981625,0.0004335124583360326
42.848,"2,0-2,8",0.00037225416041852084,0.044966597964229076
42.861,"0,0-0,8",6.95574620811779e-05,0.045243636994150134
45.4,"0,0-1,4",0.02631807415407655,0.006454377125753926
45.564,"0,2-8,2",0.03737095859672815,9.33510101116047e-05
45.905,"0,0-8,0",0.03175194764741163,0.0057492325068492015
46.771,"0,2-4,5",0.022577207158589997,0.00040075985462874195
47.322,"0,0-4,1",0.014575116316498797,0.0024334990366659567
