tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_leakage_160,fidelity_leakage_160,f_leakage_160_170us,fidelity_leakage_160_170us,f_leakage_160_30us,fidelity_leakage_160_30us,f_leakage_160_3us,fidelity_leakage_160_3us,f_leakage_1000,fidelity_leakage_1000
19.991738,0.265505,0.173725,0.409908,0.46094,-0.46507681,0.65729283,-0.46576449,0.65783506,-0.46039921,0.65358173,-0.40943917,0.61045213,-0.46508953,0.65730287
29.992774,0.216746,0.203921,0.390108,0.424457,-0.61047833,0.75479932,-0.61096757,0.75507539,-0.59857545,0.74798607,-0.49241779,0.67820284,-0.63597246,0.76877886
40.014972,0.221317,0.15683,0.356421,0.385437,-0.75419161,0.82388012,-0.75342751,0.82356998,-0.73311294,0.81512122,-0.57275093,0.73254602,-0.74896915,0.82174946
49.990204,0.216249,0.146398,0.354636,0.376272,-1.03948130,0.90868992,-1.03137312,0.90696917,-0.98370760,0.89617728,-0.68114841,0.79162213,-1.05138170,0.91115801
59.994352,0.21342,0.142938,0.359182,0.378016,-1.32704114,0.95290673,-1.30793197,0.95078834,-1.20412869,0.93750125,-0.72477651,0.81153813,-1.32174622,0.95232905
69.991101,0.209222,0.132819,0.353474,0.369706,-1.51170340,0.96921802,-1.48374471,0.96717118,-1.32472584,0.95265500,-0.73733303,0.81690901,-1.51230832,0.96926086
80.007155,0.210573,0.122946,0.355789,0.37113,-1.52588756,0.97020712,-1.50830222,0.96897600,-1.32251684,0.95241357,-0.70930551,0.80470349,-1.48934464,0.96759177
90.01624,0.220055,0.114891,0.351442,0.376879,-1.57111565,0.97315371,-1.53085609,0.97054603,-1.30814947,0.95081298,-0.64969529,0.77597076,-1.48631851,0.96736516
99.992682,0.21171,0.114339,0.340293,0.362583,-1.69521967,0.97982654,-1.64643881,0.97742846,-1.36504560,0.95685262,-0.64522346,0.77365206,-1.70897747,0.98045559
110.011473,0.211458,0.107187,0.3418,0.362944,-1.73575021,0.98162405,-1.69606747,0.97986589,-1.38330577,0.95862917,-0.63959949,0.77070187,-1.69200518,0.97967667
120.004766,0.209273,0.104767,0.341188,0.360503,-1.89860451,0.98737023,-1.81653539,0.98474316,-1.41825074,0.96182762,-0.62765777,0.76430942,-1.88636939,0.98700936
129.994338,0.201145,0.097552,0.342851,0.352922,-2.04074655,0.99089556,-1.94991646,0.98877766,-1.46704482,0.96588423,-0.63683643,0.76923838,-2.05318566,0.99115263
140.012031,0.211826,0.099273,0.337995,0.362261,-2.10550212,0.99215672,-1.97114851,0.98931311,-1.42678524,0.96257044,-0.57791890,0.73570978,-2.09897996,0.99203804
150.007919,0.205342,0.094834,0.33945,0.355479,-2.28454490,0.99480656,-2.13615476,0.99269121,-1.46234733,0.96551322,-0.58386421,0.73930315,-2.32139700,0.99522907
159.99718,0.209025,0.091503,0.337985,0.359217,-2.36592001,0.99569394,-2.17487690,0.99331467,-1.44689039,0.96426370,-0.55838451,0.72355070,-2.33871930,0.99541562
170.015226,0.207828,0.089482,0.337093,0.357569,-2.44866376,0.99644093,-2.26992412,0.99462874,-1.44014880,0.96370463,-0.54446354,0.71454579,-2.42067805,0.99620404
180.009054,0.211062,0.084527,0.335598,0.360509,-2.46732057,0.99659059,-2.30315216,0.99502437,-1.41825602,0.96182808,-0.52388536,0.70069454,-2.49357516,0.99679059
190.012397,0.209734,0.083821,0.335412,0.359237,-2.45553799,0.99649682,-2.32845784,0.99530601,-1.40334736,0.96049495,-0.51069160,0.69146218,-2.43413717,0.99631987
200.012403,0.201634,0.082082,0.339457,0.352188,-2.72365670,0.99811052,-2.67279239,0.99787574,-1.43166329,0.96298850,-0.52015120,0.69810995,-2.75087962,0.99822532
