tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_1000,f_300,f_160,f_160_charge,f_160_170us,f_160_30us,f_160_3us,f_charge_160_npz,f_160_170us_npz,f_160_30us_npz,f_160_3us_npz
20.000087,0.249753,0.216297,0.43883,0.490612,-0.60575133,-0.60545279,-0.50134842,-0.60543872,-0.60749255,-0.60151605,-0.54516065,-0.60543886,-0.60749267,-0.60151669,-0.54516579
30.002512,0.222626,0.201971,0.389445,0.425332,-0.76485051,-0.75222012,-0.54042689,-0.75216502,-0.75613411,-0.74368615,-0.637068,-0.75216288,-0.75613436,-0.74368748,-0.63707652
40.006173,0.223179,0.160035,0.358809,0.386917,-0.88467931,-0.88545502,-0.94823787,-0.88531733,-0.8864574,-0.86662104,-0.70780226,-0.8853271,-0.88645793,-0.86662386,-0.7078187
50.000191,0.215248,0.148153,0.354356,0.376483,-1.13351455,-1.12292432,-1.11969148,-1.12280287,-1.11395821,-1.07373106,-0.80014077,-1.12281715,-1.11395914,-1.0737358,-0.8001623
60.000967,0.213711,0.14419,0.358967,0.378127,-1.48595991,-1.48711468,-1.43905286,-1.48691618,-1.46088038,-1.35555309,-0.86412961,-1.48689846,-1.46088316,-1.35556521,-0.86416161
70.001044,0.209788,0.131851,0.353189,0.36997,-1.64029432,-1.63853079,-1.46915291,-1.63816143,-1.60455364,-1.45345053,-0.86886721,-1.63808567,-1.60455798,-1.4534672,-0.868903
80.007155,0.210573,0.122946,0.355789,0.37113,-1.66464015,-1.70014114,-1.45899478,-1.69969521,-1.65783388,-1.47510379,-0.84413926,-1.69961775,-1.65783979,-1.47512482,-0.84417829
90.009744,0.219753,0.113433,0.351332,0.376525,-1.67163776,-1.74102984,-1.46053613,-1.74075134,-1.6783171,-1.4603234,-0.79048389,-1.74066149,-1.67832504,-1.46034991,-0.7905258
100.001683,0.212233,0.113924,0.340021,0.36258,-1.86396264,-1.84546615,-2.06915746,-1.84497786,-1.76877662,-1.49966325,-0.77648656,-1.84482049,-1.76878543,-1.4996901,-0.7765239
110.009928,0.211658,0.106989,0.341806,0.362874,-1.86461959,-1.90547607,-2.02978394,-1.90482151,-1.81850397,-1.51892186,-0.76996536,-1.90450043,-1.81851513,-1.5189503,-0.77000465
120.004766,0.209273,0.104767,0.341188,0.360503,-2.06315702,-2.07260829,-2.10414748,-2.07223404,-1.92319924,-1.55312602,-0.75611595,-2.07199956,-1.92321407,-1.5531604,-0.75615446
130.002315,0.201238,0.098495,0.3428,0.353056,-2.21340621,-2.19306368,-2.09474017,-2.19235225,-2.01305812,-1.58530682,-0.7578698,-2.19215012,-2.01307834,-1.58534232,-0.75790856
140.008725,0.211735,0.099358,0.338134,0.362321,-2.27732384,-2.28078839,-2.19618615,-2.27990349,-2.04794425,-1.55399351,-0.70626038,-2.27969953,-2.04796586,-1.5540308,-0.70630153
150.002399,0.205268,0.094552,0.339607,0.355509,-2.47968218,-2.45693167,-2.38312625,-2.45649266,-2.1294659,-1.57736909,-0.70879065,-2.45578378,-2.12949885,-1.57741122,-0.70857042
160.000656,0.209132,0.090941,0.337889,0.359183,-2.51228746,-2.53441622,-2.38605954,-2.53430458,-2.1430137,-1.55701932,-0.68340895,-2.53352759,-2.14303061,-1.55706592,-0.68345022
170.00663,0.212306,0.087921,0.33633,0.362475,-2.47339256,-2.45550991,-2.45812263,-2.45509559,-2.09567201,-1.52368372,-0.65850921,-2.4545965,-2.09565788,-1.52372812,-0.65855108
180.006237,0.21108,0.084566,0.335734,0.36059,-2.68291732,-2.64058543,-2.54681441,-2.64076878,-2.15015545,-1.52401308,-0.64755698,-2.63978566,-2.1502929,-1.52406367,-0.64759907
190.009275,0.209698,0.083495,0.335382,0.359146,-2.62150207,-2.62096434,-2.72399838,-2.62086952,-2.1354584,-1.50862169,-0.63455503,-2.62000011,-2.13551393,-1.50866877,-0.63459666
200.005395,0.208582,0.081626,0.335171,0.357777,-2.72060903,-2.67302278,-2.70049819,-2.67313777,-2.13351896,-1.49496928,-0.62273186,-2.67156173,-2.13357267,-1.49499848,-0.62277282
