tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_78_charge,f_157,f_500,f_1000,f_170us_78,f_30us_78,f_3us_78,f_78,f_150
10.108462,0.41212,0.073451,-0.084451,-0.044706,-0.49104013,-0.47695103,-0.47686752,-0.47687231,-0.4910099,-0.49091202,-0.48984713,-0.49296734,-0.4910429
15.074864,0.303821,0.065666,-0.036206,-0.016563,-0.87880879,-0.89061535,-0.88962458,-0.8896295,-0.87866381,-0.87816381,-0.87275124,-0.89390446,-0.87881764
20.041257,0.241329,0.059044,-0.019402,-0.009802,-1.90924592,-1.93924685,-1.94022681,-1.94019779,-1.90696752,-1.89863696,-1.81691814,-1.84438808,-1.90929885
25.020473,0.180208,0.046132,-0.003789,0.001544,-2.76941283,-2.79087337,-2.79190842,-2.79153482,-2.75023376,-2.68320466,-2.27540126,-2.28802525,-2.76956467
30.008342,0.14538,0.037985,0.000555,0.004004,-3.34188424,-3.36314619,-3.36363925,-3.36329931,-3.2646651,-3.048077,-2.32599846,-2.97467243,-3.3421797
34.999249,0.121737,0.032287,0.001883,0.004348,-3.7530981,-3.77219166,-3.77240122,-3.77177394,-3.55758986,-3.16511578,-2.29181804,-3.66406842,-3.75354024
39.991616,0.105045,0.028058,0.002171,0.003988,-4.10126597,-4.11977961,-4.11987671,-4.11882199,-3.71771042,-3.1843575,-2.24561217,-4.16733256,-4.10202382
45.572873,0.091013,0.02446,0.002106,0.003479,-4.45776638,-4.47616069,-4.47608063,-4.47485407,-3.79403161,-3.16361783,-2.19441837,-4.65183056,-4.45890128
50.273181,0.081831,0.022089,0.001944,0.003051,-4.71415859,-4.73249478,-4.73227185,-4.73097789,-3.80539608,-3.13368669,-2.15412098,-5.03998128,-4.71567264
55.267933,0.073988,0.020007,0.001756,0.002668,-4.96802303,-4.9873528,-4.98695524,-4.98532731,-3.79547729,-3.09943215,-2.1144452,-5.3826646,-4.96985204
59.087483,0.068953,0.018674,0.001617,0.002406,-5.14829498,-5.16836381,-5.16794641,-5.16629846,-3.78043285,-3.07347477,-2.08626832,-5.68748898,-5.15065593
64.670376,0.062708,0.017016,0.001421,0.002077,-5.38368886,-5.4046029,-5.4039794,-5.40217314,-3.75340307,-3.03693717,-2.04798073,-6.00946332,-5.38633539
69.959457,0.05777,0.0157,0.001257,0.001811,-5.5929117,-5.61537383,-5.61490084,-5.61317065,-3.72636952,-3.00439075,-2.01455718,-6.18694474,-5.59671364
79.950621,0.050323,0.013699,0.001008,0.001432,-5.91910304,-5.94258067,-5.94326439,-5.94190974,-3.67603574,-2.94817508,-1.95766409,-6.35778749,-5.92590138
89.941952,0.044576,0.012149,0.000826,0.001154,-6.21792408,-6.24063149,-6.2400104,-6.23558626,-3.6294778,-2.89808663,-1.90739757,-6.75849608,-6.22076067
99.933664,0.040022,0.010918,0.000683,0.000949,-6.50800413,-6.53187225,-6.5297902,-6.5126919,-3.58691662,-2.8530986,-1.86246242,-7.02333025,-6.50805292
109.925465,0.036325,0.009915,0.000575,0.000792,-6.61254193,-6.62935389,-6.62780601,-6.61200413,-3.54780279,-2.81227854,-1.82184399,-6.94851323,-6.60585703
119.917464,0.033248,0.00908,0.000489,0.000672,-6.93080681,-6.94700159,-6.93507229,-6.87649016,-3.51198005,-2.7749618,-1.78477278,-7.58189003,-6.88800506
