tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_leakage_157,fidelity_leakage_157,f_leakage_157_170us,fidelity_leakage_157_170us,f_leakage_157_30us,fidelity_leakage_157_30us,f_leakage_157_3us,fidelity_leakage_157_3us,f_leakage_1000,fidelity_leakage_1000
10.112276,0.417301,0.074364,-0.088062,-0.047291,-0.31973913,0.52108232,-0.31971775,0.52105874,-0.31963881,0.52097168,-0.31878657,0.52003073,-0.31954787,0.52087136
15.072566,0.305038,0.065019,-0.032653,-0.013751,-0.73754740,0.81699936,-0.73742388,0.81694731,-0.73696908,0.81675551,-0.73204756,0.81466713,-0.73653892,0.81657392
20.042302,0.240822,0.059239,-0.019354,-0.009576,-1.76629306,0.98287199,-1.76431646,0.98279386,-1.75692310,0.98249843,-1.68361967,0.97928045,-1.76726780,0.98291039
25.020839,0.180407,0.046271,-0.00388,0.001457,-2.61672941,0.99758303,-2.60061923,0.99749169,-2.54234515,0.99713150,-2.16805509,0.99320883,-2.61750123,0.99758733
30.008808,0.14528,0.038018,0.000574,0.004073,-3.19045414,0.99935502,-3.12487258,0.99924989,-2.92999202,0.99882508,-2.23663166,0.99420080,-3.19082182,0.99935557
34.999115,0.121822,0.032289,0.001887,0.004315,-3.59921505,0.99974836,-3.43100249,0.99962932,-3.06504102,0.99913909,-2.20801312,0.99380578,-3.59955648,0.99974855
39.991616,0.105045,0.028058,0.002171,0.003988,-3.94576335,0.99988670,-3.60801543,0.99975340,-3.09520828,0.99919686,-2.16405317,0.99314596,-3.94569367,0.99988668
45.572956,0.091008,0.024458,0.002102,0.003482,-4.30317981,0.99995025,-3.70107349,0.99980097,-3.08059827,0.99916938,-2.11393345,0.99230752,-4.30307109,0.99995023
50.27328,0.081876,0.022072,0.001951,0.003063,-4.56342067,0.99997267,-3.72075851,0.99980979,-3.05289219,0.99911466,-2.07402004,0.99156704,-4.56310273,0.99997265
55.267933,0.073988,0.020007,0.001756,0.002668,-4.81290623,0.99998462,-3.71493837,0.99980722,-3.01970777,0.99904436,-2.03463745,0.99076658,-4.81238279,0.99998460
59.087483,0.068953,0.018674,0.001617,0.002406,-4.99644666,0.99998992,-3.70203553,0.99980141,-2.99426691,0.99898671,-2.00659621,0.99015074,-4.99604735,0.99998991
64.670379,0.062731,0.01702,0.001421,0.002078,-5.23898521,0.99999423,-3.67659025,0.99978942,-2.95815636,0.99889886,-1.96846656,0.98924691,-5.23831429,0.99999422
69.959473,0.057783,0.015701,0.00126,0.001814,-5.45670948,0.99999651,-3.65024007,0.99977625,-2.92577014,0.99881360,-1.93507408,0.98838749,-5.45678977,0.99999651
79.950593,0.050314,0.013698,0.001007,0.001429,-5.80225070,0.99999842,-3.60021028,0.99974893,-2.86965418,0.99864996,-1.87819777,0.98676261,-5.80423159,0.99999843
89.941985,0.04458,0.01215,0.000823,0.001153,-6.12200630,0.99999924,-3.55355379,0.99972046,-2.81960826,0.99848507,-1.82795873,0.98513923,-6.11492398,0.99999923
99.933634,0.040024,0.010919,0.000683,0.000948,-6.38732577,0.99999959,-3.51073742,0.99969149,-2.77459855,0.99831964,-1.78300340,0.98351851,-6.36182279,0.99999957
109.925523,0.036323,0.009914,0.000574,0.000793,-6.61332280,0.99999976,-3.47150515,0.99966233,-2.73375742,0.99815395,-1.74233664,0.98190063,-6.53954596,0.99999971
119.917477,0.033251,0.00908,0.000489,0.000672,-6.81243255,0.99999985,-3.43544111,0.99963309,-2.69642013,0.99798822,-1.70524205,0.98028676,-6.66727425,0.99999978
