tg,drive_amp_1,drive_amp_2,detune_1,detune_2,f_78_charge,f_157,f_500,f_1000,f_78,f_150,f_78_170us,f_78_30us,f_78_3us,f_157_charge,f_157_170us,f_157_30us,f_157_3us
10.108462,0.41212,0.073451,-0.084451,-0.044706,-0.4910418,-0.47695103,-0.47686752,-0.47687231,-0.49296734,-0.4910429,-0.49100995,-0.49091232,-0.48985018,-0.47695268,-0.4769271,-0.47683598,-0.47585419
15.074864,0.303821,0.065666,-0.036206,-0.016563,-0.8788136,-0.89061535,-0.88962458,-0.8896295,-0.89390446,-0.87881764,-0.878664,-0.87816486,-0.87276157,-0.8906168,-0.8904678,-0.88994898,-0.88434347
20.041257,0.241329,0.059044,-0.019402,-0.009802,-1.90927199,-1.93924685,-1.94022681,-1.94019779,-1.84438808,-1.90929885,-1.90697024,-1.89865207,-1.8170428,-1.93926583,-1.93678103,-1.9278561,-1.84091141
25.020473,0.180208,0.046132,-0.003789,0.001544,-2.76949029,-2.79087337,-2.79190842,-2.79153482,-2.28802525,-2.76956467,-2.75025101,-2.68328839,-2.275727,-2.7909421,-2.77060806,-2.70065261,-2.28233456
30.008342,0.14538,0.037985,0.000555,0.004004,-3.34207259,-3.36314619,-3.36363925,-3.36329931,-2.97467243,-3.3421797,-3.26471675,-3.0482547,-2.32633333,-3.36333343,-3.281904,-3.05859274,-2.32823115
34.999249,0.121737,0.032287,0.001883,0.004348,-3.75336566,-3.77219166,-3.77240122,-3.77177394,-3.66406842,-3.75354024,-3.55768255,-3.16532841,-2.2921007,-3.7725296,-3.56874634,-3.16976625,-2.29267648
39.991616,0.105045,0.028058,0.002171,0.003988,-4.10171898,-4.11977961,-4.11987671,-4.11882199,-4.16733256,-4.10202382,-3.71783349,-3.18456161,-2.24584529,-4.12038403,-3.72399534,-3.18635266,-2.24604526
45.572873,0.091013,0.02446,0.002106,0.003479,-4.4584307,-4.47616069,-4.47608063,-4.47485407,-4.65183056,-4.45890128,-3.79416523,-3.16379501,-2.19460682,-4.47706848,-3.79646804,-3.16433159,-2.19466238
50.273181,0.081831,0.022089,0.001944,0.003051,-4.71504009,-4.73249478,-4.73227185,-4.73097789,-5.03998128,-4.71567264,-3.80552325,-3.13384001,-2.15428005,-4.73374511,-3.80610286,-3.13396272,-2.15429215
55.267933,0.073988,0.020007,0.001756,0.002668,-4.96909463,-4.9873528,-4.98695524,-4.98532731,-5.3826646,-4.96985204,-3.79559243,-3.09956341,-2.11457956,-4.9888157,-3.7952747,-3.09949927,-2.11457275
59.087483,0.068953,0.018674,0.001617,0.002406,-5.14971441,-5.16836381,-5.16794641,-5.16629846,-5.68748898,-5.15065593,-3.78053804,-3.07359169,-2.0863873,-5.17035187,-3.7798491,-3.07345639,-2.08637343
64.670376,0.062708,0.017016,0.001421,0.002077,-5.3852586,-5.4046029,-5.4039794,-5.40217314,-6.00946332,-5.38633539,-3.75349439,-3.03703651,-2.0480813,-5.4068225,-3.75254203,-3.03685363,-2.04806279
69.959457,0.05777,0.0157,0.001257,0.001811,-5.59528458,-5.61537383,-5.61490084,-5.61317065,-6.18694474,-5.59671364,-3.72644945,-3.0044766,-2.01464383,-5.61859122,-3.72540456,-3.00427854,-2.0146239
79.950621,0.050323,0.013699,0.001008,0.001432,-5.92356061,-5.94258067,-5.94326439,-5.94190974,-6.35778749,-5.92590138,-3.67609859,-2.94824162,-1.95773101,-5.94862329,-3.67503522,-2.94804283,-1.95771113
89.941952,0.044576,0.012149,0.000826,0.001154,-6.21976207,-6.24063149,-6.2400104,-6.23558626,-6.75849608,-6.22076067,-3.62952805,-2.89813941,-1.90745052,-6.24194963,-3.62851559,-2.89795175,-1.90743182
99.933664,0.040022,0.010918,0.000683,0.000949,-6.50879663,-6.53187225,-6.5297902,-6.5126919,-7.02333025,-6.50805292,-3.58695753,-2.8531413,-1.86250518,-6.53016446,-3.58601596,-2.85296781,-1.86248795
109.925465,0.036325,0.009915,0.000575,0.000792,-6.61042399,-6.62935389,-6.62780601,-6.61200413,-6.94851323,-6.60585703,-3.54783658,-2.81231367,-1.82187911,-6.62084628,-3.54696494,-2.81215374,-1.82186327
119.917464,0.033248,0.00908,0.000489,0.000672,-6.90973566,-6.94700159,-6.93507229,-6.87649016,-7.58189003,-6.88800506,-3.51200831,-2.77499108,-1.78480201,-6.90134354,-3.51119959,-2.77484326,-1.7847874
