ng, E0, E1, E2, E3, E4
-0.500000,0.000000,2.503345,3.401793,3.425407,4.832554
-0.490000,0.000000,2.503345,3.401793,3.425407,4.832557
-0.480000,0.000000,2.503345,3.401792,3.425407,4.832567
-0.470000,0.000000,2.503345,3.401791,3.425407,4.832584
-0.460000,0.000000,2.503345,3.401790,3.425407,4.832607
-0.450000,0.000000,2.503345,3.401788,3.425407,4.832637
-0.440000,0.000000,2.503345,3.401786,3.425407,4.832673
-0.430000,0.000000,2.503346,3.401784,3.425407,4.832715
-0.420000,0.000000,2.503346,3.401781,3.425407,4.832764
-0.410000,0.000000,2.503346,3.401778,3.425407,4.832818
-0.400000,0.000000,2.503347,3.401775,3.425407,4.832878
-0.390000,0.000000,2.503347,3.401771,3.425408,4.832944
-0.380000,0.000000,2.503347,3.401767,3.425408,4.833014
-0.370000,0.000000,2.503348,3.401763,3.425408,4.833090
-0.360000,0.000000,2.503348,3.401758,3.425408,4.833170
-0.350000,0.000000,2.503349,3.401754,3.425408,4.833254
-0.340000,0.000000,2.503349,3.401749,3.425408,4.833343
-0.330000,0.000000,2.503350,3.401743,3.425409,4.833435
-0.320000,0.000000,2.503350,3.401738,3.425409,4.833530
-0.310000,0.000000,2.503351,3.401732,3.425409,4.833629
-0.300000,0.000000,2.503351,3.401727,3.425409,4.833730
-0.290000,0.000000,2.503352,3.401721,3.425409,4.833833
-0.280000,0.000000,2.503352,3.401715,3.425410,4.833937
-0.270000,0.000000,2.503353,3.401709,3.425410,4.834043
-0.260000,0.000000,2.503354,3.401703,3.425410,4.834150
-0.250000,0.000000,2.503354,3.401697,3.425410,4.834258
-0.240000,0.000000,2.503355,3.401691,3.425410,4.834365
-0.230000,0.000000,2.503355,3.401685,3.425411,4.834472
-0.220000,0.000000,2.503356,3.401679,3.425411,4.834578
-0.210000,0.000000,2.503357,3.401673,3.425411,4.834683
-0.200000,0.000000,2.503357,3.401667,3.425411,4.834787
-0.190000,0.000000,2.503358,3.401662,3.425411,4.834888
-0.180000,0.000000,2.503358,3.401656,3.425412,4.834987
-0.170000,0.000000,2.503359,3.401651,3.425412,4.835083
-0.160000,0.000000,2.503359,3.401646,3.425412,4.835176
-0.150000,0.000000,2.503360,3.401641,3.425412,4.835265
-0.140000,0.000000,2.503360,3.401636,3.425412,4.835350
-0.130000,0.000000,2.503361,3.401631,3.425412,4.835432
-0.120000,0.000000,2.503361,3.401627,3.425413,4.835508
-0.110000,0.000000,2.503361,3.401623,3.425413,4.835579
