,dA_vec(MHz),error_A
0,-25.0,-0.22210459
1,-24.5,-0.2224268
2,-24.0,-0.22298361
3,-23.5,-0.22386422
4,-23.0,-0.22516892
5,-22.5,-0.22700547
6,-22.0,-0.22949243
7,-21.5,-0.23275368
8,-21.0,-0.23691648
9,-20.5,-0.2421184
10,-20.0,-0.24849367
11,-19.5,-0.25618097
12,-19.0,-0.2653387
13,-18.5,-0.276123
14,-18.0,-0.28868176
15,-17.5,-0.30314995
16,-17.0,-0.31969082
17,-16.5,-0.33842177
18,-16.0,-0.35948649
19,-15.5,-0.38301791
20,-15.0,-0.40917372
21,-14.5,-0.4381198
22,-14.0,-0.47006066
23,-13.5,-0.50518727
24,-13.0,-0.54366258
25,-12.5,-0.58564295
26,-12.0,-0.63123838
27,-11.5,-0.68057832
28,-11.0,-0.73388186
29,-10.5,-0.79141808
30,-10.0,-0.85363884
31,-9.5,-0.92103579
32,-9.0,-0.99405214
33,-8.5,-1.07290608
34,-8.0,-1.15748556
35,-7.5,-1.2474441
36,-7.0,-1.34235202
37,-6.5,-1.44201946
38,-6.0,-1.54653605
39,-5.5,-1.65581695
40,-5.0,-1.7681606
41,-4.5,-1.8788615
42,-4.0,-1.98013992
43,-3.5,-2.0656996
44,-3.0,-2.13838749
45,-2.5,-2.21373603
46,-2.0,-2.31623975
47,-1.5,-2.47579664
48,-1.0,-2.73210531
49,-0.5,-3.14071293
50,0.0,-3.50187805
51,0.5,-3.09223661
52,1.0,-2.66983647
53,1.5,-2.39109285
54,2.0,-2.19948859
55,2.5,-2.05884998
56,3.0,-1.94878068
57,3.5,-1.8596363
58,4.0,-1.78971682
59,4.5,-1.74202372
60,5.0,-1.72085777
61,5.5,-1.72934708
62,6.0,-1.76745149
63,6.5,-1.82895077
64,7.0,-1.8960454
65,7.5,-1.93554007
66,8.0,-1.91278081
67,8.5,-1.82395827
68,9.0,-1.697185
69,9.5,-1.56101009
70,10.0,-1.4308014
71,10.5,-1.31305263
72,11.0,-1.21072028
73,11.5,-1.12584394
74,12.0,-1.06009865
75,12.5,-1.01448288
76,13.0,-0.98900669
77,13.5,-0.9820651
78,14.0,-0.98990192
79,14.5,-1.00586089
80,15.0,-1.02041715
81,15.5,-1.02290878
82,16.0,-1.00562676
83,16.5,-0.96798716
84,17.0,-0.91631786
85,17.5,-0.85994216
86,18.0,-0.80718379
87,18.5,-0.76362776
88,19.0,-0.73236671
89,19.5,-0.71437185
90,20.0,-0.70899163
91,20.5,-0.71400265
92,21.0,-0.72547195
93,21.5,-0.73763834
94,22.0,-0.74344546
95,22.5,-0.73650329
96,23.0,-0.71393238
97,23.5,-0.67805384
98,24.0,-0.63528956
99,24.5,-0.59318123
100,25.0,-0.55829759
