,dwd_vec(MHz),error_wd
0,-25.0,-1.33975053
1,-24.5,-1.3463296
2,-24.0,-1.35257999
3,-23.5,-1.35850315
4,-23.0,-1.36411156
5,-22.5,-1.36942116
6,-22.0,-1.37442806
7,-21.5,-1.37919556
8,-21.0,-1.38372465
9,-20.5,-1.38810891
10,-20.0,-1.3923959
11,-19.5,-1.39663428
12,-19.0,-1.40091548
13,-18.5,-1.40530022
14,-18.0,-1.40994849
15,-17.5,-1.41488591
16,-17.0,-1.42020779
17,-16.5,-1.4260356
18,-16.0,-1.43245134
19,-15.5,-1.43958561
20,-15.0,-1.44750084
21,-14.5,-1.45634668
22,-14.0,-1.46621253
23,-13.5,-1.4772202
24,-13.0,-1.48948542
25,-12.5,-1.50316371
26,-12.0,-1.51837825
27,-11.5,-1.53528412
28,-11.0,-1.5540192
29,-10.5,-1.57477443
30,-10.0,-1.59772989
31,-9.5,-1.62309124
32,-9.0,-1.65112573
33,-8.5,-1.6820544
34,-8.0,-1.71624983
35,-7.5,-1.75405826
36,-7.0,-1.7958924
37,-6.5,-1.84236416
38,-6.0,-1.89413067
39,-5.5,-1.95194222
40,-5.0,-2.01683954
41,-4.5,-2.0901559
42,-4.0,-2.17363816
43,-3.5,-2.26962735
44,-3.0,-2.38125854
45,-2.5,-2.51293815
46,-2.0,-2.67104236
47,-1.5,-2.86409576
48,-1.0,-3.0997973
49,-0.5,-3.36008641
50,0.0,-3.50187805
51,0.5,-3.34437881
52,1.0,-3.05932136
53,1.5,-2.79648345
54,2.0,-2.57658891
55,2.5,-2.39174243
56,3.0,-2.23368329
57,3.5,-2.09593259
58,4.0,-1.97390388
59,4.5,-1.86446474
60,5.0,-1.76515335
61,5.5,-1.6743181
62,6.0,-1.59063897
63,6.5,-1.51300957
64,7.0,-1.44067213
65,7.5,-1.37294043
66,8.0,-1.30931059
67,8.5,-1.24938028
68,9.0,-1.19278542
69,9.5,-1.13921022
70,10.0,-1.08842046
71,10.5,-1.0401917
72,11.0,-0.99437046
73,11.5,-0.95078016
74,12.0,-0.90927464
75,12.5,-0.86976631
76,13.0,-0.83214228
77,13.5,-0.79632262
78,14.0,-0.76221204
79,14.5,-0.72975994
80,15.0,-0.69888655
81,15.5,-0.66956229
82,16.0,-0.64171044
83,16.5,-0.61529645
84,17.0,-0.59028391
85,17.5,-0.56662098
86,18.0,-0.54427199
87,18.5,-0.52320088
88,19.0,-0.5033802
89,19.5,-0.48476849
90,20.0,-0.46733291
91,20.5,-0.45104594
92,21.0,-0.43585244
93,21.5,-0.42173323
94,22.0,-0.40864639
95,22.5,-0.39655338
96,23.0,-0.38541725
97,23.5,-0.37518875
98,24.0,-0.36583577
99,24.5,-0.35728972
100,25.0,-0.34950999
