tg,0-0,0-1,1-1,1-0,other
0.0,1.0,0.0,0.0,0.0,0.0
0.10016216393442623,0.9999999997766433,2.0349717968923442e-10,7.548919360979526e-22,1.9725261723091756e-11,1.346648295508717e-13
0.20032432786885246,0.9999999937396842,5.681294577324068e-09,6.348552661799247e-19,5.756157901922308e-10,3.4062345364780845e-12
0.3004864918032787,0.9999999760783865,2.1847816114029398e-08,8.357931827278859e-18,2.073261222604686e-09,5.364552149121384e-13
0.4006486557377049,0.999999906055228,8.516220110502878e-08,1.4480542097736375e-16,8.770236046154765e-09,1.2334064764746302e-11
0.5008108196721311,0.9999998092185333,1.7411940596563983e-07,5.453796270301814e-16,1.6659338494474653e-08,2.7226873878512324e-12
0.6009729836065574,0.9999995313915279,4.2443175338021975e-07,3.67371102211636e-15,4.4150716447834444e-08,2.600058691539346e-11
0.7011351475409836,0.9999992630789047,6.716614122455672e-07,8.35569728980197e-15,6.525045827342385e-08,9.218178376714514e-12
0.8012973114754098,0.9999985352748757,1.3252279210308517e-06,3.6624305955113575e-14,1.3945221617401036e-07,4.4951317484140736e-11
0.9014594754098361,0.9999979938954842,1.82506423986162e-06,6.383809957910343e-14,1.8101948743367804e-07,2.072676683097834e-11
1.0016216393442623,0.9999964699244154,3.1895809241545604e-06,2.1764075145061708e-13,3.4042426334880693e-07,7.017942974011991e-11
1.1017838032786886,0.9999955648547217,4.025365586211709e-06,3.240485834263941e-13,4.097355335584172e-07,4.383586556125288e-11
1.2019459672131148,0.9999927967064072,6.497651490078393e-06,9.314864431694275e-13,7.055251648169617e-07,1.1600762037776596e-10
1.3021081311475409,0.9999914668277563,7.722404557187519e-06,1.25403823889848e-12,8.106746188975765e-07,9.1815459603689e-11
1.4022702950819672,0.9999869161653363,1.1778306496899824e-05,3.1734414444531383e-12,1.3053260149867315e-06,1.9897899081631972e-10
1.5024324590163936,0.9999851422537762,1.3399874496232367e-05,4.001278504904094e-12,1.457673752859041e-06,1.9397531839099404e-10
1.6025946229508197,0.9999781986755605,1.957870235210898e-05,9.147101298175859e-12,2.2222559646651947e-06,3.569766417111326e-10
1.7027567868852458,0.999976011888656,2.1547543918555577e-05,1.1051609370862728e-11,2.440167544719519e-06,3.8883137171032774e-10
1.8029189508196721,0.9999660222336443,3.0427170143276972e-05,2.319676650360839e-11,3.5499275078025057e-06,6.455102944257558e-10
1.9030811147540985,0.9999635047175468,3.263056883589723e-05,2.7284432686170666e-11,3.863947583196498e-06,7.387515920401734e-10
