tg,drive_amp,detune,f_300_1000_True
20.04086,0.020382,0.010145,-0.29236217
21.061542,0.018972,0.010127,-0.29755601
22.045118,0.018391,0.010238,-0.30270809
23.096864,0.04495,0.018141,-0.3847899
24.095409,0.044896,0.02054,-0.42888159
25.086178,0.044988,0.023088,-0.49342043
26.098106,0.044966,0.024699,-0.57343839
27.099366,0.044974,0.025848,-0.66008974
28.083072,0.044797,0.026937,-0.73705105
29.093358,0.044196,0.02751,-0.79149024
30.050055,0.042896,0.028728,-0.82080335
31.092363,0.04181,0.029066,-0.84220872
32.037041,0.040619,0.029897,-0.85287957
33.091038,0.03947,0.03033,-0.86008866
34.083258,0.038499,0.03096,-0.86300003
35.065595,0.037388,0.031446,-0.86284198
36.031132,0.036025,0.030871,-0.86461577
36.929648,0.034935,0.030847,-0.86734799
38.040493,0.033867,0.030922,-0.87096211
39.027167,0.032508,0.030337,-0.87763486
40.028463,0.031573,0.030516,-0.88158051
41.08563,0.030338,0.029939,-0.88696616
42.019843,0.029298,0.029281,-0.89038683
43.067774,0.028525,0.029387,-0.89276641
44.027144,0.027548,0.028865,-0.89470564
45.046907,0.026781,0.028811,-0.89554759
46.035207,0.025857,0.02809,-0.89568086
47.036468,0.025132,0.027686,-0.8951556
48.014316,0.02453,0.027741,-0.89425149
49.084018,0.023794,0.027558,-0.89215914
50.068813,0.023237,0.027131,-0.88942384
50.934509,0.022718,0.026834,-0.88661619
52.095302,0.037344,0.026121,-0.90986674
53.081824,0.036353,0.026541,-0.94765669
54.087263,0.035636,0.026511,-0.98744231
55.033137,0.034889,0.026668,-1.02402768
56.085257,0.034177,0.026727,-1.06463768
57.033335,0.033441,0.026692,-1.10154167
58.039369,0.032705,0.026604,-1.1411848
59.078408,0.032004,0.026694,-1.18240452
60.099753,0.031284,0.026689,-1.22419773
61.047357,0.030595,0.026495,-1.26307835
62.044966,0.030106,0.026755,-1.30450381
63.008615,0.029532,0.026946,-1.3440404
64.021621,0.028667,0.026551,-1.38939501
65.04302,0.028058,0.026858,-1.43221544
66.022109,0.027563,0.026705,-1.47829521
67.027695,0.026986,0.026572,-1.52494323
68.030227,0.0264,0.026588,-1.57399971
69.029107,0.025841,0.026608,-1.62395477
70.049033,0.025335,0.026644,-1.67736587
71.044385,0.024842,0.026691,-1.73082641
72.046846,0.024364,0.026565,-1.78798327
73.044702,0.023822,0.0265,-1.84729137
74.046742,0.023287,0.026334,-1.90852335
75.004434,0.022872,0.026373,-1.97101806
76.054156,0.022434,0.026211,-2.04477556
77.096412,0.021936,0.026209,-2.12655191
78.09539,0.021561,0.026137,-2.21104567
79.090017,0.021146,0.02611,-2.30256216
80.066409,0.020755,0.026077,-2.39830558
81.087884,0.020315,0.025914,-2.50302533
82.096781,0.019967,0.025793,-2.61094306
83.062961,0.019629,0.02581,-2.72682447
84.083803,0.019258,0.025771,-2.84931792
85.030813,0.018978,0.025727,-2.95118625
86.096915,0.0186,0.025627,-3.03756894
87.015579,0.018312,0.025554,-3.05671044
87.909058,0.018062,0.025458,-3.02379928
88.91043,0.017742,0.025358,-2.93930717
89.908419,0.01747,0.025175,-2.83114599
90.939939,0.017242,0.025148,-2.72049188
91.94988,0.016916,0.025071,-2.61914113
93.002217,0.016678,0.024952,-2.52605857
93.902338,0.016426,0.024712,-2.44085507
94.938499,0.016262,0.024667,-2.37772853
95.91528,0.016025,0.024463,-2.31637687
96.931853,0.015798,0.024168,-2.25489314
97.929516,0.015551,0.023813,-2.21239315
99.046538,0.015368,0.023491,-2.18283307
99.910128,0.015221,0.023232,-2.17318149
100.962476,0.015001,0.022815,-2.16496193
102.056984,0.014838,0.022471,-2.17719414
103.081756,0.014647,0.021971,-2.19765008
104.0629,0.014504,0.021787,-2.2291423
105.049856,0.014364,0.021594,-2.26857211
106.066168,0.014248,0.021321,-2.31628344
107.064199,0.014043,0.021214,-2.37019836
108.089868,0.01393,0.020902,-2.43541747
109.089025,0.013769,0.020875,-2.50833387
110.007451,0.013628,0.020692,-2.57857581
111.025833,0.013512,0.020689,-2.65846829
112.095834,0.013342,0.020549,-2.74981237
113.076351,0.013228,0.020472,-2.83046265
114.090124,0.013063,0.020303,-2.92227414
115.052601,0.012913,0.020109,-2.99736158
116.082672,0.012811,0.020111,-3.07588303
117.030491,0.012688,0.019947,-3.13183264
118.089421,0.012554,0.019843,-3.1616982
118.95485,0.012453,0.01979,-3.16752892
119.921644,0.012343,0.019647,-3.17046557
121.007779,0.012199,0.019545,-3.14553006
121.918164,0.012092,0.019372,-3.10307552
122.961579,0.011983,0.019272,-3.07378213
123.935493,0.011861,0.019084,-3.04882838
124.958919,0.011768,0.018976,-3.0287763
125.90857,0.011659,0.018825,-3.01356203
127.009247,0.011535,0.01868,-3.00118798
127.983086,0.011416,0.018489,-2.99815915
129.07161,0.011328,0.01838,-3.01125628
130.085814,0.011217,0.018243,-3.02830293
130.987409,0.011129,0.01812,-3.05100783
132.073895,0.011021,0.017919,-3.08598573
133.043996,0.010912,0.017816,-3.11043589
134.045327,0.010845,0.017713,-3.15671052
134.951928,0.010752,0.017603,-3.18749319
136.083149,0.010661,0.017524,-3.22390557
137.086579,0.01057,0.017383,-3.26474267
138.083554,0.010479,0.017253,-3.30213726
